mtry,ROC,Sens,Spec
2,0.962962962962963,1,0.666666666666667
3,0.975308641975309,1,0.777777777777778
4,1,1,0.777777777777778
5,1,1,0.666666666666667
6,0.975308641975309,1,0.888888888888889
7,1,1,0.777777777777778
8,1,1,0.666666666666667
9,1,1,0.888888888888889
10,0.962962962962963,1,0.666666666666667
11,0.987654320987654,1,0.666666666666667
12,1,1,0.777777777777778
14,0.987654320987654,1,0.777777777777778
16,0.975308641975309,1,0.888888888888889
18,1,1,0.777777777777778
20,1,1,0.777777777777778
22,0.987654320987654,1,0.888888888888889
25,1,1,1
28,1,1,1
32,0.975308641975309,0.888888888888889,0.888888888888889
36,0.987654320987654,1,0.777777777777778
40,1,1,0.777777777777778
45,0.987654320987654,1,0.888888888888889
51,1,1,0.888888888888889
57,0.987654320987654,1,0.888888888888889
64,1,1,1
72,1,1,0.888888888888889
81,1,1,0.888888888888889
91,1,1,1
102,1,1,0.777777777777778
115,1,1,0.888888888888889
129,1,1,0.888888888888889
145,1,1,0.888888888888889
163,1,1,0.888888888888889
183,1,1,0.888888888888889
206,0.987654320987654,1,0.888888888888889
231,1,1,1
259,0.987654320987654,1,0.888888888888889
291,1,1,0.888888888888889
327,1,1,0.777777777777778
367,1,1,0.888888888888889
413,0.987654320987654,1,0.888888888888889
463,1,1,0.888888888888889
520,1,1,1
584,1,1,0.888888888888889
