Number-Atts,Number-Significant,Atts,AUC
10,8,PTB U6 U6ATAC RAVER1 TRA2A RBM3 SRSF6 TIA1 TRA2B ESRP2,0.9747899159663865
10,8,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 PTB,0.9747899159663865
11,8,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 PTB ESRP1,0.9747899159663865
12,9,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 PTB ESRP1 U12,0.9747899159663865
11,8,PTB U6 U6ATAC RAVER1 TRA2A RBM3 SRSF6 TIA1 TRA2B ESRP2 PRP8,0.9705882352941176
9,7,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1,0.9705882352941176
12,9,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 PTB ESRP1 NOVA1,0.9705882352941176
12,8,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 PTB ESRP1 PRP8,0.9705882352941176
7,5,TIA1 U6 TRA2A U2 SF3BTV1 U11 SF3BTV2,0.9663865546218487
9,8,PTB U6 U6ATAC RAVER1 TRA2A RBM3 SRSF6 TIA1 TRA2B,0.9663865546218487
11,9,PTB U6 U6ATAC RAVER1 TRA2A RBM3 SRSF6 TIA1 TRA2B ESRP2 U4ATAC,0.9663865546218487
10,8,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 TRA2B,0.9663865546218487
13,10,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 PTB ESRP1 U12 U4ATAC,0.9663865546218487
10,8,PTB U6 U6ATAC RAVER1 TRA2A RBM3 SRSF6 TIA1 TRA2B CUGBP,0.9621848739495799
7,5,ESRP2 U6 U6ATAC TRA2A RBM3 U11 TIA1,0.9621848739495799
4,3,U1 U6 U6ATAC TRA2A,0.957983193277311
5,4,U1 U6 U6ATAC TRA2A SRSF6,0.957983193277311
8,6,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11,0.957983193277311
10,8,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 SF3BTV2,0.957983193277311
5,3,CUGBP U6 TRA2A RBM17 SRSF10,0.957983193277311
10,8,NOVA1 U6 U6ATAC RAVER1 TRA2A U2 SF3BTV1 SRSF5 SRSF6 SF3BTV2,0.957983193277311
7,4,PRP8 U6 U6ATAC RAVER1 TRA2A U2 SF3BTV1,0.957983193277311
8,5,U4 U6 U6ATAC RAVER1 TRA2A SF3BTV1 U11 SAM68TV1,0.957983193277311
7,6,SAM68TV1 U6 U6ATAC TRA2A RBM3 U2 FBP11,0.9537815126050421
8,6,TIA1 U6 TRA2A U2 SF3BTV1 U11 SF3BTV2 FBP11,0.9537815126050421
8,5,TIA1 U6 TRA2A U2 SF3BTV1 U11 SF3BTV2 PRP8,0.9537815126050421
8,7,PTB U6 U6ATAC RAVER1 TRA2A RBM3 SRSF6 TIA1,0.9537815126050421
11,9,PTB U6 U6ATAC RAVER1 TRA2A RBM3 SRSF6 TIA1 TRA2B ESRP2 NOVA1,0.9537815126050421
10,7,FBP11 U6 U6ATAC TRA2A RBM3 U2 SF3BTV1 U11 TIA1 U2AF2,0.9537815126050421
8,6,ESRP2 U6 U6ATAC TRA2A RBM3 U11 TIA1 SF3BTV2,0.9537815126050421
8,5,PRP8 U6 U6ATAC RAVER1 TRA2A U2 SF3BTV1 SRSF4,0.9537815126050421
8,4,PRP8 U6 U6ATAC RAVER1 TRA2A U2 SF3BTV1 U4,0.9537815126050421
