Number-Atts,Number-Significant,Atts,AUC
8,5,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SRSF3 U4,0.9663865546218487
8,6,U11 U6 TRA2A SAM68TV1 SRSF5 U5 RBM22 ESRP2,0.9663865546218487
7,5,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6,0.9663865546218487
8,6,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9,0.9663865546218487
6,5,PSF U6 U2 SRSF5 SRSF6 RBM45,0.9663865546218487
6,4,ESRP2 U6 U6ATAC RBM3 U2 SRSF5,0.9663865546218487
9,6,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SRSF3 U4 U4ATAC,0.957983193277311
9,7,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 SRSF1,0.957983193277311
9,7,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 U4ATAC,0.957983193277311
11,7,CA150 U6 TRA2A U11 U2AF1 TIA1 SRSF9 SRSF3 U4 U12 U4ATAC,0.957983193277311
6,4,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1,0.949579831932773
7,5,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SRSF3,0.949579831932773
9,7,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 SKIP,0.949579831932773
9,6,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 U4,0.949579831932773
7,5,PSF U6 U2 SRSF5 SRSF6 RBM45 PRP8,0.949579831932773
7,6,PSF U6 U2 SRSF5 SRSF6 RBM45 SKIP,0.949579831932773
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 SRSF4,0.949579831932773
7,4,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 CA150,0.949579831932773
9,6,SRSF3 U6 TRA2A U11 SRSF10 TIA1 SRM160 ESRP1 U4,0.949579831932773
7,4,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 U2AF2,0.9411764705882352
7,4,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 PRP8,0.9411764705882352
9,6,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SRSF3 U4 U12,0.9411764705882352
9,6,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 PRP8,0.9411764705882352
7,5,PSF U6 U2 SRSF5 SRSF6 RBM45 ESRP2,0.9411764705882352
7,6,PSF U6 U2 SRSF5 SRSF6 RBM45 SRSF3,0.9411764705882352
9,4,nSR100 U6 RBM3 U2 SRSF5 U2AF1 ESRP2 NOVA1 U4,0.9411764705882352
9,6,CUGBP U6 U6ATAC TRA2A U11 SRSF5 SRSF6 ESRP2 SKIP,0.9411764705882352
7,4,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 U2AF1,0.9411764705882352
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 SRSF10,0.9411764705882352
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 SRSF9,0.9411764705882352
7,4,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 CUGBP,0.9411764705882352
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 SKIP,0.9411764705882352
10,6,SRSF3 U6 TRA2A U11 SRSF10 TIA1 SRM160 ESRP1 U4 CA150,0.9411764705882352
7,5,TRA2A U6 RBM3 U11 TIA1 SF3BTV2 nSR100,0.9327731092436974
6,5,U2 U6 TRA2A SRSF5 U5 SRSF6,0.9327731092436974
7,6,U2 U6 TRA2A SRSF5 U5 SRSF6 RBM22,0.9327731092436974
7,5,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SRSF9,0.9327731092436974
7,5,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SND1,0.9327731092436974
7,5,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 FBP11,0.9327731092436974
7,5,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SKIP,0.9327731092436974
7,5,PTB U6 U6ATAC SRSF5 SRSF4 ESRP2 NOVA1,0.9327731092436974
8,5,PTB U6 U6ATAC SRSF5 SRSF4 ESRP2 NOVA1 CA150,0.9327731092436974
7,6,PSF U6 U2 SRSF5 SRSF6 RBM45 SRM160,0.9327731092436974
8,5,CUGBP U6 U6ATAC TRA2A U11 SRSF5 SRSF6 ESRP2,0.9327731092436974
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 MAGOH,0.9327731092436974
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 SRSF6,0.9327731092436974
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 U1,0.9327731092436974
7,4,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 PRP8,0.9327731092436974
6,5,SRSF3 U6 TRA2A U11 SRSF10 TIA1,0.9327731092436974
7,6,SRSF3 U6 TRA2A U11 SRSF10 TIA1 SRM160,0.9327731092436974
8,6,SRSF3 U6 TRA2A U11 SRSF10 TIA1 SRM160 ESRP1,0.9327731092436974
10,7,SRSF3 U6 TRA2A U11 SRSF10 TIA1 SRM160 ESRP1 U4 U4ATAC,0.9327731092436974
10,6,CA150 U6 TRA2A U11 U2AF1 TIA1 SRSF9 SRSF3 U4 U12,0.9327731092436974
6,5,TRA2A U6 RBM3 U11 TIA1 SF3BTV2,0.9243697478991596
7,4,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 CUGBP,0.9243697478991596
9,7,U11 U6 TRA2A SAM68TV1 SRSF5 U5 RBM22 ESRP2 U4ATAC,0.9243697478991596
11,8,RBM17 U6 RBM3 U2 SF3BTV1 U11 SRSF5 SRSF6 RBM45 SRSF10 CUGBP,0.9243697478991596
2,1,SRSF5 U6,0.9243697478991596
3,2,SRSF5 U6 SRSF4,0.9243697478991596
4,2,SRSF5 U6 SRSF4 ESRP1,0.9243697478991596
9,6,SRSF6 U6 U6ATAC TRA2A SF3BTV1 SRSF5 MAGOH SRM160 nSR100,0.9243697478991596
8,5,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SC35,0.9243697478991596
9,7,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 TRA2B,0.9243697478991596
9,7,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 PSF,0.9243697478991596
7,6,TIA1 U6 TRA2A RBM3 U2 SRSF5 U5,0.9243697478991596
6,5,TRA2B U6 U6ATAC RAVER1 TRA2A U2,0.9243697478991596
9,7,SF3BTV2 U6 U6ATAC TRA2A SF3BTV1 U11 SRSF5 MAGOH U4ATAC,0.9243697478991596
7,6,PSF U6 U2 SRSF5 SRSF6 RBM45 PTB,0.9243697478991596
7,6,PSF U6 U2 SRSF5 SRSF6 RBM45 U12,0.9243697478991596
6,4,SND1 U6 U6ATAC SRSF5 RBM22 ESRP2,0.9243697478991596
8,4,nSR100 U6 RBM3 U2 SRSF5 U2AF1 ESRP2 NOVA1,0.9243697478991596
7,5,CUGBP U6 U6ATAC TRA2A U11 SRSF5 SRSF6,0.9243697478991596
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 SF3BTV2,0.9243697478991596
7,4,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 nSR100,0.9243697478991596
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 U12,0.9243697478991596
7,4,PRP8 U6 SAM68TV1 SRSF5 MAGOH SF3BTV2 ESRP2,0.9243697478991596
8,7,SRSF3 U6 TRA2A U11 SRSF10 TIA1 SRM160 PTB,0.9243697478991596
9,6,SRSF3 U6 TRA2A U11 SRSF10 TIA1 SRM160 ESRP1 CUGBP,0.9243697478991596
7,6,U6 U6ATAC SRSF5 MAGOH U5 SRSF10 SF3BTV2,0.9159663865546218
8,6,U2 U6 TRA2A SRSF5 U5 SRSF6 RBM22 nSR100,0.9159663865546218
7,4,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 ESRP1,0.9159663865546218
9,5,SF3BTV1 U6 TRA2A U11 SAM68TV1 TIA1 SRSF3 U4 CA150,0.9159663865546218
10,8,RBM17 U6 RBM3 U2 SF3BTV1 U11 SRSF5 SRSF6 RBM45 SRSF10,0.9159663865546218
3,2,SRSF5 U6 U2,0.9159663865546218
7,4,U2AF1 U6 U6ATAC RBM3 SF3BTV1 U11 SRSF5,0.9159663865546218
9,7,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 PTB,0.9159663865546218
9,7,RBM45 U6 U6ATAC U2 SF3BTV1 SRSF5 SRSF6 SRSF9 U12,0.9159663865546218
8,7,TIA1 U6 TRA2A RBM3 U2 SRSF5 U5 SRSF6,0.9159663865546218
7,6,TRA2B U6 U6ATAC RAVER1 TRA2A U2 SAM68TV1,0.9159663865546218
8,6,PTB U6 U6ATAC SRSF5 SRSF4 ESRP2 NOVA1 SRSF1,0.9159663865546218
6,4,SRSF4 U6 U6ATAC RBM17 SRSF5 U2AF1,0.9159663865546218
5,4,PSF U6 U2 SRSF5 SRSF6,0.9159663865546218
5,4,SND1 U6 U6ATAC SRSF5 RBM22,0.9159663865546218
8,6,CUGBP U6 U6ATAC TRA2A U11 SRSF5 SRSF6 RBM45,0.9159663865546218
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 SRM160,0.9159663865546218
7,5,ESRP2 U6 U6ATAC RBM3 U2 SRSF5 FBP11,0.9159663865546218
