Number-Atts,Number-Significant,Atts,AUC
5,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B,1.0
6,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1,1.0
7,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150,1.0
4,3,SRSF10 SAM68TV1 RBM3 SF3BTV1,1.0
5,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1,1.0
6,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP,1.0
7,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160,1.0
5,4,ESRP1 SAM68TV1 RBM3 MAGOH SRSF6,1.0
5,4,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1,1.0
7,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 SRSF10,0.9888888888888889
6,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B SF3BTV2,0.9777777777777776
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 SKIP,0.9777777777777776
5,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 TRA2B,0.9777777777777776
5,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 FBP11,0.9777777777777776
5,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 SF3BTV2,0.9777777777777776
5,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 U5,0.9777777777777776
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 TIA1,0.9777777777777776
8,5,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 RAVER1 U6,0.9777777777777776
3,2,ESRP1 SAM68TV1 RBM3,0.9777777777777776
4,3,ESRP1 SAM68TV1 RBM3 MAGOH,0.9777777777777776
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 TRA2A,0.9666666666666666
5,3,ESRP1 SAM68TV1 RBM3 MAGOH SC35,0.9666666666666666
5,4,ESRP1 SAM68TV1 RBM3 MAGOH TIA1,0.9666666666666666
5,4,ESRP1 SAM68TV1 RBM3 MAGOH U2,0.9666666666666666
7,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 U6,0.9555555555555555
8,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 nSR100,0.9555555555555555
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 SRSF1,0.9555555555555555
6,5,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10,0.9555555555555555
7,5,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1,0.9555555555555555
7,5,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 RAVER1,0.9555555555555555
4,2,ESRP1 SAM68TV1 RBM3 U2AF1,0.9555555555555555
5,4,ESRP1 SAM68TV1 RBM3 MAGOH U11,0.9555555555555555
4,3,TRA2A SAM68TV1 RBM3 PRP8,0.9555555555555555
5,4,TRA2A SAM68TV1 RBM3 PRP8 MAGOH,0.9555555555555555
6,5,TRA2A SAM68TV1 RBM3 PRP8 MAGOH U11,0.9555555555555555
3,2,SC35 SAM68TV1 RBM3,0.9555555555555555
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 SRM160,0.9555555555555555
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 RBM22,0.9555555555555555
5,4,TIA1 SAM68TV1 RBM3 SF3BTV2 PRP8,0.9555555555555555
8,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 SC35,0.9444444444444444
4,3,ESRP1 SAM68TV1 RBM3 U1,0.9444444444444444
4,2,ESRP1 SAM68TV1 RBM3 CUGBP,0.9444444444444444
6,5,ESRP1 SAM68TV1 RBM3 MAGOH SRSF6 SRSF1,0.9444444444444444
4,3,TRA2A SAM68TV1 RBM3 CUGBP,0.9444444444444444
7,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 RBM45,0.9333333333333333
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 PTB,0.9333333333333333
7,6,U2AF2 SAM68TV1 RBM17 TRA2B FBP11 SRSF10 U6ATAC,0.9333333333333333
6,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 SRSF3,0.9333333333333333
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 MAGOH,0.9333333333333333
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 U4ATAC,0.9333333333333333
6,4,U6 SAM68TV1 RBM3 NOVA1 SF3BTV2 CA150,0.9333333333333333
4,3,ESRP1 SAM68TV1 RBM3 SRSF3,0.9333333333333333
4,3,ESRP1 SAM68TV1 RBM3 SRSF9,0.9333333333333333
4,2,ESRP1 SAM68TV1 RBM3 CA150,0.9333333333333333
4,3,ESRP1 SAM68TV1 RBM3 RBM22,0.9333333333333333
4,3,ESRP1 SAM68TV1 RBM3 SKIP,0.9333333333333333
5,3,ESRP1 SAM68TV1 RBM3 MAGOH ESRP2,0.9333333333333333
5,4,ESRP1 SAM68TV1 RBM3 MAGOH PSF,0.9333333333333333
10,8,SRM160 SAM68TV1 U12 RBM3 NOVA1 U2AF2 TRA2B FBP11 nSR100 TIA1,0.9333333333333333
7,6,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2,0.9333333333333333
8,7,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 PSF,0.9333333333333333
4,3,TRA2A SAM68TV1 RBM3 U6,0.9333333333333333
4,3,TRA2A SAM68TV1 RBM3 CA150,0.9333333333333333
5,4,TRA2A SAM68TV1 RBM3 PRP8 SRSF5,0.9333333333333333
6,4,TRA2A SAM68TV1 RBM3 PRP8 MAGOH ESRP2,0.9333333333333333
4,3,RBM22 SAM68TV1 RBM3 U4,0.9333333333333333
6,5,SRSF5 SAM68TV1 RBM3 RAVER1 U6ATAC CUGBP,0.9333333333333333
4,3,SC35 SAM68TV1 RBM3 SRSF10,0.9333333333333333
4,3,SC35 SAM68TV1 RBM3 U4ATAC,0.9333333333333333
4,3,SC35 SAM68TV1 RBM3 SRSF6,0.9333333333333333
6,5,U2 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10,0.9333333333333333
7,5,U2 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1,0.9333333333333333
7,5,U12 SAM68TV1 RBM3 SRSF10 U6ATAC U6 CUGBP,0.9222222222222223
8,6,U12 SAM68TV1 RBM3 SRSF10 U6ATAC U6 CUGBP U2,0.9222222222222223
8,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 U4,0.9222222222222223
5,3,SRSF10 SAM68TV1 RBM3 SF3BTV1 U2AF2,0.9222222222222223
8,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 SC35,0.9222222222222223
5,4,U6 SAM68TV1 RBM3 NOVA1 SF3BTV2,0.9222222222222223
8,5,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 CA150,0.9222222222222223
4,3,ESRP1 SAM68TV1 RBM3 SND1,0.9222222222222223
4,2,ESRP1 SAM68TV1 RBM3 U4,0.9222222222222223
8,7,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 RAVER1,0.9222222222222223
6,4,TRA2A SAM68TV1 RBM3 PRP8 MAGOH SC35,0.9222222222222223
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 SRSF1,0.9222222222222223
8,5,U12 SAM68TV1 RBM3 SRSF10 U6ATAC U6 CUGBP SC35,0.911111111111111
4,3,RBM3 SAM68TV1 RBM17 U2AF2,0.911111111111111
7,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 SRSF9,0.911111111111111
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 SRSF5,0.911111111111111
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 MAGOH,0.911111111111111
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 U11,0.911111111111111
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 TIA1,0.911111111111111
8,7,NOVA1 SAM68TV1 RBM17 SF3BTV1 TRA2B SND1 SRSF10 RAVER1,0.911111111111111
7,5,SF3BTV1 SAM68TV1 RBM17 U2AF2 TRA2B SF3BTV2 U5,0.911111111111111
8,6,U2AF2 SAM68TV1 RBM17 TRA2B FBP11 SRSF10 U6ATAC SC35,0.911111111111111
6,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 RAVER1,0.911111111111111
6,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 U6ATAC,0.911111111111111
6,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 U6,0.911111111111111
7,4,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP ESRP1,0.911111111111111
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 PTB,0.911111111111111
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 RBM22,0.911111111111111
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 SKIP,0.911111111111111
8,6,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 PSF,0.911111111111111
4,3,U6ATAC SAM68TV1 RBM3 nSR100,0.911111111111111
4,3,U6 SAM68TV1 RBM3 NOVA1,0.911111111111111
7,5,U6 SAM68TV1 RBM3 NOVA1 SF3BTV2 CA150 SRSF6,0.911111111111111
7,5,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 CUGBP,0.911111111111111
3,2,CUGBP SAM68TV1 RBM3,0.911111111111111
4,3,CUGBP SAM68TV1 RBM3 NOVA1,0.911111111111111
5,3,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2,0.911111111111111
6,4,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11,0.911111111111111
9,6,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 RAVER1 U6 TRA2A,0.911111111111111
9,6,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 RAVER1 U6 PTB,0.911111111111111
4,2,ESRP1 SAM68TV1 RBM3 U2AF2,0.911111111111111
4,3,ESRP1 SAM68TV1 RBM3 FBP11,0.911111111111111
4,3,ESRP1 SAM68TV1 RBM3 SF3BTV2,0.911111111111111
4,3,ESRP1 SAM68TV1 RBM3 U5,0.911111111111111
4,3,ESRP1 SAM68TV1 RBM3 PTB,0.911111111111111
5,4,ESRP1 SAM68TV1 RBM3 MAGOH U4ATAC,0.911111111111111
8,7,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 SRSF10,0.911111111111111
8,7,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 RBM22,0.911111111111111
8,7,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 U4ATAC,0.911111111111111
9,8,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 PSF TIA1,0.911111111111111
10,8,CA150 SAM68TV1 RBM17 RBM3 U1 NOVA1 SF3BTV1 TRA2B SF3BTV2 U6ATAC,0.911111111111111
4,3,TRA2A SAM68TV1 RBM3 U2AF1,0.911111111111111
4,3,RBM22 SAM68TV1 RBM3 U6,0.911111111111111
6,5,SRSF5 SAM68TV1 RBM3 RAVER1 U6ATAC ESRP1,0.911111111111111
4,3,MAGOH SAM68TV1 RBM3 U2AF2,0.911111111111111
4,2,SC35 SAM68TV1 RBM3 ESRP1,0.911111111111111
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 SKIP,0.911111111111111
6,4,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 ESRP2,0.911111111111111
8,7,PSF SAM68TV1 RBM17 RBM3 NOVA1 SF3BTV1 TRA2B FBP11,0.911111111111111
9,7,PSF SAM68TV1 RBM17 RBM3 NOVA1 SF3BTV1 TRA2B FBP11 U2AF1,0.911111111111111
10,8,PSF SAM68TV1 RBM17 RBM3 NOVA1 SF3BTV1 TRA2B FBP11 U2AF1 U11,0.911111111111111
6,4,TIA1 SAM68TV1 RBM3 SF3BTV2 PRP8 U4,0.911111111111111
6,5,TIA1 SAM68TV1 RBM3 SF3BTV2 PRP8 U11,0.911111111111111
8,6,U2 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 MAGOH,0.911111111111111
8,7,SRSF6 SAM68TV1 RBM3 NOVA1 TRA2B SF3BTV2 U5 nSR100,0.911111111111111
9,7,SRSF1 SAM68TV1 RBM17 U2AF2 TRA2B SF3BTV2 U5 U6ATAC ESRP1,0.911111111111111
10,7,SRSF1 SAM68TV1 RBM17 U2AF2 TRA2B SF3BTV2 U5 U6ATAC ESRP1 SC35,0.911111111111111
6,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B FBP11,0.8999999999999999
6,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U5,0.8999999999999999
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 U4ATAC,0.8999999999999999
8,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 CA150,0.8999999999999999
8,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 U4,0.8999999999999999
4,3,U6ATAC SAM68TV1 RBM3 U2AF2,0.8999999999999999
8,6,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 MAGOH,0.8999999999999999
7,4,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 U2AF1,0.8999999999999999
7,5,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 SRSF10,0.8999999999999999
2,1,ESRP1 SAM68TV1,0.8999999999999999
4,3,ESRP1 SAM68TV1 RBM3 SRSF5,0.8999999999999999
6,5,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11,0.8999999999999999
8,7,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 U6ATAC,0.8999999999999999
9,8,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 PSF SRSF6,0.8999999999999999
5,4,TRA2A SAM68TV1 RBM3 PRP8 SKIP,0.8999999999999999
5,4,MAGOH SAM68TV1 RBM3 SND1 U4,0.8999999999999999
5,4,MAGOH SAM68TV1 RBM3 SND1 SC35,0.8999999999999999
7,5,ESRP2 SAM68TV1 RBM17 SRSF10 RAVER1 CA150 SKIP,0.8999999999999999
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 SRSF10,0.8999999999999999
6,4,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 CUGBP,0.8999999999999999
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 TIA1,0.8999999999999999
5,4,TIA1 SAM68TV1 RBM3 SF3BTV2 CUGBP,0.8999999999999999
8,6,U2 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 SKIP,0.8999999999999999
8,5,U2 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 SC35,0.8999999999999999
8,7,SRSF6 SAM68TV1 RBM3 NOVA1 TRA2B SF3BTV2 U5 ESRP1,0.8999999999999999
11,8,SRSF1 SAM68TV1 RBM17 U2AF2 TRA2B SF3BTV2 U5 U6ATAC ESRP1 SC35 U4ATAC,0.8999999999999999
7,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CUGBP,0.8888888888888888
7,4,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 ESRP1,0.8888888888888888
7,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 SRSF4,0.8888888888888888
8,5,RBM3 SAM68TV1 RBM17 U2AF2 TRA2B U2AF1 CA150 PSF,0.8888888888888888
9,8,NOVA1 SAM68TV1 RBM17 SF3BTV1 TRA2B SND1 SRSF10 RAVER1 RBM22,0.8888888888888888
8,6,U2AF2 SAM68TV1 RBM17 TRA2B FBP11 SRSF10 U6ATAC U6,0.8888888888888888
8,7,U2AF2 SAM68TV1 RBM17 TRA2B FBP11 SRSF10 U6ATAC SRSF3,0.8888888888888888
8,7,U2AF2 SAM68TV1 RBM17 TRA2B FBP11 SRSF10 U6ATAC RBM45,0.8888888888888888
8,6,U2AF2 SAM68TV1 RBM17 TRA2B FBP11 SRSF10 U6ATAC ESRP1,0.8888888888888888
8,7,U2AF2 SAM68TV1 RBM17 TRA2B FBP11 SRSF10 U6ATAC TRA2A,0.8888888888888888
4,3,TRA2B SAM68TV1 RBM17 U6,0.8888888888888888
6,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 RBM45,0.8888888888888888
8,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 PRP8,0.8888888888888888
8,5,SRSF10 SAM68TV1 RBM3 SF3BTV1 SND1 CUGBP SRM160 nSR100,0.8888888888888888
4,3,U6ATAC SAM68TV1 RBM3 PRP8,0.8888888888888888
4,3,U6ATAC SAM68TV1 RBM3 U4,0.8888888888888888
5,3,U6 SAM68TV1 RBM3 NOVA1 U2AF2,0.8888888888888888
5,4,U6 SAM68TV1 RBM3 NOVA1 FBP11,0.8888888888888888
5,4,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B,0.8888888888888888
7,6,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 RAVER1,0.8888888888888888
8,5,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 PRP8,0.8888888888888888
8,6,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 SRSF5,0.8888888888888888
8,5,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 ESRP2,0.8888888888888888
8,6,RBM45 SAM68TV1 RBM17 U2AF2 TRA2B SRSF10 ESRP1 TIA1,0.8888888888888888
2,1,CUGBP SAM68TV1,0.8888888888888888
7,5,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 U5,0.8888888888888888
9,6,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 RAVER1 U6 SRM160,0.8888888888888888
9,6,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 RAVER1 U6 SKIP,0.8888888888888888
9,5,CUGBP SAM68TV1 RBM3 NOVA1 U2AF2 FBP11 RAVER1 U6 ESRP2,0.8888888888888888
3,2,ESRP1 SAM68TV1 RBM17,0.8888888888888888
4,2,ESRP1 SAM68TV1 RBM3 U6,0.8888888888888888
4,2,ESRP1 SAM68TV1 RBM3 PRP8,0.8888888888888888
4,2,ESRP1 SAM68TV1 RBM3 nSR100,0.8888888888888888
8,7,SRM160 SAM68TV1 U12 RBM3 NOVA1 U2AF2 TRA2B FBP11,0.8888888888888888
9,7,SRM160 SAM68TV1 U12 RBM3 NOVA1 U2AF2 TRA2B FBP11 nSR100,0.8888888888888888
5,4,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B,0.8888888888888888
8,6,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 CA150,0.8888888888888888
8,6,SRSF9 SAM68TV1 RBM3 U2AF2 TRA2B FBP11 SF3BTV2 nSR100,0.8888888888888888
4,3,TRA2A SAM68TV1 RBM3 U2AF2,0.8888888888888888
5,3,TRA2A SAM68TV1 RBM3 PRP8 U4,0.8888888888888888
4,3,SRSF5 SAM68TV1 RBM3 U2AF1,0.8888888888888888
7,6,SRSF5 SAM68TV1 RBM3 RAVER1 U6ATAC SRSF9 CA150,0.8888888888888888
3,2,U4 SAM68TV1 RBM17,0.8888888888888888
4,3,U4 SAM68TV1 RBM17 U4ATAC,0.8888888888888888
5,4,MAGOH SAM68TV1 RBM3 SND1 ESRP1,0.8888888888888888
4,3,SC35 SAM68TV1 RBM3 NOVA1,0.8888888888888888
4,3,SC35 SAM68TV1 RBM3 SF3BTV2,0.8888888888888888
4,2,SC35 SAM68TV1 RBM3 nSR100,0.8888888888888888
4,3,SC35 SAM68TV1 RBM3 SKIP,0.8888888888888888
4,3,SC35 SAM68TV1 RBM3 TIA1,0.8888888888888888
4,3,U4ATAC SAM68TV1 RBM3 U2AF2,0.8888888888888888
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 RAVER1,0.8888888888888888
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 U6ATAC,0.8888888888888888
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 SRSF5,0.8888888888888888
6,4,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 U4,0.8888888888888888
6,4,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 SC35,0.8888888888888888
6,5,U4ATAC SAM68TV1 RBM3 FBP11 U2AF1 PSF,0.8888888888888888
