Number-Atts,Number-Significant,Atts,AUC
6,5,PTB SAM68TV1 RAVER1 MAGOH U5 U4,0.9761904761904762
6,5,PTB SAM68TV1 RAVER1 MAGOH U5 nSR100,0.9761904761904762
6,3,RAVER1 U6 RBM3 SF3BTV1 TRA2B nSR100,0.9761904761904762
5,3,SRSF1 U6 SAM68TV1 RAVER1 SC35,0.9761904761904762
8,5,CA150 U6 SAM68TV1 RAVER1 U2 SRSF1 SRSF3 U2AF2,0.9523809523809524
8,5,MAGOH U6 SAM68TV1 RAVER1 U2 SC35 U6ATAC nSR100,0.9523809523809524
9,6,MAGOH U6 SAM68TV1 RAVER1 U2 SC35 U6ATAC nSR100 TIA1,0.9523809523809524
4,3,SRSF1 U6 SAM68TV1 RAVER1,0.9523809523809524
4,3,PTB SAM68TV1 RAVER1 SC35,0.9285714285714285
5,4,PTB SAM68TV1 RAVER1 MAGOH U2AF2,0.9285714285714285
5,4,PTB SAM68TV1 RAVER1 MAGOH CUGBP,0.9285714285714285
7,5,SAM68TV1 U6 RAVER1 RBM3 U2 CA150 SRSF1,0.9285714285714285
8,6,SAM68TV1 U6 RAVER1 RBM3 U2 CA150 SRSF1 RBM45,0.9285714285714285
9,6,SAM68TV1 U6 RAVER1 RBM3 U2 CA150 SRSF1 RBM45 U2AF2,0.9285714285714285
10,6,SAM68TV1 U6 RAVER1 RBM3 U2 CA150 SRSF1 RBM45 U2AF2 ESRP2,0.9285714285714285
5,3,RAVER1 U6 RBM3 SF3BTV1 TRA2B,0.9285714285714285
7,5,MAGOH U6 SAM68TV1 RAVER1 U2 SC35 U6ATAC,0.9285714285714285
10,7,MAGOH U6 SAM68TV1 RAVER1 U2 SC35 U6ATAC nSR100 TIA1 U1,0.9285714285714285
6,4,SRSF1 U6 SAM68TV1 RAVER1 SC35 U6ATAC,0.9285714285714285
6,3,SRSF1 U6 SAM68TV1 RAVER1 SC35 nSR100,0.9285714285714285
7,4,PSF U6 SAM68TV1 RAVER1 MAGOH PRP8 nSR100,0.9285714285714285
8,5,PSF U6 SAM68TV1 RAVER1 MAGOH PRP8 nSR100 SRSF10,0.9285714285714285
8,7,U11 U6 PTB SAM68TV1 RAVER1 RBM3 MAGOH SRSF3,0.9285714285714285
6,4,MAGOH U6 SAM68TV1 RAVER1 U2 SC35,0.9206349206349206
5,4,PTB SAM68TV1 RAVER1 MAGOH ESRP2,0.9047619047619048
4,2,RAVER1 U6 RBM3 SF3BTV1,0.9047619047619048
7,4,RAVER1 U6 RBM3 SF3BTV1 TRA2B nSR100 U1,0.9047619047619048
8,6,U6ATAC U6 SAM68TV1 RAVER1 RBM3 SF3BTV1 MAGOH PSF,0.9047619047619048
6,4,CA150 U6 SAM68TV1 RAVER1 U2 SRSF1,0.9047619047619048
7,5,CA150 U6 SAM68TV1 RAVER1 U2 SRSF1 SRSF3,0.9047619047619048
9,5,CA150 U6 SAM68TV1 RAVER1 U2 SRSF1 SRSF3 U2AF2 ESRP2,0.9047619047619048
9,5,CA150 U6 SAM68TV1 RAVER1 U2 SRSF1 SRSF3 U2AF2 PRP8,0.9047619047619048
9,5,CA150 U6 SAM68TV1 RAVER1 U2 SRSF1 SRSF3 U2AF2 nSR100,0.9047619047619048
9,6,CA150 U6 SAM68TV1 RAVER1 U2 SRSF1 SRSF3 U2AF2 SKIP,0.9047619047619048
