Number-Atts,Number-Significant,Atts,AUC
4,4,SRSF5 SAM68TV1 TIA1 RBM45,0.8937499999999999
2,2,SRSF5 SAM68TV1,0.875
3,3,SRSF5 SAM68TV1 TIA1,0.875
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SRSF10,0.8687499999999999
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SKIP,0.85625
5,5,SRSF5 SAM68TV1 TIA1 RBM45 U5,0.85625
5,5,SRSF5 SAM68TV1 TIA1 RBM45 TRA2A,0.8500000000000001
5,5,SRSF5 SAM68TV1 TIA1 RBM45 RBM22,0.8500000000000001
2,2,U1 SAM68TV1,0.8374999999999999
3,3,RAVER1 SAM68TV1 SRSF5,0.8374999999999999
3,3,SRSF5 SAM68TV1 RBM17,0.8374999999999999
5,5,SRSF5 SAM68TV1 TIA1 RBM45 U11,0.8374999999999999
5,5,SRSF5 SAM68TV1 TIA1 RBM45 NOVA1,0.83125
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SRM160,0.83125
6,6,SRM160 SAM68TV1 TIA1 RBM45 RAVER1 SRSF5,0.83125
3,3,U1 SAM68TV1 SRSF5,0.825
3,3,SRSF5 SAM68TV1 FBP11,0.825
5,5,SRSF5 SAM68TV1 TIA1 RBM45 U4ATAC,0.825
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SRSF9,0.825
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SRSF1,0.8187500000000001
3,3,SRSF5 SAM68TV1 RBM3,0.8125
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SND1,0.8125
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SRSF6,0.8125
3,3,U1 SAM68TV1 TRA2A,0.8
5,5,SRSF5 SAM68TV1 TIA1 RBM45 SRSF4,0.8
