Number-Atts,Number-Significant,Atts,AUC
5,4,SRSF5 SAM68TV1 TIA1 RBM45 U6,0.84375
7,5,FBP11 SAM68TV1 ESRP2 U1 PTB SF3BTV1 PSF,0.83125
8,6,SF3BTV1 SAM68TV1 ESRP2 RBM17 FBP11 TIA1 U12 SKIP,0.825
3,2,SRSF5 SAM68TV1 ESRP2,0.825
5,4,SRSF5 SAM68TV1 TIA1 RBM45 U2AF2,0.825
5,4,SRSF5 SAM68TV1 TIA1 RBM45 ESRP1,0.8187500000000001
4,3,SAM68TV1 ESRP2 RBM17 U1,0.8125
5,4,SRSF5 SAM68TV1 TIA1 RBM45 CUGBP,0.8125
5,4,SRSF5 SAM68TV1 TIA1 RBM45 U2AF1,0.8125
5,4,SRSF5 SAM68TV1 TIA1 RBM45 CA150,0.8125
6,5,U4ATAC SAM68TV1 ESRP2 RBM17 RBM45 SRSF5,0.8125
8,6,U5 SAM68TV1 ESRP2 U1 TIA1 U12 SF3BTV1 SRSF3,0.8125
3,2,U1 SAM68TV1 SC35,0.8062499999999999
3,2,U1 SAM68TV1 PRP8,0.8
5,3,U12 SAM68TV1 ESRP2 PTB U6,0.8
9,7,RBM45 SAM68TV1 ESRP2 RBM17 FBP11 PTB SF3BTV1 SRSF5 NOVA1,0.8
5,4,SKIP SAM68TV1 ESRP2 RBM17 TIA1,0.8
