Number-Atts,Number-Significant,Atts,AUC
5,4,RBM3 SAM68TV1 ESRP2 U1 U12,0.875
10,6,U2AF2 SAM68TV1 ESRP2 RBM3 U12 MAGOH U6 TRA2A nSR100 SRSF6,0.875
6,5,FBP11 SAM68TV1 ESRP2 RBM3 MAGOH TRA2A,0.8625
6,5,U1 SAM68TV1 ESRP2 PTB MAGOH U6ATAC,0.8625
6,4,RBM3 SAM68TV1 ESRP2 U1 U12 nSR100,0.8500000000000001
7,6,U1 SAM68TV1 ESRP2 PTB MAGOH U6ATAC SRSF3,0.8500000000000001
5,4,U12 SAM68TV1 ESRP2 U1 U6ATAC,0.8500000000000001
6,5,U12 SAM68TV1 ESRP2 U1 U6ATAC U4ATAC,0.8500000000000001
7,6,U12 SAM68TV1 ESRP2 U1 U6ATAC U4ATAC U11,0.8500000000000001
4,3,MAGOH SAM68TV1 ESRP2 U1,0.8500000000000001
8,6,U6 SAM68TV1 ESRP2 RBM17 FBP11 MAGOH U6ATAC SRSF6,0.8500000000000001
7,4,RBM22 SAM68TV1 ESRP2 MAGOH U6 SC35 PSF,0.8500000000000001
8,5,RBM22 SAM68TV1 ESRP2 MAGOH U6 SC35 PSF SRSF10,0.8500000000000001
5,3,SAM68TV1 ESRP2 RBM17 RBM3 PRP8,0.8374999999999999
5,4,U1 SAM68TV1 ESRP2 PTB MAGOH,0.8374999999999999
7,5,U1 SAM68TV1 ESRP2 PTB MAGOH U6ATAC U6,0.8374999999999999
7,6,U1 SAM68TV1 ESRP2 PTB MAGOH U6ATAC TRA2A,0.8374999999999999
7,6,U1 SAM68TV1 ESRP2 PTB MAGOH U6ATAC U2,0.8374999999999999
3,2,U12 SAM68TV1 ESRP2,0.8374999999999999
4,3,U12 SAM68TV1 ESRP2 U1,0.8374999999999999
5,3,CUGBP SAM68TV1 ESRP2 RBM17 PTB,0.8374999999999999
4,3,SND1 SAM68TV1 ESRP2 RBM3,0.8374999999999999
9,5,U2AF2 SAM68TV1 ESRP2 RBM3 U12 MAGOH U6 TRA2A nSR100,0.8374999999999999
4,3,SRSF9 SAM68TV1 ESRP2 RBM17,0.8374999999999999
7,4,CA150 SAM68TV1 ESRP2 U1 U12 PRP8 U5,0.8374999999999999
8,5,CA150 SAM68TV1 ESRP2 U1 U12 PRP8 U5 SRSF3,0.8374999999999999
4,3,SAM68TV1 ESRP2 RBM17 RBM3,0.825
5,4,FBP11 SAM68TV1 ESRP2 RBM3 MAGOH,0.825
6,5,RBM3 SAM68TV1 ESRP2 U1 U12 U5,0.825
6,5,RBM3 SAM68TV1 ESRP2 U1 U12 TRA2B,0.825
6,4,RBM3 SAM68TV1 ESRP2 U1 U12 CA150,0.825
6,5,U12 SAM68TV1 ESRP2 U1 U6ATAC SRSF5,0.825
7,6,U12 SAM68TV1 ESRP2 U1 U6ATAC U4ATAC SRSF6,0.825
5,3,MAGOH SAM68TV1 ESRP2 U1 U2AF1,0.825
5,4,MAGOH SAM68TV1 ESRP2 U1 U2,0.825
4,3,U6ATAC SAM68TV1 ESRP2 PTB,0.825
6,5,RBM45 SAM68TV1 ESRP2 RBM17 FBP11 RBM3,0.825
5,3,PRP8 SAM68TV1 ESRP2 RBM17 FBP11,0.825
5,3,SRSF1 SAM68TV1 ESRP2 SRSF5 CA150,0.825
5,3,RBM22 SAM68TV1 ESRP2 MAGOH U6,0.825
6,3,RBM22 SAM68TV1 ESRP2 MAGOH U6 SC35,0.825
8,5,RBM22 SAM68TV1 ESRP2 MAGOH U6 SC35 PSF TRA2B,0.825
5,4,U4ATAC SAM68TV1 ESRP2 RBM3 SRSF1,0.825
7,4,U2AF1 SAM68TV1 ESRP2 RBM17 PTB SF3BTV1 U4ATAC,0.825
8,5,U2AF2 SAM68TV1 ESRP2 RBM3 U12 MAGOH U6 TRA2A,0.825
5,4,SRSF9 SAM68TV1 ESRP2 RBM17 SRSF1,0.825
5,4,SRSF6 SAM68TV1 ESRP2 RBM17 RBM3,0.825
9,6,CA150 SAM68TV1 ESRP2 U1 U12 PRP8 U5 SRSF3 SRSF10,0.825
6,4,SAM68TV1 ESRP2 RBM17 RBM3 PRP8 TRA2A,0.8125
7,5,FBP11 SAM68TV1 ESRP2 RBM3 MAGOH TRA2A ESRP1,0.8125
7,6,U1 SAM68TV1 ESRP2 PTB MAGOH U6ATAC RBM45,0.8125
4,3,PTB SAM68TV1 ESRP2 RBM17,0.8125
5,4,PTB SAM68TV1 ESRP2 RBM17 U6ATAC,0.8125
6,4,U12 SAM68TV1 ESRP2 U1 U6ATAC U6,0.8125
7,5,U12 SAM68TV1 ESRP2 U1 U6ATAC U4ATAC CA150,0.8125
3,2,MAGOH SAM68TV1 ESRP2,0.8125
5,4,MAGOH SAM68TV1 ESRP2 U1 SND1,0.8125
3,2,U6ATAC SAM68TV1 ESRP2,0.8125
6,3,SF3BTV1 SAM68TV1 ESRP2 RBM17 FBP11 SC35,0.8125
7,5,U6 SAM68TV1 ESRP2 RBM17 FBP11 MAGOH U6ATAC,0.8125
6,3,PRP8 SAM68TV1 ESRP2 RBM17 FBP11 nSR100,0.8125
5,3,nSR100 SAM68TV1 ESRP2 PTB MAGOH,0.8125
6,4,nSR100 SAM68TV1 ESRP2 PTB MAGOH U2,0.8125
4,3,SRSF1 SAM68TV1 ESRP2 SRSF5,0.8125
6,4,ESRP1 SAM68TV1 ESRP2 RBM17 RBM3 U12,0.8125
8,5,SRSF4 SAM68TV1 ESRP2 PTB MAGOH RBM45 U6 PRP8,0.8125
9,6,SRSF4 SAM68TV1 ESRP2 PTB MAGOH RBM45 U6 PRP8 U5,0.8125
4,3,RBM22 SAM68TV1 ESRP2 MAGOH,0.8125
8,5,RBM22 SAM68TV1 ESRP2 MAGOH U6 SC35 PSF U2,0.8125
8,5,RBM22 SAM68TV1 ESRP2 MAGOH U6 SC35 PSF SRSF6,0.8125
4,3,SKIP SAM68TV1 ESRP2 RBM17,0.8125
6,3,U2AF1 SAM68TV1 ESRP2 RBM17 PTB SF3BTV1,0.8125
6,4,U2 SAM68TV1 ESRP2 MAGOH RBM45 U6,0.8125
7,5,U2 SAM68TV1 ESRP2 MAGOH RBM45 U6 PSF,0.8125
8,5,U2 SAM68TV1 ESRP2 MAGOH RBM45 U6 PSF CA150,0.8125
3,2,SRSF9 SAM68TV1 ESRP2,0.8125
5,4,SRSF9 SAM68TV1 ESRP2 RBM17 PTB,0.8125
5,4,SRSF9 SAM68TV1 ESRP2 RBM17 SF3BTV2,0.8125
6,5,TRA2B SAM68TV1 ESRP2 RBM17 U1 TRA2A,0.8125
4,3,SRSF10 SAM68TV1 ESRP2 RBM3,0.8125
6,3,CA150 SAM68TV1 ESRP2 U1 U12 PRP8,0.8125
8,5,CA150 SAM68TV1 ESRP2 U1 U12 PRP8 U5 SRSF6,0.8125
3,2,SAM68TV1 ESRP2 RBM17,0.8
5,4,SAM68TV1 ESRP2 RBM17 RBM3 MAGOH,0.8
4,3,FBP11 SAM68TV1 ESRP2 RBM3,0.8
6,5,FBP11 SAM68TV1 ESRP2 RBM3 MAGOH SF3BTV2,0.8
7,5,FBP11 SAM68TV1 ESRP2 RBM3 MAGOH TRA2A CA150,0.8
6,5,RBM3 SAM68TV1 ESRP2 U1 U12 SRSF3,0.8
7,6,U1 SAM68TV1 ESRP2 PTB MAGOH U6ATAC SRSF6,0.8
6,5,U12 SAM68TV1 ESRP2 U1 U6ATAC TRA2A,0.8
4,3,MAGOH SAM68TV1 ESRP2 FBP11,0.8
5,3,MAGOH SAM68TV1 ESRP2 U1 PRP8,0.8
5,4,MAGOH SAM68TV1 ESRP2 U1 U5,0.8
5,4,MAGOH SAM68TV1 ESRP2 U1 TRA2B,0.8
5,3,MAGOH SAM68TV1 ESRP2 U1 CA150,0.8
5,4,U6ATAC SAM68TV1 ESRP2 PTB SRSF4,0.8
4,3,SF3BTV2 SAM68TV1 ESRP2 RBM17,0.8
5,4,SF3BTV2 SAM68TV1 ESRP2 RBM17 SRSF1,0.8
6,5,SF3BTV2 SAM68TV1 ESRP2 RBM17 SRSF1 SRSF6,0.8
6,4,U6 SAM68TV1 ESRP2 RBM17 FBP11 MAGOH,0.8
6,3,CUGBP SAM68TV1 ESRP2 RBM17 PTB U2AF2,0.8
6,4,nSR100 SAM68TV1 ESRP2 PTB MAGOH NOVA1,0.8
7,4,nSR100 SAM68TV1 ESRP2 PTB MAGOH U2 CA150,0.8
6,4,SC35 SAM68TV1 ESRP2 RBM17 RBM3 SF3BTV2,0.8
3,2,SRSF1 SAM68TV1 ESRP2,0.8
5,4,SRSF1 SAM68TV1 ESRP2 SRSF5 RBM22,0.8
4,3,SRSF4 SAM68TV1 ESRP2 PTB,0.8
5,4,SRSF4 SAM68TV1 ESRP2 PTB MAGOH,0.8
6,5,SRSF4 SAM68TV1 ESRP2 PTB MAGOH RBM45,0.8
7,5,SRSF4 SAM68TV1 ESRP2 PTB MAGOH RBM45 U6,0.8
5,4,SND1 SAM68TV1 ESRP2 RBM3 SRSF10,0.8
8,5,RBM22 SAM68TV1 ESRP2 MAGOH U6 SC35 PSF U5,0.8
4,3,NOVA1 SAM68TV1 ESRP2 RBM3,0.8
5,4,NOVA1 SAM68TV1 ESRP2 RBM3 SRSF4,0.8
5,4,SKIP SAM68TV1 ESRP2 RBM17 SRSF4,0.8
5,3,SKIP SAM68TV1 ESRP2 RBM17 U4,0.8
7,4,U2AF1 SAM68TV1 ESRP2 RBM17 PTB SF3BTV1 SRSF4,0.8
5,4,U2 SAM68TV1 ESRP2 MAGOH RBM45,0.8
6,5,SRSF6 SAM68TV1 ESRP2 RBM17 RBM3 U5,0.8
4,2,U4 SAM68TV1 ESRP2 RBM17,0.8
5,3,U4 SAM68TV1 ESRP2 RBM17 SRSF1,0.8
5,4,SRSF3 SAM68TV1 ESRP2 RBM17 RBM3,0.8
4,2,SRM160 SAM68TV1 ESRP2 PRP8,0.8
5,4,SRSF10 SAM68TV1 ESRP2 RBM3 RBM22,0.8
5,4,SRSF10 SAM68TV1 ESRP2 RBM3 U4ATAC,0.8
7,4,CA150 SAM68TV1 ESRP2 U1 U12 PRP8 TRA2A,0.8
