Number-Atts,Number-Significant,Atts,AUC
5,4,SRSF9 TIA1 SKIP CUGBP PTB,0.8846153846153846
4,3,SRSF9 TIA1 SKIP CUGBP,0.8776223776223775
6,5,SRSF9 TIA1 SKIP CUGBP PTB U6ATAC,0.8776223776223775
6,4,SRSF9 TIA1 SKIP CUGBP PTB nSR100,0.8776223776223775
8,6,U6 TIA1 SKIP PRP8 MAGOH RAVER1 PSF SRSF5,0.8636363636363636
9,8,RAVER1 TIA1 SKIP CUGBP PTB RBM22 U6ATAC SRSF9 TRA2A,0.8461538461538461
6,5,SRSF9 TIA1 SKIP CUGBP PTB TRA2B,0.8391608391608392
6,5,SRSF9 TIA1 SKIP CUGBP PTB MAGOH,0.8321678321678322
6,5,SRSF9 TIA1 SKIP CUGBP PTB RBM3,0.8321678321678322
6,4,SRSF9 TIA1 SKIP CUGBP PTB ESRP2,0.8321678321678322
6,4,SRSF9 TIA1 SKIP CUGBP PTB U6,0.8321678321678322
6,5,SRSF9 TIA1 SKIP CUGBP PTB SRSF10,0.8321678321678322
10,9,PTB TIA1 SKIP RBM22 MAGOH U6ATAC PSF U4ATAC TRA2A CA150,0.8251748251748253
6,5,TIA1 SKIP PRP8 PTB MAGOH RBM3,0.8181818181818182
7,6,TIA1 SKIP PRP8 PTB MAGOH RBM3 U6ATAC,0.8181818181818182
9,7,ESRP1 TIA1 PTB U6ATAC RAVER1 PSF SRSF5 ESRP2 TRA2A,0.8181818181818182
4,3,MAGOH TIA1 SKIP PRP8,0.8181818181818182
5,3,MAGOH TIA1 SKIP PRP8 CUGBP,0.8181818181818182
6,4,MAGOH TIA1 SKIP PRP8 CUGBP U6ATAC,0.8181818181818182
7,5,MAGOH TIA1 SKIP PRP8 CUGBP U6ATAC RAVER1,0.8181818181818182
8,7,RBM3 TIA1 PTB MAGOH U6ATAC RAVER1 SC35 TRA2A,0.8181818181818182
6,5,U6ATAC TIA1 SKIP RBM22 MAGOH ESRP2,0.8181818181818182
4,3,SC35 TIA1 SKIP MAGOH,0.8181818181818182
5,4,SC35 TIA1 SKIP MAGOH RBM3,0.8181818181818182
6,5,SC35 TIA1 SKIP MAGOH RBM3 U6ATAC,0.8181818181818182
7,6,SC35 TIA1 SKIP MAGOH RBM3 U6ATAC PSF,0.8181818181818182
6,5,SND1 TIA1 SKIP CUGBP MAGOH U6ATAC,0.8181818181818182
7,6,SND1 TIA1 SKIP CUGBP MAGOH U6ATAC RAVER1,0.8181818181818182
8,6,SND1 TIA1 SKIP CUGBP MAGOH U6ATAC RAVER1 nSR100,0.8181818181818182
9,6,SND1 TIA1 SKIP CUGBP MAGOH U6ATAC RAVER1 nSR100 U2AF1,0.8181818181818182
6,4,SRSF5 TIA1 PRP8 CUGBP MAGOH RBM3,0.8181818181818182
6,4,ESRP2 TIA1 SKIP PRP8 MAGOH U6ATAC,0.8181818181818182
3,2,U2AF1 TIA1 SKIP,0.8181818181818182
4,2,U2AF1 TIA1 SKIP CUGBP,0.8181818181818182
5,3,U2AF1 TIA1 SKIP CUGBP PTB,0.8181818181818182
6,4,U2AF1 TIA1 SKIP CUGBP PTB MAGOH,0.8181818181818182
7,4,U2AF1 TIA1 SKIP CUGBP PTB MAGOH SC35,0.8181818181818182
8,5,U2AF1 TIA1 SKIP CUGBP PTB MAGOH SC35 PSF,0.8181818181818182
9,6,U2AF1 TIA1 SKIP CUGBP PTB MAGOH SC35 PSF SRSF5,0.8181818181818182
10,6,U2AF1 TIA1 SKIP CUGBP PTB MAGOH SC35 PSF SRSF5 ESRP2,0.8181818181818182
8,7,TRA2A TIA1 SKIP CUGBP PTB RBM22 FBP11 U6ATAC,0.8181818181818182
9,8,TRA2A TIA1 SKIP CUGBP PTB RBM22 FBP11 U6ATAC PSF,0.8181818181818182
10,8,TRA2A TIA1 SKIP CUGBP PTB RBM22 FBP11 U6ATAC PSF nSR100,0.8181818181818182
5,3,U6 TIA1 SKIP PRP8 MAGOH,0.8181818181818182
6,4,U6 TIA1 SKIP PRP8 MAGOH RAVER1,0.8181818181818182
7,5,U6 TIA1 SKIP PRP8 MAGOH RAVER1 PSF,0.8181818181818182
6,5,CUGBP TIA1 SKIP PTB MAGOH RBM3,0.8076923076923078
7,6,CUGBP TIA1 SKIP PTB MAGOH RBM3 U6ATAC,0.8076923076923078
8,7,CUGBP TIA1 SKIP PTB MAGOH RBM3 U6ATAC RAVER1,0.8076923076923078
9,8,CUGBP TIA1 SKIP PTB MAGOH RBM3 U6ATAC RAVER1 PSF,0.8076923076923078
10,9,CUGBP TIA1 SKIP PTB MAGOH RBM3 U6ATAC RAVER1 PSF SRSF5,0.8076923076923078
11,10,CUGBP TIA1 SKIP PTB MAGOH RBM3 U6ATAC RAVER1 PSF SRSF5 SAM68TV1,0.8076923076923078
12,10,CUGBP TIA1 SKIP PTB MAGOH RBM3 U6ATAC RAVER1 PSF SRSF5 SAM68TV1 nSR100,0.8076923076923078
13,11,CUGBP TIA1 SKIP PTB MAGOH RBM3 U6ATAC RAVER1 PSF SRSF5 SAM68TV1 nSR100 SRSF1,0.8076923076923078
8,6,SND1 TIA1 SKIP CUGBP MAGOH U6ATAC RAVER1 SC35,0.8076923076923078
6,5,SRSF9 TIA1 SKIP CUGBP PTB PSF,0.8076923076923078
14,11,RBM17 TIA1 SKIP ESRP1 PRP8 CUGBP PTB RBM22 MAGOH RBM3 RAVER1 PSF U4ATAC U2,0.8076923076923078
15,12,RBM17 TIA1 SKIP ESRP1 PRP8 CUGBP PTB RBM22 MAGOH RBM3 RAVER1 PSF U4ATAC U2 TRA2A,0.8076923076923078
16,13,RBM17 TIA1 SKIP ESRP1 PRP8 CUGBP PTB RBM22 MAGOH RBM3 RAVER1 PSF U4ATAC U2 TRA2A SRSF1,0.8076923076923078
17,13,RBM17 TIA1 SKIP ESRP1 PRP8 CUGBP PTB RBM22 MAGOH RBM3 RAVER1 PSF U4ATAC U2 TRA2A SRSF1 U6,0.8076923076923078
4,3,SF3BTV2 TIA1 SKIP PRP8,0.8076923076923078
7,6,TRA2B TIA1 SKIP CUGBP PTB MAGOH RBM3,0.8076923076923078
8,7,TRA2B TIA1 SKIP CUGBP PTB MAGOH RBM3 U6ATAC,0.8076923076923078
