Number-Atts,Number-Significant,Atts,AUC
4,1,RAVER1 CA150 U6 CUGBP,0.8391608391608392
5,3,U12 CA150 U6 RBM22 RAVER1,0.8391608391608392
7,5,RBM17 CA150 U6 RAVER1 SRM160 SAM68TV1 PSF,0.8391608391608392
3,1,RAVER1 CA150 U6,0.8321678321678322
5,1,RAVER1 CA150 U6 CUGBP U2AF2,0.8321678321678322
5,2,RAVER1 CA150 U6 CUGBP PTB,0.8251748251748253
5,1,RAVER1 CA150 U6 CUGBP PRP8,0.8251748251748253
6,4,RBM3 CA150 U6 RAVER1 SRM160 RBM17,0.8181818181818182
5,2,RAVER1 CA150 U6 CUGBP MAGOH,0.8181818181818182
5,2,RAVER1 CA150 U6 CUGBP SRSF9,0.8181818181818182
5,2,RAVER1 CA150 U6 CUGBP SRSF4,0.8181818181818182
7,5,RBM3 CA150 U6 RAVER1 SRM160 RBM17 SRSF1,0.8111888111888111
7,4,RBM3 CA150 U6 RAVER1 SRM160 RBM17 PRP8,0.8111888111888111
8,5,ESRP1 CA150 U6 RAVER1 SRM160 PSF SRSF10 SRSF9,0.8111888111888111
5,2,SF3BTV1 CA150 U6 RAVER1 SRM160,0.8111888111888111
6,4,U5 CA150 U6 RBM22 RAVER1 SRSF9,0.8111888111888111
7,4,RBM3 CA150 U6 RAVER1 SRM160 RBM17 U2AF2,0.8041958041958042
4,2,RAVER1 CA150 U6 SRM160,0.8041958041958042
6,3,SF3BTV1 CA150 U6 RAVER1 SRM160 SND1,0.8041958041958042
