Number-Atts,Number-Significant,Atts,AUC
5,4,NOVA1 SRSF3 nSR100 RBM22 TRA2B,0.9583333333333334
10,6,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6 TRA2A,0.9583333333333334
11,7,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6 TRA2A U12,0.9583333333333334
9,7,FBP11 SRSF3 nSR100 RBM3 NOVA1 ESRP1 SKIP SAM68TV1 SF3BTV2,0.9513888888888888
9,7,U2 SRSF3 nSR100 NOVA1 SKIP U6 SAM68TV1 RBM45 U4ATAC,0.9513888888888888
6,5,SRSF3 nSR100 RBM22 RBM3 NOVA1 U5,0.9444444444444444
6,5,NOVA1 SRSF3 nSR100 RBM22 TRA2B PTB,0.9444444444444444
6,4,NOVA1 SRSF3 nSR100 RBM22 TRA2B ESRP2,0.9444444444444444
9,4,U6 SRSF3 nSR100 SF3BTV1 NOVA1 ESRP1 SKIP SC35 PTB,0.9444444444444444
8,6,FBP11 SRSF3 nSR100 RBM3 NOVA1 ESRP1 SKIP SAM68TV1,0.9444444444444444
10,7,FBP11 SRSF3 nSR100 RBM3 NOVA1 ESRP1 SKIP SAM68TV1 SF3BTV2 CA150,0.9444444444444444
8,5,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP,0.9444444444444444
9,5,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6,0.9444444444444444
11,6,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6 TRA2A U2AF2,0.9444444444444444
12,7,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6 TRA2A U12 U4,0.9444444444444444
12,8,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6 TRA2A U12 SRSF5,0.9444444444444444
7,5,RAVER1 SRSF3 nSR100 NOVA1 ESRP1 SF3BTV2 U11,0.9444444444444444
10,7,U2 SRSF3 nSR100 NOVA1 SKIP U6 SAM68TV1 RBM45 U4ATAC U2AF2,0.9444444444444444
11,10,SRSF10 SRSF3 nSR100 RBM22 RBM3 NOVA1 RBM45 U4ATAC U1 TRA2A SF3BTV2,0.9444444444444444
10,8,FBP11 SRSF3 nSR100 RBM3 NOVA1 ESRP1 SKIP SAM68TV1 SF3BTV2 TIA1,0.9375
7,4,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1,0.9375
6,4,U2AF2 SRSF3 nSR100 SAM68TV1 RBM45 MAGOH,0.9375
7,5,U2AF2 SRSF3 nSR100 SAM68TV1 RBM45 MAGOH U11,0.9375
8,5,U2AF2 SRSF3 nSR100 SAM68TV1 RBM45 MAGOH U11 PRP8,0.9375
7,6,SRSF3 nSR100 RBM22 RBM3 NOVA1 U5 RBM45,0.9305555555555556
6,4,NOVA1 SRSF3 nSR100 RBM22 TRA2B ESRP1,0.9305555555555556
6,5,NOVA1 SRSF3 nSR100 RBM22 TRA2B SAM68TV1,0.9305555555555556
6,5,NOVA1 SRSF3 nSR100 RBM22 TRA2B U1,0.9305555555555556
6,5,NOVA1 SRSF3 nSR100 RBM22 TRA2B SF3BTV2,0.9305555555555556
6,4,NOVA1 SRSF3 nSR100 RBM22 TRA2B PRP8,0.9305555555555556
10,6,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6 RBM45,0.9305555555555556
12,7,SAM68TV1 SRSF3 nSR100 RBM22 SF3BTV1 NOVA1 ESRP1 SKIP U6 TRA2A U12 PRP8,0.9305555555555556
6,5,U4ATAC SRSF3 nSR100 NOVA1 SRSF9 MAGOH,0.9305555555555556
