Number-Atts,Number-Significant,Atts,AUC
6,5,SKIP SRSF3 nSR100 RBM22 U5 U11,0.9583333333333334
5,4,SKIP SRSF3 nSR100 RBM22 U5,0.9444444444444444
6,5,SKIP SRSF3 nSR100 RBM22 U5 SF3BTV2,0.9305555555555556
7,6,SKIP SRSF3 nSR100 RBM22 U5 U11 SRSF1,0.9305555555555556
6,5,SKIP SRSF3 nSR100 RBM22 U5 RBM45,0.9166666666666666
7,6,SKIP SRSF3 nSR100 RBM22 U5 U11 SND1,0.9166666666666666
6,4,U5 SRSF3 nSR100 SF3BTV1 U2 TIA1,0.9166666666666666
8,5,U2AF2 SRSF3 nSR100 SF3BTV1 TRA2B SKIP MAGOH SND1,0.9166666666666666
7,4,MAGOH SRSF3 nSR100 SF3BTV1 ESRP1 FBP11 U11,0.9166666666666666
9,5,U11 SRSF3 nSR100 SF3BTV1 TRA2B ESRP1 SKIP U5 U6,0.9166666666666666
8,6,SRM160 SRSF3 nSR100 SF3BTV1 TRA2B U5 U4ATAC U1,0.9166666666666666
9,7,SRM160 SRSF3 nSR100 SF3BTV1 TRA2B U5 U4ATAC U1 U11,0.9166666666666666
10,8,SRM160 SRSF3 nSR100 SF3BTV1 TRA2B U5 U4ATAC U1 U11 TIA1,0.9166666666666666
7,5,SRSF3 nSR100 SF3BTV1 TRA2B NOVA1 SKIP RBM17,0.9027777777777778
8,6,SRSF3 nSR100 SF3BTV1 TRA2B NOVA1 SKIP RBM17 TIA1,0.9027777777777778
7,5,RBM22 SRSF3 SF3BTV1 RBM3 TRA2B SRSF9 ESRP1,0.9027777777777778
8,6,RBM22 SRSF3 SF3BTV1 RBM3 TRA2B SRSF9 ESRP1 SRSF5,0.9027777777777778
5,4,SRSF9 SRSF3 SF3BTV1 NOVA1 SRSF4,0.9027777777777778
6,4,SKIP SRSF3 nSR100 RBM22 U5 SC35,0.9027777777777778
6,3,U2AF2 SRSF3 nSR100 SF3BTV1 TRA2B SKIP,0.9027777777777778
7,4,U2AF2 SRSF3 nSR100 SF3BTV1 TRA2B SKIP MAGOH,0.9027777777777778
10,5,U11 SRSF3 nSR100 SF3BTV1 TRA2B ESRP1 SKIP U5 U6 U4,0.9027777777777778
8,5,CUGBP SRSF3 nSR100 RBM22 SKIP U5 SC35 TRA2A,0.9027777777777778
9,5,CUGBP SRSF3 nSR100 RBM22 SKIP U5 SC35 TRA2A U2AF2,0.9027777777777778
9,6,SRM160 SRSF3 nSR100 SF3BTV1 TRA2B U5 U4ATAC U1 U2AF2,0.9027777777777778
8,6,TRA2B SRSF3 nSR100 SKIP U1 RBM17 CUGBP U2,0.8888888888888888
6,5,SKIP SRSF3 nSR100 RBM22 U5 TRA2A,0.8888888888888888
6,4,SKIP SRSF3 nSR100 RBM22 U5 U2AF2,0.8888888888888888
6,5,SKIP SRSF3 nSR100 RBM22 U5 MAGOH,0.8888888888888888
7,6,SKIP SRSF3 nSR100 RBM22 U5 U11 SRSF4,0.8888888888888888
10,6,RBM45 SRSF3 nSR100 RBM22 SF3BTV1 RBM3 TRA2B ESRP1 SAM68TV1 SC35,0.8888888888888888
10,6,SC35 SRSF3 nSR100 RBM22 SF3BTV1 TRA2B SKIP SAM68TV1 ESRP2 SND1,0.8888888888888888
7,4,U4ATAC SRSF3 nSR100 SF3BTV1 TRA2B NOVA1 U6,0.8888888888888888
7,4,U1 SRSF3 nSR100 SF3BTV1 TRA2B U5 U6,0.8888888888888888
8,4,U1 SRSF3 nSR100 SF3BTV1 TRA2B U5 U6 CUGBP,0.8888888888888888
8,6,TRA2A SRSF3 nSR100 SF3BTV1 TRA2B RBM45 MAGOH U11,0.8888888888888888
9,7,RAVER1 SRSF3 nSR100 SF3BTV1 TRA2B NOVA1 PTB RBM17 SRSF5,0.8888888888888888
9,6,U2AF2 SRSF3 nSR100 SF3BTV1 TRA2B SKIP MAGOH SND1 SRM160,0.8888888888888888
7,5,SF3BTV2 SRSF3 nSR100 SF3BTV1 TRA2B NOVA1 U12,0.8888888888888888
6,3,ESRP2 SRSF3 nSR100 SF3BTV1 TRA2B SKIP,0.8888888888888888
10,6,U11 SRSF3 nSR100 SF3BTV1 TRA2B ESRP1 SKIP U5 U6 PTB,0.8888888888888888
10,6,U11 SRSF3 nSR100 SF3BTV1 TRA2B ESRP1 SKIP U5 U6 SRSF1,0.8888888888888888
13,10,SRSF6 SRSF3 nSR100 SF3BTV1 RBM3 TRA2B ESRP1 SKIP U6ATAC SAM68TV1 U11 SRSF5 SRM160,0.8888888888888888
8,5,SRSF1 SRSF3 nSR100 SF3BTV1 TRA2B NOVA1 U4ATAC U2AF2,0.8888888888888888
9,6,SRSF1 SRSF3 nSR100 SF3BTV1 TRA2B NOVA1 U4ATAC U2AF2 U2,0.8888888888888888
11,7,TIA1 SRSF3 nSR100 RBM22 SF3BTV1 RBM3 TRA2B NOVA1 ESRP1 U6ATAC U2AF2,0.8888888888888888
9,7,SRM160 SRSF3 nSR100 SF3BTV1 TRA2B U5 U4ATAC U1 MAGOH,0.8888888888888888
10,7,SRM160 SRSF3 nSR100 SF3BTV1 TRA2B U5 U4ATAC U1 U11 CUGBP,0.8888888888888888
10,6,U11 SRSF3 nSR100 SF3BTV1 TRA2B ESRP1 SKIP U5 U6 TIA1,0.8819444444444443
