Number-Atts,Number-Significant,Atts,AUC
6,6,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1,1.0
7,7,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1 U12,1.0
8,8,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1 U12 RBM17,1.0
9,9,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1 U12 RBM17 SRM160,1.0
10,10,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RBM3,1.0
11,11,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RBM3 RAVER1,1.0
12,12,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RBM3 RAVER1 U5,1.0
13,13,SAM68TV1 SRSF10 PSF MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RBM3 RAVER1 U5 PTB,1.0
5,5,PSF SAM68TV1 MAGOH TIA1 SRSF1,1.0
6,6,PSF SAM68TV1 MAGOH TIA1 SRSF1 U12,1.0
7,7,PSF SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17,1.0
8,8,PSF SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 RBM3,1.0
9,9,PSF SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 RBM3 U5,1.0
10,10,PSF SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 RBM3 U5 U1,1.0
8,8,MAGOH SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RBM17,1.0
9,9,MAGOH SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RBM17 SRM160,1.0
10,10,MAGOH SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RBM17 SRM160 RBM3,1.0
11,11,MAGOH SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RBM17 SRM160 RBM3 RAVER1,1.0
12,12,MAGOH SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RBM17 SRM160 RBM3 RAVER1 SF3BTV2,1.0
13,13,MAGOH SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RBM17 SRM160 RBM3 RAVER1 SF3BTV2 PTB,1.0
6,6,TIA1 SAM68TV1 SRSF10 PSF U6ATAC SRSF1,1.0
7,7,TIA1 SAM68TV1 SRSF10 PSF U6ATAC SRSF1 U12,1.0
8,8,TIA1 SAM68TV1 SRSF10 PSF U6ATAC SRSF1 U12 SRM160,1.0
9,9,TIA1 SAM68TV1 SRSF10 PSF U6ATAC SRSF1 U12 SRM160 RBM3,1.0
10,10,TIA1 SAM68TV1 SRSF10 PSF U6ATAC SRSF1 U12 SRM160 RBM3 PTB,1.0
11,11,TIA1 SAM68TV1 SRSF10 PSF U6ATAC SRSF1 U12 SRM160 RBM3 PTB SRSF3,1.0
9,9,SRSF1 SAM68TV1 SRSF10 PSF MAGOH U6ATAC TIA1 U12 RBM17,1.0
8,8,U12 SAM68TV1 MAGOH U6ATAC TIA1 SRSF1 RBM17 SRM160,1.0
9,9,U12 SAM68TV1 MAGOH U6ATAC TIA1 SRSF1 RBM17 SRM160 RBM3,1.0
10,10,U12 SAM68TV1 MAGOH U6ATAC TIA1 SRSF1 RBM17 SRM160 RBM3 RAVER1,1.0
11,11,U12 SAM68TV1 MAGOH U6ATAC TIA1 SRSF1 RBM17 SRM160 RBM3 RAVER1 SF3BTV2,1.0
12,12,U12 SAM68TV1 MAGOH U6ATAC TIA1 SRSF1 RBM17 SRM160 RBM3 RAVER1 SF3BTV2 U1,1.0
13,13,U12 SAM68TV1 MAGOH U6ATAC TIA1 SRSF1 RBM17 SRM160 RBM3 RAVER1 SF3BTV2 U1 RBM45,1.0
14,14,U12 SAM68TV1 MAGOH U6ATAC TIA1 SRSF1 RBM17 SRM160 RBM3 RAVER1 SF3BTV2 U1 RBM45 PTB,1.0
4,4,RBM17 SAM68TV1 SRSF10 TIA1,1.0
5,5,RBM17 SAM68TV1 SRSF10 TIA1 U12,1.0
6,6,RBM17 SAM68TV1 SRSF10 TIA1 U12 RAVER1,1.0
7,7,RBM17 SAM68TV1 SRSF10 TIA1 U12 RAVER1 U5,1.0
8,8,RBM17 SAM68TV1 SRSF10 TIA1 U12 RAVER1 U5 U1,1.0
9,9,RBM17 SAM68TV1 SRSF10 TIA1 U12 RAVER1 U5 U1 RBM45,1.0
10,10,SRM160 SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RAVER1 U5 U1,1.0
11,11,SRM160 SAM68TV1 SRSF10 U6ATAC TIA1 SRSF1 U12 RAVER1 U5 U1 RBM45,1.0
5,5,RBM3 SAM68TV1 MAGOH TIA1 SRSF1,1.0
6,6,RBM3 SAM68TV1 MAGOH TIA1 SRSF1 U12,1.0
7,7,RBM3 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17,1.0
8,8,RBM3 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 SRM160,1.0
9,9,RBM3 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RAVER1,1.0
10,10,RBM3 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RAVER1 SF3BTV2,1.0
11,11,RBM3 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RAVER1 SF3BTV2 RBM45,1.0
6,6,RAVER1 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1,1.0
7,7,RAVER1 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 U12,1.0
8,8,RAVER1 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 U12 RBM17,1.0
9,9,RAVER1 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 U12 RBM17 SRM160,1.0
10,10,RAVER1 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RBM3,1.0
11,11,RAVER1 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RBM3 U1,1.0
12,12,RAVER1 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 U12 RBM17 SRM160 RBM3 U1 PTB,1.0
6,6,SF3BTV2 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1,1.0
7,7,SF3BTV2 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 SRM160,1.0
8,8,SF3BTV2 SAM68TV1 SRSF10 MAGOH TIA1 SRSF1 SRM160 U5,1.0
5,5,U5 SAM68TV1 MAGOH TIA1 SRSF1,1.0
6,6,U5 SAM68TV1 MAGOH TIA1 SRSF1 U12,1.0
7,7,U5 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17,1.0
8,8,U5 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 RBM3,1.0
9,9,U5 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 RBM3 RAVER1,1.0
10,10,U5 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 RBM3 RAVER1 SF3BTV2,1.0
11,11,U5 SAM68TV1 MAGOH TIA1 SRSF1 U12 RBM17 RBM3 RAVER1 SF3BTV2 PTB,1.0
6,6,U1 SAM68TV1 SRSF10 PSF TIA1 SRSF1,1.0
7,7,U1 SAM68TV1 SRSF10 PSF TIA1 SRSF1 U12,1.0
8,8,U1 SAM68TV1 SRSF10 PSF TIA1 SRSF1 U12 SRM160,1.0
9,9,U1 SAM68TV1 SRSF10 PSF TIA1 SRSF1 U12 SRM160 RBM3,1.0
