Number-Atts,Number-Significant,Atts,AUC
8,8,SRSF6 SF3BTV2 RAVER1 FBP11 U6ATAC TRA2B SRSF1 SKIP,0.8785714285714286
7,7,TRA2B SF3BTV2 RAVER1 U11 FBP11 SRSF6 U6ATAC,0.8785714285714286
4,4,SRSF1 SF3BTV2 SND1 SRSF6,0.8785714285714286
3,3,U12 SF3BTV2 FBP11,0.8642857142857143
6,6,PSF SF3BTV2 RAVER1 SND1 SRSF10 TIA1,0.8428571428571429
5,5,TIA1 SF3BTV2 SND1 U11 FBP11,0.8428571428571429
6,6,TIA1 SF3BTV2 SND1 U11 FBP11 U6ATAC,0.8428571428571429
7,7,TIA1 SF3BTV2 SND1 U11 FBP11 U6ATAC SAM68TV1,0.8428571428571429
5,5,SRSF1 SF3BTV2 SND1 SRSF6 U6ATAC,0.8428571428571429
5,5,SRSF1 SF3BTV2 SND1 SRSF6 MAGOH,0.8428571428571429
6,6,SRSF6 SF3BTV2 RAVER1 FBP11 U6ATAC TRA2B,0.8285714285714286
7,7,SRSF6 SF3BTV2 RAVER1 FBP11 U6ATAC TRA2B SRSF1,0.8285714285714286
5,5,TRA2B SF3BTV2 RAVER1 U11 FBP11,0.8285714285714286
6,6,TRA2B SF3BTV2 RAVER1 U11 FBP11 SRSF6,0.8285714285714286
3,3,FBP11 SF3BTV2 SND1,0.8142857142857144
4,4,SRSF3 SF3BTV2 RAVER1 U12,0.8142857142857144
4,4,TRA2A SF3BTV2 U12 FBP11,0.8142857142857144
7,7,PSF SF3BTV2 RAVER1 SND1 SRSF10 TIA1 MAGOH,0.8071428571428573
6,6,TIA1 SF3BTV2 SND1 U11 FBP11 SRSF10,0.8071428571428573
5,5,SRSF1 SF3BTV2 SND1 SRSF6 PSF,0.8071428571428573
4,4,U12 SF3BTV2 FBP11 SRSF6,0.8000000000000002
