Number-Atts,Number-Significant,Atts,AUC
3,3,SRSF10 SAM68TV1 RAVER1,0.875
4,4,SRSF10 SAM68TV1 RAVER1 RBM3,0.875
5,5,SRSF10 SAM68TV1 RAVER1 RBM3 SF3BTV2,0.875
3,3,RBM3 SAM68TV1 RAVER1,0.8392857142857143
4,4,RBM3 SAM68TV1 RAVER1 SF3BTV2,0.8392857142857143
5,5,RBM3 SAM68TV1 RAVER1 SF3BTV2 U1,0.8392857142857143
6,6,RBM3 SAM68TV1 RAVER1 SF3BTV2 U1 SRSF10,0.8392857142857143
7,7,RBM3 SAM68TV1 RAVER1 SF3BTV2 U1 SRSF10 SRSF9,0.8392857142857143
5,5,SRSF10 SAM68TV1 RAVER1 RBM3 SRSF5,0.8392857142857143
4,4,RBM3 SAM68TV1 RAVER1 SRSF5,0.8035714285714286
7,7,RBM3 SAM68TV1 RAVER1 SF3BTV2 U1 SRSF10 MAGOH,0.8035714285714286
7,7,RBM3 SAM68TV1 RAVER1 SF3BTV2 U1 SRSF10 FBP11,0.8035714285714286
8,8,RBM3 SAM68TV1 RAVER1 SF3BTV2 U1 SRSF10 SRSF9 PTB,0.8035714285714286
6,6,MAGOH SAM68TV1 U6ATAC RAVER1 RBM3 SRSF5,0.8035714285714286
7,7,MAGOH SAM68TV1 U6ATAC RAVER1 RBM3 SRSF5 SF3BTV2,0.8035714285714286
3,3,TRA2B SAM68TV1 RAVER1,0.8035714285714286
