Number-Atts,Number-Significant,Atts,AUC
8,6,MAGOH U6ATAC RBM3 TRA2B U2AF2 SF3BTV2 SRSF1 CUGBP,0.976190476190476
9,7,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1 U1 SRSF9,0.9603174603174603
8,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC,0.9603174603174603
9,7,MAGOH U6ATAC RBM3 TRA2B U2AF2 SF3BTV2 SRSF1 CUGBP U12,0.9523809523809524
8,6,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1 U1,0.9523809523809524
9,7,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC SAM68TV1,0.9444444444444444
9,7,MAGOH U6ATAC RBM3 TRA2B U2AF2 SF3BTV2 SRSF1 CUGBP SRSF3,0.9365079365079364
9,7,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1 U1 U12,0.9365079365079364
7,5,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17,0.9365079365079364
9,7,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC SKIP,0.9365079365079364
8,5,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U2AF2,0.9285714285714286
9,7,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC U2,0.9285714285714286
7,5,U6 RBM3 TRA2B SRSF1 U4 U4ATAC U11,0.9206349206349205
10,8,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1 U1 SRSF9 TRA2A,0.9206349206349205
7,5,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC CUGBP,0.9126984126984127
5,3,U6 RBM3 TRA2B SRSF1 U4,0.9126984126984127
6,4,U6 RBM3 TRA2B SRSF1 U4 U4ATAC,0.9126984126984127
8,5,U6 RBM3 TRA2B SRSF1 U4 U4ATAC U11 PRP8,0.9126984126984127
8,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 SRM160,0.9126984126984127
8,5,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 SC35,0.9126984126984127
8,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 SRSF1,0.9126984126984127
8,6,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC CUGBP SRSF6,0.9047619047619048
5,4,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1,0.9047619047619048
6,5,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 TRA2A,0.9047619047619048
10,8,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1 U1 SRSF9 SRSF4,0.9047619047619048
12,9,FBP11 U6ATAC U6 RBM3 TRA2B RBM17 U2AF2 SRSF1 U4 U2 U5 U11,0.9047619047619048
6,4,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1,0.9047619047619048
8,5,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4,0.9047619047619048
8,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 RAVER1,0.9047619047619048
9,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC CUGBP,0.9047619047619048
9,7,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC U11,0.9047619047619048
6,5,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC,0.8968253968253969
8,6,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC CUGBP SAM68TV1,0.8968253968253969
8,6,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC CUGBP SKIP,0.8968253968253969
4,3,U6 RBM3 TRA2B SRSF1,0.8968253968253969
7,4,U6 RBM3 TRA2B SRSF1 U4 U4ATAC CA150,0.8968253968253969
8,6,U6 RBM3 TRA2B SRSF1 U4 U4ATAC U11 U1,0.8968253968253969
9,7,MAGOH U6ATAC RBM3 TRA2B U2AF2 SF3BTV2 SRSF1 CUGBP PSF,0.8968253968253969
9,7,MAGOH U6ATAC RBM3 TRA2B U2AF2 SF3BTV2 SRSF1 CUGBP SRSF9,0.8968253968253969
6,4,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 ESRP1,0.8968253968253969
6,5,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 U1,0.8968253968253969
9,7,CA150 U6ATAC RBM3 TRA2B SF3BTV1 RBM22 MAGOH SRSF3 U5,0.8968253968253969
10,8,CA150 U6ATAC RBM3 TRA2B SF3BTV1 RBM22 MAGOH SRSF3 U5 SKIP,0.8968253968253969
10,7,SRSF3 U6ATAC U6 RBM3 TRA2B U2AF2 MAGOH SF3BTV2 SRSF1 U2AF1,0.8968253968253969
9,6,PRP8 U6ATAC TRA2B U2AF2 SF3BTV2 SRSF1 SAM68TV1 CA150 SKIP,0.8968253968253969
7,5,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 PTB,0.8968253968253969
8,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 SF3BTV2,0.8968253968253969
9,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC nSR100,0.8968253968253969
11,7,TRA2A U6ATAC U6 TRA2B SF3BTV1 U2AF2 SF3BTV2 SRSF1 SAM68TV1 CA150 SRSF3,0.8968253968253969
8,6,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC CUGBP PSF,0.8888888888888888
8,6,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC CUGBP SND1,0.8888888888888888
7,5,U6 RBM3 TRA2B SRSF1 U4 U4ATAC RBM45,0.8888888888888888
8,6,U6 RBM3 TRA2B SRSF1 U4 U4ATAC U11 SRSF4,0.8888888888888888
9,6,MAGOH U6ATAC RBM3 TRA2B U2AF2 SF3BTV2 SRSF1 CUGBP PRP8,0.8888888888888888
9,7,MAGOH U6ATAC RBM3 TRA2B U2AF2 SF3BTV2 SRSF1 CUGBP U1,0.8888888888888888
6,4,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 SC35,0.8888888888888888
6,4,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 CUGBP,0.8888888888888888
6,5,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 SND1,0.8888888888888888
6,5,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 U11,0.8888888888888888
6,4,SRSF1 U6ATAC RBM3 TRA2B SF3BTV1 PRP8,0.8888888888888888
9,7,SRSF3 U6ATAC U6 RBM3 TRA2B U2AF2 MAGOH SF3BTV2 SRSF1,0.8888888888888888
7,5,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1,0.8888888888888888
10,8,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1 U1 SRSF9 SRSF10,0.8888888888888888
10,8,U11 U6ATAC RBM3 TRA2B SF3BTV1 MAGOH U2AF1 U1 SRSF9 SRSF6,0.8888888888888888
8,5,PRP8 U6ATAC TRA2B U2AF2 SF3BTV2 SRSF1 SAM68TV1 CA150,0.8888888888888888
9,6,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC ESRP1,0.8888888888888888
9,7,U1 U6ATAC U6 RBM3 TRA2B SF3BTV1 RBM17 U4ATAC SRSF3,0.8888888888888888
8,6,U6ATAC U6 RBM3 TRA2B SRSF1 U4ATAC CUGBP RBM45,0.8809523809523808
8,6,U6 RBM3 TRA2B SRSF1 U4 U4ATAC U11 FBP11,0.8809523809523808
8,6,U6 RBM3 TRA2B SRSF1 U4 U4ATAC U11 U12,0.8809523809523808
6,5,RBM3 U6ATAC TRA2B RBM17 SC35 SRSF1,0.8809523809523808
7,6,RBM3 U6ATAC TRA2B RBM17 SC35 SRSF1 SRSF9,0.8809523809523808
