Number-Atts,Number-Significant,Atts,AUC
8,6,SND1 RBM22 SF3BTV2 PSF U2AF1 RAVER1 SRSF4 nSR100,0.8999999999999999
9,7,SND1 RBM22 SF3BTV2 PSF U2AF1 RAVER1 SRSF4 nSR100 U11,0.8999999999999999
10,8,SND1 RBM22 SF3BTV2 PSF U2AF1 RAVER1 SRSF4 nSR100 U11 SRSF5,0.8999999999999999
9,7,TIA1 RBM22 PSF ESRP1 RBM17 U12 FBP11 ESRP2 NOVA1,0.8875
10,7,TIA1 RBM22 PSF ESRP1 RBM17 U12 FBP11 ESRP2 NOVA1 CA150,0.8875
12,8,ESRP2 RBM22 SF3BTV2 PSF U2AF1 TIA1 ESRP1 RBM17 U12 RAVER1 nSR100 SND1,0.8875
13,9,ESRP2 RBM22 SF3BTV2 PSF U2AF1 TIA1 ESRP1 RBM17 U12 RAVER1 nSR100 SND1 SRSF5,0.8875
14,10,ESRP2 RBM22 SF3BTV2 PSF U2AF1 TIA1 ESRP1 RBM17 U12 RAVER1 nSR100 SND1 SRSF5 U1,0.8875
15,11,ESRP2 RBM22 SF3BTV2 PSF U2AF1 TIA1 ESRP1 RBM17 U12 RAVER1 nSR100 SND1 SRSF5 U1 TRA2A,0.8875
16,12,ESRP2 RBM22 SF3BTV2 PSF U2AF1 TIA1 ESRP1 RBM17 U12 RAVER1 nSR100 SND1 SRSF5 U1 TRA2A SRSF9,0.8875
10,9,RAVER1 RBM22 SF3BTV2 PSF U2AF1 RBM17 SRSF10 U12 SND1 SRSF5,0.8875
11,10,RAVER1 RBM22 SF3BTV2 PSF U2AF1 RBM17 SRSF10 U12 SND1 SRSF5 SRSF1,0.8875
12,11,RAVER1 RBM22 SF3BTV2 PSF U2AF1 RBM17 SRSF10 U12 SND1 SRSF5 SRSF1 U1,0.8875
5,4,MAGOH RBM22 SKIP TRA2B CUGBP,0.8875
6,5,MAGOH RBM22 SKIP TRA2B CUGBP U12,0.8875
9,4,TRA2B RBM22 U2AF1 TIA1 ESRP1 SC35 U12 ESRP2 U2AF2,0.875
4,1,U6 RBM22 SF3BTV1 ESRP1,0.875
5,2,U6 RBM22 SF3BTV1 ESRP1 SKIP,0.875
6,3,U6 RBM22 SF3BTV1 ESRP1 SKIP U6ATAC,0.875
6,2,PRP8 RBM22 SF3BTV1 ESRP1 SC35 SKIP,0.875
7,2,PRP8 RBM22 SF3BTV1 ESRP1 SC35 SKIP U6,0.875
19,11,SF3BTV1 RBM22 SF3BTV2 TIA1 ESRP1 SC35 SKIP U6ATAC U6 FBP11 PTB ESRP2 RBM45 NOVA1 SRSF4 U2AF2 PRP8 nSR100 SRSF5,0.8374999999999999
20,12,SF3BTV1 RBM22 SF3BTV2 TIA1 ESRP1 SC35 SKIP U6ATAC U6 FBP11 PTB ESRP2 RBM45 NOVA1 SRSF4 U2AF2 PRP8 nSR100 SRSF5 SRSF1,0.8374999999999999
8,6,TIA1 RBM22 PSF ESRP1 RBM17 U12 FBP11 ESRP2,0.8374999999999999
11,7,TIA1 RBM22 PSF ESRP1 RBM17 U12 FBP11 ESRP2 NOVA1 CA150 PRP8,0.8374999999999999
8,6,RBM17 RBM22 SF3BTV2 PSF U2AF1 U12 nSR100 SRSF1,0.8374999999999999
11,8,SRSF6 RBM22 SF3BTV2 TIA1 ESRP1 U6ATAC RBM17 U6 FBP11 ESRP2 NOVA1,0.8374999999999999
12,8,SRSF6 RBM22 SF3BTV2 TIA1 ESRP1 U6ATAC RBM17 U6 FBP11 ESRP2 NOVA1 U2AF2,0.8374999999999999
13,8,SRSF6 RBM22 SF3BTV2 TIA1 ESRP1 U6ATAC RBM17 U6 FBP11 ESRP2 NOVA1 U2AF2 nSR100,0.8374999999999999
15,11,ESRP2 RBM22 SF3BTV2 PSF U2AF1 TIA1 ESRP1 RBM17 U12 RAVER1 nSR100 SND1 SRSF5 U1 SRM160,0.8374999999999999
8,7,RAVER1 RBM22 SF3BTV2 PSF U2AF1 RBM17 SRSF10 U12,0.8374999999999999
