Number-Atts,Number-Significant,Atts,AUC
6,6,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1,1.0
3,3,TRA2A U4ATAC U12,0.9833333333333333
4,4,TRA2A U4ATAC U12 RBM45,0.9833333333333333
5,5,TRA2A U4ATAC U12 RBM45 SRSF1,0.9833333333333333
6,6,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5,0.9833333333333333
4,4,TRA2A U4ATAC U12 SRSF9,0.975
4,4,TRA2A U4ATAC U12 U1,0.975
7,7,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9 SRSF1,0.975
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 FBP11,0.975
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 PTB,0.975
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 SRSF6,0.975
7,7,U1 RBM22 TRA2A U4ATAC U12 MAGOH SRSF1,0.9583333333333335
4,4,TRA2A U4ATAC U12 SND1,0.95
7,7,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5 SRSF10,0.95
6,6,TIA1 RBM22 TRA2A U4ATAC U12 U1,0.95
7,7,TIA1 RBM22 TRA2A U4ATAC U12 U1 U6ATAC,0.95
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 SRSF5,0.95
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 TRA2B,0.95
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 NOVA1,0.95
11,11,SRSF6 RBM22 TRA2A U4ATAC U12 MAGOH SRSF9 U6ATAC PSF TRA2B U11,0.95
4,4,TRA2A U4ATAC U12 SF3BTV2,0.9416666666666668
5,5,TRA2A U4ATAC U12 RBM45 SKIP,0.9416666666666668
7,7,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5 RAVER1,0.9416666666666668
6,6,MAGOH RBM22 TRA2A U4ATAC U12 SRSF9,0.9416666666666668
6,6,U1 RBM22 TRA2A U4ATAC U12 MAGOH,0.9416666666666668
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 SRSF3,0.9416666666666668
9,9,SRSF6 RBM22 TRA2A U4ATAC U12 MAGOH SRSF9 U6ATAC PSF,0.9416666666666668
10,10,SRSF6 RBM22 TRA2A U4ATAC U12 MAGOH SRSF9 U6ATAC PSF TRA2B,0.9416666666666668
4,4,TRA2A U4ATAC U12 MAGOH,0.9333333333333332
7,7,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5 U2,0.9333333333333332
7,7,SF3BTV2 RBM22 TRA2A U4ATAC U12 SND1 SRSF3,0.9333333333333332
7,7,U1 RBM22 TRA2A U4ATAC U12 MAGOH RBM45,0.9333333333333332
5,5,TRA2B RBM22 TRA2A U4ATAC U12,0.9333333333333332
5,5,TIA1 RBM22 TRA2A U4ATAC U12,0.9333333333333332
5,5,SRSF10 RBM22 TRA2A U4ATAC U12,0.9333333333333332
6,6,SRSF10 RBM22 TRA2A U4ATAC U12 SRSF1,0.9333333333333332
7,7,SRSF4 RBM22 TRA2A U12 MAGOH SRSF1 RAVER1,0.9333333333333332
4,4,TRA2A U4ATAC U12 U6ATAC,0.925
7,7,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5 TRA2B,0.925
7,7,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5 SRSF6,0.925
7,7,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5 SRM160,0.925
7,7,TRA2A U4ATAC U12 RBM45 SRSF1 SRSF5 U11,0.925
6,6,SF3BTV2 RBM22 TRA2A U4ATAC U12 SND1,0.925
