id,CA150,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,sf3btv1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC
CP_0016,25198319.3509471,5969029.48527027,115995.26419262,9473.60791678338,24574770.0001868,9109616.50239005,277492.316660626,,42499381.0811894,114895.051454347,16018487.3525603,7911195.64978878,18699170.19424,16123182.4107728,35124806.1397048,2935143.90376123,1651219.98297961,4231439.6826922,2696468.19612409,32593501.0939234,130942.124115717,37441162.4048404,26613799.6756816,16856.9361708622,21009265.840066,84371656.6650345,14324564.916712,140594439.403815,10062121.636059,59964067.7221748,16914216.3696619,46143278.9341793,32360221.3410999,,103032847.62477,115250.942152396,259719548.921477,20391457.426933,16615522.7545697,2346230503.99691,2737257.49546113,562617.116503268,769140.524519112,1510938.15625738
CP_0018,45275339.4536413,10512735.2541518,95406.760337657,51018.4890831441,46277331.1400535,7135514.31244675,1065699.71833782,2879.6901880228,71735637.3230395,215526.833117638,26192218.4774913,17256718.4778893,33064795.2160614,34247656.0667326,61281372.9991655,9086937.77778987,2185699.64292458,3407990.91219231,4795380.713516,41529774.1880873,162566.382134242,57650744.4822313,42498867.974796,14838.492641088,49203089.980411,189230812.401211,28495743.5588748,215621853.579546,11528598.4085451,155640966.910434,33127063.9018478,78135578.0325803,99604987.8941774,,180127034.927286,79579.7190596708,397408428.250536,25049611.8901689,32101117.482316,1352480737.59282,1578243.55814273,58800241.5145757,83575722.0350801,3030399.89982042
CP_0043,41836067.3015041,8513709.99322069,56739.1440956166,6799.10325708085,32703246.7368395,1290244.22770769,313025.876170323,,95990780.7168344,50686.2248701808,34519693.5739965,19411282.9041549,35091024.3693383,27397836.0300588,106111467.673738,5790019.11348189,1769268.04498373,3671783.40165079,771253.542201219,33460860.7391825,81453.3408931116,73014665.1437986,34155332.4879108,8262.87280655202,54471457.0447367,134138074.434523,24993159.3357545,224943133.662328,15216421.63499,111114855.763364,17728360.4578329,51891826.8120867,45659062.8662184,150371234.054716,78051905.3805298,24325.773971758,168875403.107521,18574437.4203245,18080553.6460308,268365888.831423,144972.018826103,25280337.1749142,57454346.1366912,2662638.12095918
CP_0058,40139426.3411188,7579737.34738441,144980.76650385,,44866971.103743,5624360.75716951,548809.856271848,10111.3346765325,65870642.7712957,83649.5726487121,21803260.1403957,6342159.34934113,19653953.2562697,28165578.1450427,42007331.5618706,4934573.02272956,1920615.86905359,3420109.33286945,7218239.86653356,57290293.3363206,103113.578739736,22357586.6204444,31053140.6093596,107785.587726367,35774991.5425469,192068609.871555,12737161.725835,86793135.8997747,1325163.9857601,85510198.8087267,27733398.827905,33678033.5465549,47631003.1387805,125761272.220847,208749303.23843,44197.1220897266,947266295.774686,12081811.4136446,13706811.0166772,6934971341.45327,4025228.46453393,21168505.3881221,73100221.9732345,1648952.45365437
CP_0096,24122498.1089311,4499465.46948277,89490.6721821663,,40282218.1393771,8853027.94554216,597749.359818101,3350.75674178895,46521575.4015344,183607.17238487,19546255.9782937,9888495.98478892,17371980.21264,24993301.9366344,19744119.0824969,3935576.0102749,1577184.09014738,6455310.53622085,10593554.0096838,49660558.3205117,667581.051726339,26436727.3855267,33385884.9346901,29294.5804552588,26596465.1572985,81978066.8570591,15007171.4384918,139636346.985844,9216210.03738273,82820910.0080774,9307673.66083779,39587446.834857,22882551.9724609,,57334236.5764886,47186.2700883631,708700079.858685,14506678.3590644,19361766.1105129,1647163668.02678,2228222.86497281,9355680.23903218,14417499.1990074,2208787.24782925
CP_0100,24000149.4078812,5290659.42082262,331118.441525598,12608.7989208123,15632489.7888827,6997906.62158007,3202620.63230368,,52960893.9865272,14696.0614940733,17820516.0773228,7605036.27506165,26924439.6086854,13366557.9699035,33620176.4659735,3459590.79064194,461400.650558683,1907767.96149003,1189402.78164104,21890860.9539744,27525.5947316128,37990927.4935463,20916101.9114111,20205.63037096,22431079.0962731,67938702.8491909,14818716.7559604,144481979.82139,6821915.87928195,64206247.0286649,11038294.31601,30687088.6639636,12229589.1605077,,55708990.5476463,31800.5460250786,545550314.943782,17858391.7499945,16867006.7899267,5614418695.45815,1441189.57859468,59719199.5646643,89382975.7923577,3093127.57943375
CP_0128,38480119.129829,6499400.38107141,321803.843591856,15047.9860158387,9556113.09828195,1041883.17736611,524817.50245621,2860.83583673372,45946171.2475428,5246.43499096797,34102851.1014086,6515437.8579679,20473467.4520641,15209768.1029217,60316292.5335329,1198383.35070176,1272496.48792013,661036.800283286,180693.250647048,21467134.4253378,17290.0952189872,91415378.1644092,35144334.8813185,72231.2824868979,21064184.1166802,79313445.6062828,18181645.5521467,282485590.354255,10398060.4277272,171854043.915158,9055256.73579784,59233388.7178803,29720579.3673416,111021584.639307,184748249.41328,20656.6128676459,2612539740.56803,9775339.6778989,12399876.3906472,2843747265.86425,58097.8433671354,41935525.5693323,62853639.3741554,1305750.97236241
CP_0134,33011304.3162056,5555730.09009727,239178.948791382,13934.1032356439,44439785.8195989,1856718.51800524,267703.744611988,6444.84057880508,49395978.5717239,36855.9856078413,21972698.0768965,6815136.26513093,23432348.098522,19775627.7263471,43642431.471769,4037698.93756596,1182417.2844219,2369499.8020344,3300946.76868847,41600149.7070517,140206.861692862,54136890.3469215,26758346.5404709,,29593470.2339487,103661566.912382,11956175.5901751,199289056.580429,7357592.47799733,115991522.334719,8466244.36248701,65197726.3063909,42563534.1386477,132889753.93461,108005571.39525,4155.28714285077,987566127.118305,11549714.3224774,5069068.41062187,1738806350.34862,93545.2040627341,22292096.5490892,32753812.233661,879967.517204756
CP_0135,30963406.9895407,2432223.35364836,258520.586886504,,20214013.9817998,5586951.98296034,3493214.53996463,7521.07713581468,42374887.0731557,50516.3571174112,12348991.2744238,4780280.5060896,21540139.3228899,16869462.4792988,28947256.9565689,3624288.8584199,691909.286417848,2467150.19206884,2752406.88906511,24454635.3356379,134147.393153336,25251433.6020709,22934540.1987782,52720.2674387296,19233725.2734127,68805442.7109907,10382400.3422815,148286420.057526,6437331.24964762,55231343.0543997,6787991.72946089,33347259.1023333,16115594.2820805,,108801109.143957,129251.12981,1427801982.23984,11958744.7205128,12303756.1791148,3994666407.93625,2450181.26099579,43045245.3992503,71313692.1238962,2920333.88837485
CP_0136,45916307.0772955,7885251.67843406,116227.416234978,32444.7944818946,25190119.8550072,1237087.35149466,128250.245105451,1943.28966281206,67961084.5735582,43714.2491252616,35532028.4584285,11155358.6042945,24585477.5988616,16608590.6087098,63044976.3478118,2962696.99571585,1469179.42600724,1608592.15721517,1203160.86690408,33514720.9483096,40887.1060097397,64982570.641467,34619921.7343703,23286.1373251303,28551959.5537443,95378706.6086659,18510095.2686401,218603861.936948,14864847.1322075,128248158.085276,13316520.1578074,60800107.7827843,44243522.9692718,162700501.021335,114262258.18105,15740.7709745748,780299376.871061,12753842.6414295,17227518.0704473,699964884.78887,98401.0633943869,27445827.4793988,45234835.9379106,1437445.71609565
