Index	Var	Importance
79	U4ATAC_4h	0.987110433604336
78	U4_4h	0.846663279132791
82	U6ATAC_4h	0.76864837398374
46	MAGOH_4h	0.761907181571816
69	SRSF9_4h	0.711297425474255
38	U4ATAC_0h	0.708519647696477
30	TRA2A_0h	0.700525067750677
51	RAVER1_4h	0.692327235772358
44	ESRP1_4h	0.691514227642276
10	RAVER1_0h	0.689718834688347
37	U4_0h	0.688634823848238
26	SRSF5_0h	0.664278455284553
52	RBM17_4h	0.661636178861789
47	NOVA1_4h	0.628641598915989
11	RBM17_0h	0.624068428184282
55	RBM45_4h	0.59144647696477
60	SKIP_4h	0.586365176151762
50	PTB_4h	0.582943766937669
45	FBP11_4h	0.569766260162602
81	U6_4h	0.557537262872629
23	SRSF10_0h	0.557300135501355
80	U5_4h	0.551981707317073
5	MAGOH_0h	0.550423441734417
48	PRP8_4h	0.544461382113821
54	RBM3_4h	0.536941056910569
77	U2AF2_4h	0.536297425474255
58	sf3btv1_4h	0.525829945799458
33	U12_0h	0.525457317073171
64	SRSF10_4h	0.525389566395664
24	SRSF3_0h	0.521324525745257
28	SRSF9_0h	0.519529132791328
9	PTB_0h	0.515464092140921
67	SRSF5_4h	0.514617208672087
42	CA150_4h	0.512483062330623
73	U11_4h	0.509569783197832
29	TIA1_0h	0.501880081300813
3	ESRP1_0h	0.498086043360434
17	sf3btv1_0h	0.496595528455285
70	TIA1_4h	0.483756775067751
18	SF3BTV2_0h	0.481690379403794
8	PSF_0h	0.480369241192412
65	SRSF3_4h	0.479115853658537
41	U6ATAC_0h	0.478065718157182
72	TRA2B_4h	0.471460027100271
56	SAM68TV1_4h	0.468919376693767
4	FBP11_0h	0.467632113821138
1	CA150_0h	0.46695460704607
66	SRSF4_4h	0.464820460704607
57	SC35_4h	0.463804200542005
20	SND1_0h	0.457096883468835
19	SKIP_0h	0.453235094850948
59	SF3BTV2_4h	0.445342140921409
15	SAM68TV1_0h	0.443275745257453
62	SRM160_4h	0.442936991869919
61	SND1_4h	0.441819105691057
31	TRA2B_0h	0.439075203252033
7	PRP8_0h	0.43314701897019
71	TRA2A_4h	0.432605013550135
76	U2AF1_4h	0.431012872628726
68	SRSF6_4h	0.430267615176152
49	PSF_4h	0.429623983739837
25	SRSF4_0h	0.414820460704607
12	RBM22_0h	0.412212059620596
43	CUGBP_4h	0.408384146341463
21	SRM160_0h	0.407469512195122
2	CUGBP_0h	0.397239159891599
34	U2_0h	0.396731029810298
13	RBM3_0h	0.391615853658537
22	SRSF1_0h	0.38954945799458
40	U6_0h	0.387483062330623
36	U2AF2_0h	0.386500677506775
6	NOVA1_0h	0.38565379403794
39	U5_0h	0.383011517615176
14	RBM45_0h	0.374644308943089
32	U11_0h	0.360789295392954
74	U12_4h	0.357029132791328
27	SRSF6_0h	0.348865176151761
75	U2_4h	0.342293360433604
63	SRSF1_4h	0.335789295392954
53	RBM22_4h	0.327625338753388
16	SC35_0h	0.325694444444444
35	U2AF1_0h	0.323390921409214
