.
ID,NumberAtts,Atts,metricOpt
37,12,RAVER1_0h U5_0h SKIP_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h SRSF1_0h U2AF2_0h RBM3_0h PRP8_0h SRSF4_0h,0.789261294261294
35,11,RAVER1_0h U5_0h SKIP_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h SRSF1_0h U2AF2_0h RBM3_0h PRP8_0h,0.786477411477411
47,12,U12_0h U5_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h MAGOH_0h U6ATAC_0h SRSF1_0h PRP8_0h SC35_0h CUGBP_0h,0.784096459096459
41,13,RAVER1_0h U5_0h SKIP_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h SRSF1_0h U2AF2_0h RBM3_0h PRP8_0h SRSF4_0h SRM160_0h,0.782503052503053
5,10,U4ATAC_0h U4_0h U5_0h TIA1_0h SKIP_0h SRSF5_0h SRSF9_0h RBM45_0h SF3BTV2_0h PRP8_0h,0.775799755799756
34,10,RAVER1_0h U5_0h SKIP_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h SRSF1_0h U2AF2_0h RBM3_0h,0.77501221001221
24,12,PTB_0h TRA2A_0h RAVER1_0h U5_0h SRSF5_0h SRSF9_0h U2_0h TRA2B_0h MAGOH_0h SRSF1_0h SRSF6_0h U2AF2_0h,0.774859584859585
40,13,RAVER1_0h U5_0h SKIP_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h SRSF1_0h U2AF2_0h RBM3_0h PRP8_0h SRSF4_0h CUGBP_0h,0.773308913308913
7,11,U4ATAC_0h U4_0h U5_0h TIA1_0h SKIP_0h SRSF5_0h SRSF9_0h RBM45_0h SF3BTV2_0h PRP8_0h SRSF4_0h,0.772258852258852
44,11,U12_0h U5_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h MAGOH_0h U6ATAC_0h SRSF1_0h PRP8_0h SC35_0h,0.771874236874237
23,11,PTB_0h TRA2A_0h RAVER1_0h U5_0h SRSF5_0h SRSF9_0h U2_0h TRA2B_0h MAGOH_0h SRSF1_0h SRSF6_0h,0.771208791208791
19,10,PTB_0h TRA2A_0h RAVER1_0h U5_0h SRSF5_0h SRSF9_0h U2_0h TRA2B_0h MAGOH_0h SRSF1_0h,0.769096459096459
14,9,PTB_0h TRA2A_0h RAVER1_0h U5_0h SRSF5_0h SRSF9_0h U2_0h TRA2B_0h MAGOH_0h,0.768687423687424
45,12,U12_0h U5_0h SRSF5_0h SRSF9_0h U2_0h SF3BTV2_0h MAGOH_0h U6ATAC_0h SRSF1_0h PRP8_0h SC35_0h SRSF4_0h,0.767851037851038
