ID,NumberAtts,Atts,metricOpt
229,17,TRA2A_0h PTB_4h U4_0h SAM68TV1_0h PSF_4h PTB_0h PSF_0h U4ATAC_0h SRSF9_4h U4_4h U2AF2_4h RBM17_4h SRSF3_0h TIA1_0h SND1_4h U2_0h SRSF1_0h,0.889814814814815
239,18,TRA2A_0h PTB_4h U4_0h SAM68TV1_0h PSF_4h PTB_0h PSF_0h U4ATAC_0h SRSF9_4h U4_4h U2AF2_4h RBM17_4h SRSF3_0h TIA1_0h SND1_4h U2_0h SRSF1_0h U2AF1_0h,0.886111111111111
423,19,RBM45_4h PTB_0h SRM160_0h U4ATAC_0h SRSF9_4h RAVER1_0h SRSF5_0h U4_4h ESRP1_0h SRSF10_0h PRP8_4h TIA1_4h MAGOH_0h RBM17_0h SC35_4h SRSF1_0h SRSF4_0h RBM3_0h DI,0.880740740740741
248,18,TRA2A_0h PTB_4h U4_0h SAM68TV1_0h PSF_4h PTB_0h PSF_0h U4ATAC_0h SRSF9_4h U4_4h U2AF2_4h RBM17_4h SRSF3_0h TIA1_0h SND1_4h U2_0h SRSF1_0h SRSF6_4h,0.88
415,18,RBM45_4h PTB_0h SRM160_0h U4ATAC_0h SRSF9_4h RAVER1_0h SRSF5_0h U4_4h ESRP1_0h SRSF10_0h PRP8_4h TIA1_4h MAGOH_0h RBM17_0h SC35_4h SRSF1_0h SRSF4_0h RBM3_0h,0.879259259259259
417,19,RBM45_4h PTB_0h SRM160_0h U4ATAC_0h SRSF9_4h RAVER1_0h SRSF5_0h U4_4h ESRP1_0h SRSF10_0h PRP8_4h TIA1_4h MAGOH_0h RBM17_0h SC35_4h SRSF1_0h SRSF4_0h RBM3_0h U2AF1_0h,0.878888888888889
234,18,TRA2A_0h PTB_4h U4_0h SAM68TV1_0h PSF_4h PTB_0h PSF_0h U4ATAC_0h SRSF9_4h U4_4h U2AF2_4h RBM17_4h SRSF3_0h TIA1_0h SND1_4h U2_0h SRSF1_0h RBM22_0h,0.878333333333333
235,18,TRA2A_0h PTB_4h U4_0h SAM68TV1_0h PSF_4h PTB_0h PSF_0h U4ATAC_0h SRSF9_4h U4_4h U2AF2_4h RBM17_4h SRSF3_0h TIA1_0h SND1_4h U2_0h SRSF1_0h SRSF4_0h,0.878148148148148
233,18,TRA2A_0h PTB_4h U4_0h SAM68TV1_0h PSF_4h PTB_0h PSF_0h U4ATAC_0h SRSF9_4h U4_4h U2AF2_4h RBM17_4h SRSF3_0h TIA1_0h SND1_4h U2_0h SRSF1_0h SRSF10_4h,0.877592592592593
420,19,RBM45_4h PTB_0h SRM160_0h U4ATAC_0h SRSF9_4h RAVER1_0h SRSF5_0h U4_4h ESRP1_0h SRSF10_0h PRP8_4h TIA1_4h MAGOH_0h RBM17_0h SC35_4h SRSF1_0h SRSF4_0h RBM3_0h PRP8_0h,0.877222222222222
