ID,NumberAtts,Atts,metricOpt
16,9,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h,0.869407814407814
11,8,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120,0.863415750915751
9,7,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h,0.863125763125763
38,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h RBM3_0h,0.86270757020757
15,9,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 RBM45_0h,0.861440781440781
41,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h MAGOH_0h,0.86030525030525
44,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h CUGBP_0h,0.860039682539683
25,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SAM68TV1_0h,0.857680097680098
33,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h CA150_0h,0.85742673992674
31,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h PRP8_0h,0.856898656898657
40,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h NOVA1_0h,0.856083638583639
39,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h HIRI,0.855641025641026
43,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h U2AF1_0h,0.854786324786325
37,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SRSF1_0h,0.854420024420024
23,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h MISI,0.853073870573871
17,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h U5_0h,0.853061660561661
29,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SRSF3_0h,0.852045177045177
30,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h U6_0h,0.850708180708181
22,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SF3BTV2_0h,0.850622710622711
14,9,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 Glu.ayunas,0.849615384615385
20,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h PSF_0h,0.849307081807082
45,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h U11_0h,0.848968253968254
32,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SRM160_0h,0.848623321123321
13,9,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 FBP11_0h,0.848522588522589
28,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h RBM22_0h,0.848391330891331
27,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h IGI,0.84764652014652
21,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h U2_0h,0.84743894993895
18,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h U6ATAC_0h,0.847393162393162
19,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h sf3btv1_0h,0.846962759462759
10,8,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h U12_0h,0.845088522588523
35,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SND1_0h,0.844551282051282
46,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SRSF6_0h,0.843672161172161
12,9,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 ISI,0.843400488400488
36,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h U2AF2_0h,0.842594627594628
24,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SRSF4_0h,0.842344322344322
42,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h SC35_0h,0.842332112332112
34,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h TRA2B_0h,0.842155067155067
26,10,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h TIA1_0h Glu.120 SKIP_0h DI,0.834905372405372
61,7,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h,0.832918192918193
81,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h NOVA1_0h,0.831544566544567
70,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h SRSF3_0h,0.826575091575092
116,8,U4_0h PTB_0h TRA2A_0h RBM17_0h RAVER1_0h TIA1_0h PSF_0h U2AF2_0h,0.826156898656899
66,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h SAM68TV1_0h,0.825518925518925
3,6,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h,0.824600122100122
100,7,U4_0h PTB_0h TRA2A_0h RBM17_0h RAVER1_0h TIA1_0h PSF_0h,0.823858363858364
73,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h SRM160_0h,0.819197191697192
72,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h PRP8_0h,0.818904151404151
76,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h SND1_0h,0.818601953601954
50,6,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h,0.818553113553114
114,8,U4_0h PTB_0h TRA2A_0h RBM17_0h RAVER1_0h TIA1_0h PSF_0h TRA2B_0h,0.817677045177045
57,7,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h SKIP_0h,0.817051282051282
113,8,U4_0h PTB_0h TRA2A_0h RBM17_0h RAVER1_0h TIA1_0h PSF_0h CA150_0h,0.815894383394383
79,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h RBM3_0h,0.815552503052503
77,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h U2AF2_0h,0.815274725274725
59,7,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h U6ATAC_0h,0.814023199023199
64,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h MISI,0.813464590964591
74,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h CA150_0h,0.813250915750916
54,7,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h FBP11_0h,0.81269536019536
89,6,U4_0h PTB_0h TRA2A_0h RBM17_0h RAVER1_0h TIA1_0h,0.812603785103785
82,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h MAGOH_0h,0.812591575091575
85,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h CUGBP_0h,0.812408424908425
60,7,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h sf3btv1_0h,0.812234432234432
7,7,HbA1c U4ATAC_0h U4_0h PTB_0h TRA2A_0h RBM17_0h SRSF10_0h,0.812014652014652
84,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h U2AF1_0h,0.811947496947497
67,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h DI,0.811428571428571
87,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h SRSF6_0h,0.811315628815629
78,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h SRSF1_0h,0.811233211233211
63,8,U4ATAC_0h PTB_0h TRA2A_0h RBM17_0h SRSF9_0h TIA1_0h PSF_0h SF3BTV2_0h,0.810637973137973
