ID,NumberAtts,Atts,metricOpt
27,7,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h,0.89962962962963
33,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h CUGBP_0h,0.896759259259259
54,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h SND1_0h,0.895555555555556
43,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h TIA1_4h,0.894351851851852
60,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h U5_0h,0.893981481481481
67,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h U2_0h,0.893518518518518
50,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h NOVA1_4h,0.891018518518519
66,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h U11_0h,0.890740740740741
47,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h CA150_4h,0.889907407407407
24,6,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h,0.889722222222222
48,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h SF3BTV2_4h,0.889444444444444
87,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h SRSF6_4h,0.889259259259259
72,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h SRSF10_4h,0.887592592592593
44,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h CA150_0h,0.887314814814815
55,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h RBM17_0h,0.88712962962963
114,13,HbA1c PTB_4h RBM45_4h SAM68TV1_0h RAVER1_4h PSF_4h U4ATAC_0h SRSF5_0h U4_4h TRA2B_4h U5_4h PRP8_4h TIA1_0h,0.886111111111111
86,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h Glu.ayunas,0.886018518518519
39,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h TRA2B_0h,0.885555555555556
68,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h SRSF1_0h,0.885462962962963
53,8,U4ATAC_4h HbA1c TRA2A_0h PTB_4h SAM68TV1_0h TRA2B_4h TRA2A_4h FBP11_0h,0.885277777777778
