ID,NumberAtts,Atts,metricOpt
15,8,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h,0.872717524509804
9,7,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h,0.862265114379085
8,6,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h,0.861473651960784
35,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h ESRP1_4h,0.861034517973856
33,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h PRP8_4h,0.860789419934641
37,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U12_4h,0.859007352941176
24,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h CA150_4h,0.858374183006536
5,5,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h,0.856842320261438
27,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h RBM22_4h,0.856362336601307
40,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U2_4h,0.854856004901961
6,6,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h FBP11_4h,0.853916462418301
7,6,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h U4_4h,0.853666258169935
38,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h CUGBP_4h,0.852920751633987
13,8,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h TRA2A_4h,0.852828839869281
29,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SND1_4h,0.852389705882353
49,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h IGI,0.851950571895425
16,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U2AF2_4h,0.851853553921569
36,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SRSF3_4h,0.85140931372549
21,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U5_4h,0.850898692810457
42,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SRSF6_4h,0.850709763071895
26,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h HIRI,0.850704656862745
46,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U11_4h,0.849882557189543
10,8,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RAVER1_4h,0.848580473856209
44,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SRSF10_4h,0.847615400326797
25,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SF3BTV2_4h,0.847600081699346
48,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h MISI,0.847150735294118
12,8,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h sf3btv1_4h,0.845853758169935
34,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SRSF5_4h,0.845348243464052
47,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SRSF1_4h,0.844413807189543
23,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SAM68TV1_4h,0.843448733660131
39,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SC35_4h,0.843152573529412
14,8,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h SRSF9_4h,0.843065767973856
41,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h Glu.ayunas,0.842769607843137
4,4,U4ATAC_4h HbA1c PTB_4h MAGOH_4h,0.842682802287582
30,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SKIP_4h,0.841329656862745
11,8,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h NOVA1_4h,0.840962009803922
18,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U6ATAC_4h,0.840665849673203
43,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h RBM3_4h,0.840640318627451
20,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U6_4h,0.838735702614379
32,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SRSF4_4h,0.83844464869281
31,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h SRM160_4h,0.838112745098039
28,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h TIA1_4h,0.837280433006536
17,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h Glu.120,0.836366421568628
19,9,U4ATAC_4h HbA1c PTB_4h MAGOH_4h PSF_4h TRA2B_4h RBM17_4h RBM45_4h U2AF1_4h,0.835559640522876
3,3,U4ATAC_4h HbA1c PTB_4h,0.834952001633987
