ID,NumberAtts,Atts,metricOpt
23,8,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h,0.804695767195767
17,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h,0.804378306878307
26,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h RBM45_4h,0.803219576719577
34,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h SRSF10_4h,0.801224867724868
9,6,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h,0.800558201058201
18,8,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U12_4h,0.797449735449735
13,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U2AF1_4h,0.797222222222222
25,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h RBM22_4h,0.795171957671958
31,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h SND1_4h,0.792068783068783
12,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h SKIP_4h,0.791513227513228
11,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h SRSF5_4h,0.788825396825397
24,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h CA150_4h,0.788529100529101
15,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U11_4h,0.786473544973545
21,8,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h RBM3_4h,0.785082010582011
28,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h TRA2A_4h,0.784775132275132
29,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h TRA2B_4h,0.784325396825397
33,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h CUGBP_4h,0.781962962962963
19,8,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h SRSF3_4h,0.778648148148148
30,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h SRSF1_4h,0.77815873015873
27,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h PSF_4h,0.778121693121693
16,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h TIA1_4h,0.775544973544974
14,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h SAM68TV1_4h,0.76892328042328
22,8,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h SC35_4h,0.767698412698413
10,7,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U5_4h,0.767507936507936
3,5,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h,0.767449735449735
4,6,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h PRP8_4h,0.762970899470899
2,4,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h,0.758714285714286
5,6,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h FBP11_4h,0.758267195767196
6,6,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h SRM160_4h,0.758095238095238
20,8,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2_4h,0.755722222222222
7,6,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h SRSF6_4h,0.755619047619048
32,9,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h sf3btv1_4h U6_4h U2AF2_4h SRSF4_4h,0.755156084656085
1,3,U4ATAC_4h U6ATAC_4h MAGOH_4h,0.753772486772487
8,6,U4ATAC_4h U6ATAC_4h MAGOH_4h SRSF9_4h NOVA1_4h PTB_4h,0.751222222222222
