ID,NumberAtts,Atts,metricOpt
71,20,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h,0.903148148148148
75,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h PRP8_0h,0.902777777777778
74,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h SC35_0h,0.902222222222222
81,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h U11_4h,0.90037037037037
73,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h U12_4h,0.898703703703704
69,19,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h,0.898518518518518
70,20,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h ESRP1_4h,0.897222222222222
76,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h RBM45_0h,0.895925925925926
138,19,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h ESRP1_4h,0.895925925925926
79,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h U2_4h,0.894444444444444
148,20,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h ESRP1_4h SRSF1_4h,0.892407407407407
133,18,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h,0.891296296296296
136,19,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h SRSF1_0h,0.891296296296296
137,19,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h SRSF4_0h,0.891111111111111
80,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h SRSF1_4h,0.888518518518518
147,20,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h ESRP1_4h U2_4h,0.88537037037037
129,17,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h,0.885
72,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h U2AF1_0h,0.884444444444444
141,20,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h ESRP1_4h U12_4h,0.884074074074074
68,18,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h,0.883703703703704
63,17,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h,0.883333333333333
130,18,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SAM68TV1_4h,0.882962962962963
134,19,PTB_4h TRA2A_0h U12_0h U4_0h PTB_0h SRM160_0h SAM68TV1_0h PSF_0h SRSF5_0h U4_4h SRSF10_0h U4ATAC_0h ESRP1_0h CUGBP_0h TIA1_0h RBM22_4h U2_0h SRSF3_4h RBM3_0h,0.882037037037037
77,21,U4ATAC_4h PTB_4h TRA2A_0h FBP11_4h SKIP_4h PSF_0h PSF_4h U5_4h U4_4h SRSF10_0h ESRP1_0h TRA2B_0h CUGBP_4h RBM17_0h U2_0h SAM68TV1_4h RBM22_0h SRSF1_0h SRSF4_0h U11_0h SRSF6_0h,0.881851851851852
