ID,NumberAtts,Atts,metricOpt
59,16,PTB_0h TRA2A_0h U4_0h SRM160_0h PSF_0h SKIP_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF10_0h U2_0h TIA1_0h RBM17_0h MAGOH_0h SRSF6_0h PRP8_0h,0.852280092592593
81,16,TRA2A_0h U4_0h SRSF9_0h U5_0h SAM68TV1_0h RAVER1_0h SRSF5_0h U2_0h TIA1_0h SF3BTV2_0h TRA2B_0h RBM17_0h SND1_0h U2AF2_0h U2AF1_0h PRP8_0h,0.839224537037037
22,15,U4ATAC_0h PTB_0h U4_0h SRM160_0h PSF_0h U12_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF3_0h U2_0h TIA1_0h RBM17_0h U2AF2_0h SRSF1_0h,0.839074074074074
53,15,PTB_0h TRA2A_0h U4_0h SRM160_0h PSF_0h SKIP_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF10_0h U2_0h TIA1_0h RBM17_0h MAGOH_0h SRSF6_0h,0.838321759259259
30,16,U4ATAC_0h PTB_0h U4_0h SRM160_0h PSF_0h U12_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF3_0h U2_0h TIA1_0h RBM17_0h U2AF2_0h SRSF1_0h U2AF1_0h,0.837291666666667
60,17,PTB_0h TRA2A_0h U4_0h SRM160_0h PSF_0h SKIP_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF10_0h U2_0h TIA1_0h RBM17_0h MAGOH_0h SRSF6_0h PRP8_0h NOVA1_0h,0.833171296296296
19,14,U4ATAC_0h PTB_0h U4_0h SRM160_0h PSF_0h U12_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF3_0h U2_0h TIA1_0h RBM17_0h U2AF2_0h,0.832835648148148
54,16,PTB_0h TRA2A_0h U4_0h SRM160_0h PSF_0h SKIP_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF10_0h U2_0h TIA1_0h RBM17_0h MAGOH_0h SRSF6_0h RBM22_0h,0.829583333333333
17,13,U4ATAC_0h PTB_0h U4_0h SRM160_0h PSF_0h U12_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF3_0h U2_0h TIA1_0h RBM17_0h,0.828171296296296
11,12,U4ATAC_0h PTB_0h U4_0h SRM160_0h PSF_0h U12_0h U5_0h SAM68TV1_0h SRSF5_0h SRSF3_0h U2_0h TIA1_0h,0.827847222222222
