ID,NumberAtts,Atts,metricOpt
19,13,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h,0.782731481481482
17,12,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h,0.782310606060606
15,11,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h,0.781487794612795
30,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h SKIP0h,0.778255471380471
14,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h,0.778234427609428
18,13,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h TRA2A0h,0.775002104377104
2,9,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h,0.772289562289562
29,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h U120h,0.771079545454545
22,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h SRSF60h,0.77018728956229
8,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h MAGOH0h,0.769787457912458
26,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h PSF0h,0.769168771043771
21,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h CUGBP0h,0.769036195286195
7,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h sf3btv10h,0.76837962962963
6,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h CA1500h,0.768036616161616
16,12,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h PRP80h,0.767377946127946
5,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U110h,0.766569865319865
4,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h SF3BTV20h,0.765326178451178
25,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h NOVA10h,0.764888468013468
27,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h SC350h,0.764755892255892
9,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h RBM170h,0.764389730639731
23,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h U60h,0.763800505050505
20,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h SRSF50h,0.763400673400673
28,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h SND10h,0.763108164983165
10,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF10h,0.762447390572391
3,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h FBP110h,0.761273148148148
12,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U40h,0.760829124579125
24,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h ESRP10h,0.760679713804714
11,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h SRSF30h,0.755671296296296
13,10,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h SRSF10h,0.753320707070707
31,14,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h SRSF90h U2AF20h RBM450h SRSF40h RBM30h SRM1600h,0.752100168350168
1,8,U4ATAC0h TIA10h SAM68TV10h SRSF100h PTB0h RAVER10h U20h U50h,0.750723905723906
