pred,obs,N,S,rowIndex,C,M,Resample
N,N,0.516304347826087,0.483695652173913,14,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,21,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,23,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,37,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,44,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,48,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,64,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,79,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,84,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,85,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,103,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,113,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,132,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,145,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,152,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,170,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,173,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,177,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,178,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,181,0.01,1,Fold01.Rep1
N,S,0.516304347826087,0.483695652173913,194,0.01,1,Fold01.Rep1
N,N,0.516304347826087,0.483695652173913,19,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,22,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,32,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,50,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,57,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,65,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,73,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,75,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,88,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,93,0.01,1,Fold02.Rep1
N,N,0.516304347826087,0.483695652173913,94,0.01,1,Fold02.Rep1
N,S,0.516304347826087,0.483695652173913,119,0.01,1,Fold02.Rep1
N,S,0.516304347826087,0.483695652173913,122,0.01,1,Fold02.Rep1
N,S,0.516304347826087,0.483695652173913,129,0.01,1,Fold02.Rep1
N,S,0.516304347826087,0.483695652173913,137,0.01,1,Fold02.Rep1
N,S,0.516304347826087,0.483695652173913,139,0.01,1,Fold02.Rep1
