pred,obs,N,S,rowIndex,C,M,Resample
N,N,0.701086956521739,0.298913043478261,8,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,29,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,39,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,44,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,49,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,56,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,58,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,64,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,73,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,79,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,90,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,110,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,115,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,116,0.3775,1,Fold01.Rep1
N,N,0.701086956521739,0.298913043478261,143,0.3775,1,Fold01.Rep1
N,S,0.701086956521739,0.298913043478261,152,0.3775,1,Fold01.Rep1
N,S,0.701086956521739,0.298913043478261,165,0.3775,1,Fold01.Rep1
N,S,0.701086956521739,0.298913043478261,171,0.3775,1,Fold01.Rep1
N,S,0.701086956521739,0.298913043478261,181,0.3775,1,Fold01.Rep1
N,S,0.701086956521739,0.298913043478261,185,0.3775,1,Fold01.Rep1
N,S,0.701086956521739,0.298913043478261,186,0.3775,1,Fold01.Rep1
N,N,0.819047619047619,0.180952380952381,3,0.3775,1,Fold02.Rep1
N,N,0.819047619047619,0.180952380952381,10,0.3775,1,Fold02.Rep1
N,N,0.819047619047619,0.180952380952381,31,0.3775,1,Fold02.Rep1
S,N,0.363636363636364,0.636363636363636,37,0.3775,1,Fold02.Rep1
N,N,0.819047619047619,0.180952380952381,38,0.3775,1,Fold02.Rep1
N,N,0.819047619047619,0.180952380952381,42,0.3775,1,Fold02.Rep1
N,N,0.620689655172414,0.379310344827586,43,0.3775,1,Fold02.Rep1
N,N,0.819047619047619,0.180952380952381,48,0.3775,1,Fold02.Rep1
N,N,0.819047619047619,0.180952380952381,62,0.3775,1,Fold02.Rep1
N,N,0.620689655172414,0.379310344827586,68,0.3775,1,Fold02.Rep1
N,N,0.620689655172414,0.379310344827586,75,0.3775,1,Fold02.Rep1
N,N,0.819047619047619,0.180952380952381,121,0.3775,1,Fold02.Rep1
N,N,0.620689655172414,0.379310344827586,137,0.3775,1,Fold02.Rep1
N,N,0.620689655172414,0.379310344827586,144,0.3775,1,Fold02.Rep1
N,S,0.620689655172414,0.379310344827586,157,0.3775,1,Fold02.Rep1
N,S,0.819047619047619,0.180952380952381,159,0.3775,1,Fold02.Rep1
N,S,0.620689655172414,0.379310344827586,160,0.3775,1,Fold02.Rep1
N,S,0.620689655172414,0.379310344827586,192,0.3775,1,Fold02.Rep1
N,S,0.620689655172414,0.379310344827586,197,0.3775,1,Fold02.Rep1
N,S,0.620689655172414,0.379310344827586,203,0.3775,1,Fold02.Rep1
N,N,0.825242718446602,0.174757281553398,1,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,7,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,22,0.3775,1,Fold03.Rep1
N,N,0.6,0.4,28,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,33,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,51,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,52,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,65,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,71,0.3775,1,Fold03.Rep1
S,N,0.380952380952381,0.619047619047619,76,0.3775,1,Fold03.Rep1
N,N,0.6,0.4,83,0.3775,1,Fold03.Rep1
N,N,0.6,0.4,119,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,129,0.3775,1,Fold03.Rep1
N,N,0.6,0.4,130,0.3775,1,Fold03.Rep1
N,N,0.6,0.4,141,0.3775,1,Fold03.Rep1
N,S,0.825242718446602,0.174757281553398,145,0.3775,1,Fold03.Rep1
N,S,0.825242718446602,0.174757281553398,151,0.3775,1,Fold03.Rep1
N,S,0.6,0.4,168,0.3775,1,Fold03.Rep1
S,S,0.380952380952381,0.619047619047619,178,0.3775,1,Fold03.Rep1
N,S,0.6,0.4,187,0.3775,1,Fold03.Rep1
N,S,0.6,0.4,195,0.3775,1,Fold03.Rep1
N,N,0.825242718446602,0.174757281553398,4,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,9,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,21,0.3775,1,Fold04.Rep1
N,N,0.616666666666667,0.383333333333333,25,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,53,0.3775,1,Fold04.Rep1
N,N,0.616666666666667,0.383333333333333,54,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,55,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,60,0.3775,1,Fold04.Rep1
N,N,0.616666666666667,0.383333333333333,77,0.3775,1,Fold04.Rep1
N,N,0.825242718446602,0.174757281553398,93,0.3775,1,Fold04.Rep1
