class,N,S
0,0.556,0.444
0,0.708,0.292
0,0.918,0.082
0,0.742,0.258
0,0.302,0.698
0,0.518,0.482
0,0.798,0.202
0,0.928,0.072
0,0.994,0.006
0,0.546,0.454
0,0.858,0.142
0,0.958,0.042
0,0.574,0.426
0,0.574,0.426
0,0.556,0.444
0,0.688,0.312
0,0.706,0.294
0,0.328,0.672
0,0.752,0.248
0,0.556,0.444
0,0.944,0.056
0,0.974,0.026
0,0.556,0.444
0,0.556,0.444
0,0.888,0.112
0,0.796,0.204
0,0.708,0.292
0,0.49,0.51
0,0.882,0.118
0,0.918,0.082
0,0.912,0.088
0,0.716,0.284
0,0.968,0.032
0,0.916,0.084
0,0.882,0.118
0,0.978,0.022
0,0.87,0.13
0,0.83,0.17
0,0.916,0.084
0,0.502,0.498
0,0.964,0.036
0,0.786,0.214
0,0.874,0.126
0,0.85,0.15
0,0.696,0.304
0,0.76,0.24
0,0.924,0.076
0,0.546,0.454
0,0.974,0.026
0,0.328,0.672
0,0.734,0.266
0,0.934,0.066
0,0.758,0.242
0,0.192,0.808
0,0.9,0.1
0,0.916,0.084
0,0.922,0.078
0,0.552,0.448
0,0.864,0.136
0,0.808,0.192
0,0.982,0.018
0,0.944,0.056
0,0.912,0.088
0,0.864,0.136
0,0.676,0.324
0,0.708,0.292
0,0.716,0.284
0,0.556,0.444
0,0.934,0.066
0,0.982,0.018
0,0.812,0.188
0,0.964,0.036
0,0.986,0.014
0,0.8,0.2
0,0.548,0.452
0,0.82,0.18
0,0.326,0.674
0,0.316,0.684
0,0.756,0.244
0,0.978,0.022
0,0.57,0.43
0,0.798,0.202
0,0.512,0.488
0,0.596,0.404
0,0.882,0.118
0,0.872,0.128
0,0.63,0.37
0,0.83,0.17
0,0.964,0.036
0,0.454,0.546
0,0.698,0.302
0,0.978,0.022
0,0.742,0.258
0,0.936,0.064
0,0.974,0.026
0,0.958,0.042
0,0.864,0.136
0,0.864,0.136
0,0.588,0.412
0,0.964,0.036
0,0.52,0.48
0,0.726,0.274
0,0.934,0.066
0,0.546,0.454
0,0.978,0.022
0,0.912,0.088
1,0.864,0.136
1,0.18,0.82
1,0.25,0.75
1,0.49,0.51
1,0.33,0.67
1,0.742,0.258
1,0.026,0.974
1,0.318,0.682
1,0.308,0.692
1,0.308,0.692
1,0.556,0.444
1,0.118,0.882
1,0.556,0.444
1,0.57,0.43
1,0.098,0.902
1,0.52,0.48
1,0.288,0.712
1,0.314,0.686
1,0.316,0.684
1,0.302,0.698
1,0.306,0.694
1,0.552,0.448
1,0.574,0.426
1,0.326,0.674
1,0.546,0.454
1,0.158,0.842
1,0.132,0.868
1,0.202,0.798
1,0.556,0.444
1,0.348,0.652
1,0.326,0.674
1,0.588,0.412
1,0.556,0.444
1,0.042,0.958
1,0.092,0.908
1,0.098,0.902
1,0.272,0.728
1,0.192,0.808
1,0.136,0.864
1,0.328,0.672
1,0.502,0.498
1,0.02,0.98
1,0.018,0.982
1,0.08,0.92
1,0.226,0.774
1,0.708,0.292
1,0.096,0.904
1,0.258,0.742
1,0.574,0.426
1,0.454,0.546
1,0.556,0.444
1,0.098,0.902
1,0.088,0.912
1,0.154,0.846
1,0.344,0.656
1,0.328,0.672
1,0.192,0.808
1,0.716,0.284
1,0.546,0.454
1,0.512,0.488
1,0.008,0.992
1,0.194,0.806
1,0.026,0.974
1,0.316,0.684
1,0.328,0.672
1,0.274,0.726
1,0.096,0.904
1,0.25,0.75
1,0.596,0.404
1,0.082,0.918
1,0.326,0.674
1,0.018,0.982
1,0.02,0.98
1,0.192,0.808
1,0.05,0.95
1,0.026,0.974
1,0.116,0.884
1,0.556,0.444
1,0.708,0.292
1,0.05,0.95
1,0.02,0.98
1,0.08,0.92
1,0.246,0.754
1,0.182,0.818
1,0.206,0.794
1,0.548,0.452
1,0.334,0.666
1,0.038,0.962
1,0.326,0.674
1,0.882,0.118
1,0.302,0.698
1,0.518,0.482
1,0.546,0.454
1,0.232,0.768
1,0.008,0.992
1,0.018,0.982
1,0.156,0.844
1,0.29,0.71
1,0.038,0.962
