class,N,S
0,0.728,0.272
0,0.974,0.026
0,0.974,0.026
0,0.974,0.026
0,0.06,0.94
0,0.028,0.972
0,0.768,0.232
0,0.976,0.024
0,0.976,0.024
0,0.974,0.026
0,0.312,0.688
0,0.728,0.272
0,0.974,0.026
0,0.384,0.616
0,0.384,0.616
0,0.028,0.972
0,0.208,0.792
0,0.028,0.972
0,0.762,0.238
0,0.384,0.616
0,0.974,0.026
0,0.762,0.238
0,0.384,0.616
0,0.208,0.792
0,0.208,0.792
0,0.384,0.616
0,0.974,0.026
0,0.208,0.792
0,0.384,0.616
0,0.974,0.026
0,0.51,0.49
0,0.728,0.272
0,0.976,0.024
0,0.208,0.792
0,0.384,0.616
0,0.828,0.172
0,0.028,0.972
0,0.768,0.232
0,0.208,0.792
0,0.762,0.238
0,0.984,0.016
0,0.768,0.232
0,0.384,0.616
0,0.768,0.232
0,0.208,0.792
0,0.728,0.272
0,0.762,0.238
0,0.974,0.026
0,0.762,0.238
0,0.028,0.972
0,0.984,0.016
0,0.728,0.272
0,0.768,0.232
0,0.208,0.792
0,0.974,0.026
0,0.028,0.972
0,0.954,0.046
0,0.51,0.49
0,0.974,0.026
0,0.51,0.49
0,0.984,0.016
0,0.974,0.026
0,0.768,0.232
0,0.974,0.026
0,0.762,0.238
0,0.974,0.026
0,0.728,0.272
0,0.384,0.616
0,0.728,0.272
0,0.984,0.016
0,0.974,0.026
0,0.984,0.016
0,0.828,0.172
0,0.208,0.792
0,0.384,0.616
0,0.028,0.972
0,0.06,0.94
0,0.384,0.616
0,0.974,0.026
0,0.828,0.172
0,0.51,0.49
0,0.974,0.026
0,0.384,0.616
0,0.728,0.272
0,0.384,0.616
0,0.976,0.024
0,0.06,0.94
0,0.768,0.232
0,0.384,0.616
0,0.06,0.94
0,0.51,0.49
0,0.828,0.172
0,0.974,0.026
0,0.886,0.114
0,0.762,0.238
0,0.728,0.272
0,0.974,0.026
0,0.974,0.026
0,0.728,0.272
0,0.384,0.616
0,0.51,0.49
0,0.51,0.49
0,0.984,0.016
0,0.974,0.026
0,0.886,0.114
0,0.51,0.49
1,0.974,0.026
1,0.762,0.238
1,0.028,0.972
1,0.208,0.792
1,0.828,0.172
1,0.974,0.026
1,0.208,0.792
1,0.974,0.026
1,0.984,0.016
1,0.312,0.688
1,0.728,0.272
1,0.06,0.94
1,0.208,0.792
1,0.51,0.49
1,0.51,0.49
1,0.51,0.49
1,0.728,0.272
1,0.768,0.232
1,0.384,0.616
1,0.06,0.94
1,0.762,0.238
1,0.51,0.49
1,0.974,0.026
1,0.06,0.94
1,0.974,0.026
1,0.312,0.688
1,0.384,0.616
1,0.728,0.272
1,0.384,0.616
1,0.974,0.026
1,0.06,0.94
1,0.728,0.272
1,0.384,0.616
1,0.028,0.972
1,0.384,0.616
1,0.51,0.49
1,0.768,0.232
1,0.208,0.792
1,0.728,0.272
1,0.028,0.972
1,0.762,0.238
1,0.384,0.616
1,0.028,0.972
1,0.028,0.972
1,0.762,0.238
1,0.974,0.026
1,0.51,0.49
1,0.762,0.238
1,0.384,0.616
1,0.06,0.94
1,0.384,0.616
1,0.028,0.972
1,0.336,0.664
1,0.06,0.94
1,0.768,0.232
1,0.028,0.972
1,0.208,0.792
1,0.728,0.272
1,0.974,0.026
1,0.384,0.616
1,0.028,0.972
1,0.06,0.94
1,0.208,0.792
1,0.384,0.616
1,0.028,0.972
1,0.768,0.232
1,0.51,0.49
1,0.974,0.026
1,0.728,0.272
1,0.384,0.616
1,0.51,0.49
1,0.028,0.972
1,0.384,0.616
1,0.208,0.792
1,0.028,0.972
1,0.208,0.792
1,0.06,0.94
1,0.384,0.616
1,0.974,0.026
1,0.028,0.972
1,0.384,0.616
1,0.028,0.972
1,0.208,0.792
1,0.728,0.272
1,0.208,0.792
1,0.384,0.616
1,0.384,0.616
1,0.208,0.792
1,0.06,0.94
1,0.384,0.616
1,0.06,0.94
1,0.028,0.972
1,0.974,0.026
1,0.768,0.232
1,0.028,0.972
1,0.028,0.972
1,0.208,0.792
1,0.828,0.172
1,0.208,0.792
