class,N,S
0,0.956,0.044
0,0.898,0.102
0,0.95,0.05
0,1,0
0,0.984,0.016
0,0.98,0.02
0,0.96,0.04
0,0.974,0.026
0,0.94,0.06
0,0.94,0.06
0,0.99,0.01
0,1,0
0,0.984,0.016
0,0.956,0.044
0,0.96,0.04
0,0.956,0.044
0,0.94,0.06
0,0.898,0.102
0,1,0
0,0.96,0.04
0,0.99,0.01
0,0.94,0.06
0,0.96,0.04
0,1,0
0,0.98,0.02
0,0.99,0.01
0,0.898,0.102
0,0.754,0.246
0,1,0
0,0.95,0.05
0,0.898,0.102
0,0.298,0.702
0,0.778,0.222
0,0.758,0.242
0,1,0
0,0.898,0.102
0,0.996,0.004
0,0.98,0.02
0,0.758,0.242
0,0.974,0.026
0,1,0
0,0.996,0.004
0,0.984,0.016
0,0.884,0.116
0,0.95,0.05
0,0.778,0.222
0,0.96,0.04
0,0.96,0.04
0,0.94,0.06
0,0.898,0.102
0,0.298,0.702
0,0.984,0.016
0,0.95,0.05
0,0.984,0.016
0,0.778,0.222
0,1,0
0,1,0
0,0.99,0.01
0,0.624,0.376
0,1,0
0,0.98,0.02
0,0.99,0.01
0,0.99,0.01
0,0.624,0.376
0,0.754,0.246
0,0.898,0.102
0,0.298,0.702
0,0.96,0.04
0,0.984,0.016
0,0.98,0.02
0,0.974,0.026
0,1,0
0,0.96,0.04
0,0.514,0.486
0,0.95,0.05
0,0.778,0.222
0,0.95,0.05
0,0.898,0.102
0,0.948,0.052
0,0.898,0.102
0,0.96,0.04
0,0.98,0.02
0,0.94,0.06
0,0.99,0.01
0,1,0
0,1,0
0,0.624,0.376
0,0.984,0.016
0,0.98,0.02
0,0.754,0.246
0,0.868,0.132
0,0.898,0.102
0,1,0
0,0.984,0.016
0,0.94,0.06
0,1,0
0,0.624,0.376
0,0.996,0.004
0,0.95,0.05
0,0.98,0.02
0,0.984,0.016
0,0.298,0.702
0,0.984,0.016
0,0.94,0.06
0,0.94,0.06
0,0.898,0.102
0,0.624,0.376
0,0.868,0.132
0,0.94,0.06
0,0.754,0.246
0,0.298,0.702
0,1,0
0,0.898,0.102
0,0.298,0.702
0,1,0
0,0.95,0.05
0,0.956,0.044
0,0.99,0.01
0,1,0
0,0.96,0.04
0,0.974,0.026
0,0.984,0.016
0,0.996,0.004
0,0.898,0.102
0,0.898,0.102
0,0.984,0.016
0,1,0
0,0.99,0.01
0,0.984,0.016
0,0.95,0.05
0,0.96,0.04
0,0.754,0.246
0,0.754,0.246
0,0.898,0.102
0,0.96,0.04
0,0.868,0.132
0,0.514,0.486
0,0.95,0.05
0,0.96,0.04
0,0.99,0.01
0,0.996,0.004
0,0.974,0.026
0,0.778,0.222
0,0.984,0.016
1,0.514,0.486
1,0.898,0.102
1,0.974,0.026
1,0.298,0.702
1,0.96,0.04
1,0.624,0.376
1,0.984,0.016
1,0.898,0.102
1,0.95,0.05
1,0.298,0.702
1,0.956,0.044
1,0.754,0.246
1,0.96,0.04
1,0.984,0.016
1,0.298,0.702
1,0.778,0.222
1,0.362,0.638
1,0.898,0.102
1,0.984,0.016
1,0.298,0.702
1,0.94,0.06
1,0.94,0.06
1,0.298,0.702
1,0.898,0.102
1,0.898,0.102
1,0.898,0.102
1,0.898,0.102
1,0.624,0.376
1,0.95,0.05
1,0.514,0.486
1,0.99,0.01
1,0.778,0.222
1,0.98,0.02
1,0.96,0.04
1,0.298,0.702
1,0.984,0.016
1,0.754,0.246
1,0.898,0.102
1,0.94,0.06
1,0.96,0.04
1,0.898,0.102
1,0.754,0.246
1,0.298,0.702
1,0.624,0.376
1,0.868,0.132
1,0.94,0.06
1,0.778,0.222
1,0.95,0.05
1,0.624,0.376
1,0.99,0.01
1,0.95,0.05
1,1,0
1,0.984,0.016
1,0.98,0.02
1,0.94,0.06
1,0.754,0.246
1,0.298,0.702
1,0.96,0.04
1,0.96,0.04
1,0.758,0.242
1,0.99,0.01
