class,N,S
0,0.994,0.006
0,1,0
0,1,0
0,1,0
0,0.746,0.254
0,0.176,0.824
0,0.95,0.05
0,1,0
0,1,0
0,1,0
0,1,0
0,0.994,0.006
0,1,0
0,0.932,0.068
0,0.932,0.068
0,0.176,0.824
0,0.84,0.16
0,0.176,0.824
0,0.966,0.034
0,0.932,0.068
0,1,0
0,0.966,0.034
0,0.932,0.068
0,0.84,0.16
0,0.84,0.16
0,0.932,0.068
0,1,0
0,0.84,0.16
0,0.932,0.068
0,1,0
0,0.996,0.004
0,0.994,0.006
0,1,0
0,0.84,0.16
0,0.932,0.068
0,0.95,0.05
0,0.176,0.824
0,0.95,0.05
0,0.84,0.16
0,0.966,0.034
0,1,0
0,0.95,0.05
0,0.932,0.068
0,0.95,0.05
0,0.84,0.16
0,0.994,0.006
0,0.966,0.034
0,1,0
0,0.966,0.034
0,0.176,0.824
0,1,0
0,0.994,0.006
0,0.95,0.05
0,0.84,0.16
0,1,0
0,0.176,0.824
0,0.972,0.028
0,0.996,0.004
0,1,0
0,0.996,0.004
0,1,0
0,1,0
0,0.95,0.05
0,1,0
0,0.966,0.034
0,1,0
0,0.994,0.006
0,0.932,0.068
0,0.994,0.006
0,1,0
0,1,0
0,1,0
0,0.95,0.05
0,0.84,0.16
0,0.932,0.068
0,0.176,0.824
0,0.746,0.254
0,0.932,0.068
0,1,0
0,0.95,0.05
0,0.996,0.004
0,1,0
0,0.932,0.068
0,0.994,0.006
0,0.932,0.068
0,1,0
0,0.746,0.254
0,0.95,0.05
0,0.932,0.068
0,0.746,0.254
0,0.996,0.004
0,0.95,0.05
0,1,0
0,1,0
0,0.966,0.034
0,0.994,0.006
0,1,0
0,1,0
0,0.994,0.006
0,0.932,0.068
0,0.996,0.004
0,0.996,0.004
0,1,0
0,1,0
0,1,0
0,0.996,0.004
0,1,0
0,0.966,0.034
0,0.176,0.824
0,0.84,0.16
0,0.95,0.05
0,1,0
0,0.84,0.16
0,1,0
0,1,0
0,1,0
0,0.994,0.006
0,0.746,0.254
0,0.84,0.16
0,0.996,0.004
0,0.996,0.004
0,0.996,0.004
0,0.994,0.006
0,0.95,0.05
0,0.932,0.068
0,0.746,0.254
0,0.966,0.034
0,0.996,0.004
0,1,0
0,0.746,0.254
0,1,0
0,1,0
0,0.932,0.068
0,0.994,0.006
0,0.932,0.068
0,1,0
0,0.746,0.254
0,0.994,0.006
0,0.932,0.068
0,0.176,0.824
0,0.932,0.068
0,0.996,0.004
0,0.95,0.05
0,0.84,0.16
1,0.994,0.006
1,0.176,0.824
1,0.966,0.034
1,0.932,0.068
1,0.176,0.824
1,0.176,0.824
1,0.966,0.034
1,1,0
1,0.996,0.004
1,0.966,0.034
1,0.932,0.068
1,0.746,0.254
1,0.932,0.068
1,0.176,0.824
1,0.41,0.59
1,0.746,0.254
1,0.95,0.05
1,0.176,0.824
1,0.84,0.16
1,0.994,0.006
1,1,0
1,0.932,0.068
1,0.176,0.824
1,0.746,0.254
1,0.84,0.16
1,0.932,0.068
1,0.176,0.824
1,0.95,0.05
1,0.996,0.004
1,1,0
1,0.994,0.006
1,0.932,0.068
1,0.996,0.004
1,0.176,0.824
1,0.932,0.068
1,0.84,0.16
1,0.176,0.824
1,0.84,0.16
1,0.746,0.254
1,0.932,0.068
1,1,0
1,0.176,0.824
1,0.932,0.068
1,0.176,0.824
1,0.84,0.16
1,0.994,0.006
1,0.84,0.16
1,0.932,0.068
1,0.932,0.068
1,0.84,0.16
1,0.746,0.254
1,0.932,0.068
1,0.746,0.254
1,0.176,0.824
1,1,0
1,0.95,0.05
1,0.176,0.824
1,0.176,0.824
1,0.84,0.16
1,0.95,0.05
1,0.84,0.16
