ESRP1,NOVA1,SRSF1,RNU12,RNU2,RNU4,RNU4ATAC,RNU6,RNU6ATAC,Clase
115384.9233,1467885.973,36132.63358,587080.768,610942095,1997055565,6284386.645,6007364.687,2779288.545,N
109063.897,302947.8391,20068.19567,76505.9143,551464211.5,2597194686,516886.2066,63551105.99,1638301.365,N
132821.2555,79838.6666,24838.29623,13478.69906,242105245.2,354165037.7,130941.864,39929397.2,1919921.424,N
206411.5448,20007.16409,136643.1107,100912.5018,752857989.8,6807375949,6057464.698,65216590.13,1479797.132,N
284939.4407,25331.76251,295605.6881,30343.41929,995658537.3,5397964939,7443042.388,45881448.59,2619895.281,N
324103.7175,519430.9374,28556.58949,17129.61964,730629350.2,2622102257,1380977.813,100951131,1028725.61,N
196187.1149,1573581.404,30883.45774,23802.38467,321417257.7,4494971692,1321232.112,69640517.55,2123590.743,N
219103.5984,1082789.59,56125.36742,18237.15122,2022201920,4341812724,103794.4387,60556314.9,1336388.104,N
42501.1539,94917.92779,6562.485945,54184.39564,302375676.1,665972512.3,278950.8857,98700415.25,2803501.789,N
157745.2985,1993964.238,60594.8694,107063.9845,838308688.7,2896621901,2142573.135,45939690.81,2132699.307,N
78490.26657,190031.1454,20113.1589,20171.8466,1194842622,1754729655,109735.036,35358918.67,801450.3141,N
141780.9056,3844161.515,11166.10752,49629.77609,149256320.7,4171344120,863476.4136,70228946.72,1975452.531,N
466072.2235,6668605.791,118858.1109,87049.82513,269383479.8,5820550124,2569091.123,179872030.1,5094490.819,N
213147.7039,2063717.382,70852.62653,185048.5584,372631731.4,1976350236,2385235.652,110798063,3286120.269,N
163799.3024,1356189.554,28686.5701,65258.63091,987656769,2856821400,1833188.921,78859190.49,1859403.79,N
1839883.141,2412310.664,414949.8686,67429.92016,5721286457,20141288589,993428.6208,146265805.6,2792853.112,N
205284.4034,788466.6915,17092.61513,72412.68544,256304275.6,2643587360,1789337.553,70701719.5,1742534.162,N
76537.90268,898991.3179,22362.47606,41835.57496,348900382.9,1733201512,682176.5855,71657342.44,2430692.885,N
92774.08557,370123.6487,42928.43187,1059734.63,451962406.9,1444072088,,107969286.6,178556.0109,N
250193.8159,1630116.772,82029.33145,111821.9919,834444499.8,4148648578,,67440507.05,91739.7146,N
360989.7307,126095.2789,87126.63324,46992.33669,897834350.6,7688475607,284576.3104,66889296.7,2614930.859,N
315989.0582,287676.5009,35794.82016,403367.6241,444653874.9,2845215393,2177125.67,81410409.13,3530981.232,N
140967.6411,587093.8481,66522.48441,30697.05946,215233221.9,4929720146,1021436.91,80412394.5,1484554.942,N
184383.2419,663014.7897,25820.34687,215814.2295,710025383.3,3117608313,,75168029.63,154316.3112,N
322478.7087,5406896.991,65078.38355,43687.23133,488178912.9,4728504879,2799354.562,97743281.81,5327874.427,N
482677.6011,17195103.09,56598.04331,16206.35482,291941358.8,6116875943,1616135.466,124583532.1,4097060.558,N
162887.1185,184407.9648,52862.82636,28158.65847,236067561.5,1644123267,109784.0658,55681319.14,735092.5257,N
63874.65155,109219.3635,12527.13761,47996.58298,127126907.6,89049240.11,409247.7807,57085319.44,594577.6203,N
90347.59929,271849.7321,46604.13483,40927.78304,138047087.1,2319287794,1191121.033,44768350.19,825621.9927,N
236814.9164,342749.4981,45755.46371,187845.6825,341660060,1425688293,2550166.214,118842264.3,4055523.178,N
323591.2299,8800226.448,28382.24714,97413.15321,425636167.1,2544766923,2107629.475,150249608.3,4289070.635,N
336449.377,1212751.506,68551.39686,96415.83563,286841870.1,4410378760,2650288.945,85108150.4,1364417.658,N
485908.8109,2656562.365,32105.6892,39243.86843,783475218.4,8235029158,2376193.57,12242823.75,248051.6501,N
178266.2374,1274571.784,84654.40721,269931.5279,662965862,5504651665,,122503648.8,239445.6577,N
364889.3285,74544.51643,162333.6039,81890.88094,795665307.5,6862304985,1343205.639,7049095.858,106970.507,N
351744.1218,26585738.55,164644.3811,40128.5789,284541434.5,4856053155,1557664.363,12973700.1,506429.2872,N
669024.8182,22833368.05,448769.3232,627485.1845,135131123.7,9690843209,,94567678.09,2182158.328,N
928284.1364,20327004.01,59611.92419,20704.42516,213515480.7,3650882042,2185082.393,131207352.7,10153667.13,N
258605.1683,6451193.982,27999.27993,23620.46951,302075160.4,2294403448,2293085.174,86440490.14,3935853.002,N
354670.8319,10816539.45,61106.22739,37724.42959,1140996228,2393308536,2863662.845,91228271.85,4645420.259,N
