NOVA1,SRSF1,RNU4,RNU4ATAC,Clase
5.289825645,2.143487595,0.8511762,2.295869736,N
0.284271295,1.352441664,1.920319169,0.327507249,N
0.255054526,3.006012172,1.319709592,0.903221636,N
0.036455548,1.267730812,0.981601165,1.504874755,N
0.868977823,0.974807935,1.591889324,0.619766467,N
0.491341806,1.528458018,0.800612127,0.916764964,N
2.06317355,0.777022995,1.526792756,1.786545467,N
0.354563317,,0.383005567,2.981990242,N
0.5708107,1.149365744,0.725122352,0.874454951,N
1.481721499,0.863739598,2.506882407,1.115181404,N
,,0.2660966,7.604414374,N
0.571235422,10.83159756,0.588173483,3.00318716,N
16.18132851,2.943432763,0.868099786,3.9321096,N
0.339014063,0.751574483,0.707711705,0.984767993,N
0.899314656,18.58535967,10.89196003,0.557870653,N
0.180407795,0.232847269,0.720359743,1.155185193,N
7.934047297,3.265586421,1.095847704,1.774542003,N
1.089229217,1.194910779,0.621785372,,N
2.328014274,2.769155894,2.282959218,,N
1.873247124,10.60630614,16.6328213,0.102190548,N
2.987616024,1.987326481,2.075198137,0.889322162,N
2.944044728,2.672545804,2.227145323,0.393602748,N
0.129355891,0.142982954,0.608274315,,N
9.488867708,1.839028786,1.823856392,1.553562869,N
0.545141647,0.889736595,1.267298687,0.437130373,N
1.019825468,0.93410937,1.079742238,0.935915925,N
0.691796408,1.377363348,0.490468893,2.966016261,N
0.621945847,0.476006682,0.447362917,0.601312068,N
4.750546864,2.29424915,1.144258778,3.37509293,N
1.088310585,1.03907897,1.832394726,3.743432945,N
1.002377717,1.496694441,1.004692343,,N
0.176081916,1.452438506,1.021585231,4.504682396,N
,0.081266453,0.265505787,6.841701565,N
99.73483,3.098465845,15.29013588,49.17640966,N
,2.27889355,2.264703637,1.596884652,N
,2.144433268,1.79358015,2.946895023,N
8.511111243,2.701699682,1.472528299,1.714273074,N
27.49021895,3.565919119,0.66201868,2.610831388,N
0.061497878,,,1.896504579,N
1.311293813,1.001911398,0.866464149,1.450578409,N
0.402619509,0.655616143,0.587281517,0.893011976,N
1.870727824,22.45561339,1.605294919,2.376211208,N
3.808150018,1.223815507,1.191572415,1.68914853,N
1.701212739,1.350490362,0.954298403,1.246298023,N
2.761913709,0.566674252,1.241905248,0.749684332,N
5.749045297,1.661308747,0.938965474,15.61120141,N
0.513579464,1.584810575,1.395792404,0.74098093,N
5.233824765,0.809175349,1.589453613,0.512600553,N
61.02462,5.096933009,5.360462895,4.921306504,N
2.147583209,0.555499539,0.611305288,6.048842804,N
0.799374567,2.273239709,1.034586559,3.244683564,N
0.774646777,4.447993294,0.804110037,1.107671921,N
0.942482124,0.454926138,0.339848641,0.939632897,N
2.003253057,0.524678878,3.108243937,1.550675976,N
1.430794893,0.951226189,1.015263546,0.827724465,N
0.093373191,0.410609447,1.031178888,0.803234721,N
30.68071621,7.189349821,2.253265782,1.655888712,N
0.815539788,1.06619576,0.804954484,1.297244428,N
0.934633145,0.10826171,0.131144664,,N
97.56117,1.363832979,1.894038102,1.295533493,N
10.9738907,0.812358043,0.713468104,5.748909427,N
8.288280816,2.477247386,1.214550513,5.670138001,N
2.246573692,2.466764907,1.708596499,2.36839249,N
32.4722938,0.243018172,0.591486204,0.87739362,N
12.81427121,0.281153868,0.410787304,3.785195279,N
62.0298691,14.454702,6.478334468,,N
0.744436553,1.339555924,0.898389571,1.743514892,N
1.916868994,0.701934766,0.415644552,1.275937926,N
3.522963253,1.630965095,2.163653567,3.441641681,N
1.600982569,0.887858676,1.533099202,1.625779738,N
0.132690139,0.206597823,0.351315926,1.542029811,N
0.339585316,1.025307473,0.551007628,6.002320691,N
0.601461622,0.247221158,0.386035584,,N
,6.07185245,1.920555978,6.263079914,N
0.039454805,0.560810404,0.407227161,0.32069866,N
47.6872845,,3.79703668,21.91729565,N
0.411396569,0.827653361,0.140463562,0.680469755,N
0.363040165,1.666954018,0.962787399,0.889201172,N
0.821110207,0.480104529,0.642150397,,N
0.350849309,1.641379192,0.851504563,,N
2.675900409,0.347434265,1.036784028,2.339269738,N
24.74077353,0.97236992,1.567316597,5.390643344,N
1.225334534,0.133958481,1.038968764,2.763323692,N
0.593843602,1.29422989,0.747907692,1.09300756,N
1.893887114,0.954741058,1.122574382,1.786164046,N
1.210438533,1.265251146,0.40121092,23.98090817,N
4.854871409,0.742465717,0.364277606,,N
0.839040805,0.645081024,1.000301124,,N
0.19222313,0.753849349,1.169109158,0.164357717,N
0.389233949,0.212497812,0.198278842,9.255381263,N
1.316978398,0.360876859,0.697861113,1.522198628,N
1.224250569,1.460022937,1.82979982,,N
11.91380513,0.066819443,0.159087091,14.3360132,N
3.222833101,9.534613239,5.650820761,,N
0.957083205,,,8.848317688,N
3.989596621,0.639627769,0.604332805,1.201712067,N
0.620968019,0.093581226,0.140789457,13.19134743,N
11.78843494,5.831641546,0.945858666,1.262047319,N
0.520038999,1.692037097,0.626744819,2.371331699,N
10.99419489,5.023158423,2.361859038,0.886682262,N
0.07978496,0.129323731,0.116214804,33.34303897,N
0.21145506,0.924074098,0.571474131,0.735488592,S
1.765079823,1.686291364,0.201981833,0.146247238,S
2.99377686,0.931098563,0.775062174,0.814884567,S
0.152374088,2.407956966,1.499453485,1.700641692,S
