model,winnow,trials,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
tree,FALSE,12,0.837132996632997,0.851212121212121,0.741111111111111,0.0779058683739405,0.0901056450131061,0.139547099336257
tree,TRUE,13,0.854656565656566,0.868484848484849,0.766296296296296,0.0902732927642986,0.0941047521606393,0.136908745304818
tree,FALSE,33,0.842412457912458,0.851212121212121,0.733703703703704,0.0730817482769312,0.0901056450131061,0.149199177256817
rules,TRUE,47,0.854008417508417,0.865151515151515,0.772592592592593,0.0942779723724874,0.0947190151977437,0.128346504883215
rules,TRUE,58,0.854008417508417,0.865151515151515,0.772592592592593,0.0942779723724874,0.0947190151977437,0.128346504883215
rules,TRUE,65,0.854008417508417,0.865151515151515,0.772592592592593,0.0942779723724874,0.0947190151977437,0.128346504883215
rules,TRUE,75,0.854008417508417,0.865151515151515,0.772592592592593,0.0942779723724874,0.0947190151977437,0.128346504883215
tree,FALSE,76,0.840338383838384,0.851212121212121,0.734074074074074,0.0754081750512264,0.0901056450131061,0.147432498811118
rules,TRUE,77,0.854008417508417,0.865151515151515,0.772592592592593,0.0942779723724874,0.0947190151977437,0.128346504883215
rules,FALSE,81,0.839277777777778,0.847878787878788,0.743703703703704,0.0830975895091036,0.0861756189103151,0.14475161366289
tree,TRUE,81,0.854656565656566,0.868484848484849,0.766296296296296,0.0902732927642986,0.0941047521606393,0.136908745304818
tree,FALSE,85,0.84063468013468,0.851212121212121,0.733703703703704,0.0751772029858734,0.0901056450131061,0.140378474410301
tree,TRUE,86,0.854656565656566,0.868484848484849,0.766296296296296,0.0902732927642986,0.0941047521606393,0.136908745304818
rules,TRUE,90,0.854008417508417,0.865151515151515,0.772592592592593,0.0942779723724874,0.0947190151977437,0.128346504883215
tree,FALSE,98,0.84026430976431,0.851212121212121,0.733703703703704,0.0756930384380409,0.0901056450131061,0.140378474410301
