N,S
X0hESRP1,3.40604668962879,3.40604668962879
X0hSRSF1,0,0
X0hSRSF5,12.0168388825105,12.0168388825105
X0hRNU2,14.6957520091849,14.6957520091849
X0hRNU4,3.29123612705704,3.29123612705704
X0hRNU5,7.34787600459243,7.34787600459243
X0hRNU6ATAC,8.95522388059702,8.95522388059702
X4hESRP1,14.6766169154229,14.6766169154229
X4hNOVA1,24.9521622655951,24.9521622655951
X4hSRSF1,15.4420206659012,15.4420206659012
X4hRNU1,100,100
X4hRNU12,8.64906238040567,8.64906238040567
X4hRNU2,4.74550325296596,4.74550325296596
X4hRNU4,11.9211634137007,11.9211634137007
X4hRNU4ATAC,27.6884806735553,27.6884806735553
X4hRNU6,15.4611557596632,15.4611557596632
X4hRNU6ATAC,28.3199387676999,28.3199387676999
