ID,NumberAtts,Atts,metricOpt
5,6,ESRP1 RNU6ATAC SRSF5 RNU5 RNU2 SRSF1,0.654673400673401
14,3,SRSF5 RNU5 RNU2,0.649713804713805
4,5,ESRP1 RNU6ATAC SRSF5 RNU5 RNU2,0.64830303030303
9,4,RNU6ATAC SRSF5 RNU5 RNU2,0.648232323232323
8,3,RNU6ATAC SRSF5 RNU5,0.648124579124579
3,4,ESRP1 RNU6ATAC SRSF5 RNU5,0.646518518518518
2,3,ESRP1 RNU6ATAC SRSF5,0.645609427609428
10,5,RNU6ATAC SRSF5 RNU5 RNU2 SRSF1,0.645340067340067
11,5,RNU6ATAC SRSF5 RNU5 RNU2 RNU4,0.640824915824916
16,4,SRSF5 RNU5 RNU2 RNU4,0.635060606060606
15,4,SRSF5 RNU5 RNU2 SRSF1,0.635053872053872
6,7,ESRP1 RNU6ATAC SRSF5 RNU5 RNU2 SRSF1 RNU4,0.632632996632997
17,2,RNU5 RNU2,0.632468013468014
7,2,RNU6ATAC SRSF5,0.629276094276094
13,2,SRSF5 RNU5,0.620548821548822
18,3,RNU5 RNU2 SRSF1,0.617845117845118
20,1,RNU2,0.613996632996633
19,3,RNU5 RNU2 RNU4,0.612161616161616
21,2,RNU2 RNU4,0.60326936026936
12,1,SRSF5,0.600734006734007
1,2,ESRP1 RNU6ATAC,0.600319865319865
