ID,NumberAtts,Atts,metricOpt
13,3,NOVA1 RNU12 RNU6ATAC,0.660872053872054
15,4,NOVA1 RNU12 RNU6ATAC RNU2,0.658178451178451
26,3,RNU4ATAC RNU6ATAC ESRP1,0.657158249158249
28,4,RNU4ATAC RNU6ATAC ESRP1 RNU6,0.656441077441077
14,4,NOVA1 RNU12 RNU6ATAC ESRP1,0.654602693602694
10,2,NOVA1 RNU12,0.650555555555556
19,3,RNU12 RNU4ATAC RNU6ATAC,0.649296296296296
11,3,NOVA1 RNU12 RNU4ATAC,0.648744107744108
25,2,RNU4ATAC RNU6ATAC,0.647841750841751
20,4,RNU12 RNU4ATAC RNU6ATAC ESRP1,0.645622895622896
16,4,NOVA1 RNU12 RNU6ATAC RNU6,0.644286195286195
2,3,RNU4 NOVA1 RNU12,0.642936026936027
5,4,RNU4 NOVA1 RNU12 RNU6ATAC,0.641653198653199
27,4,RNU4ATAC RNU6ATAC ESRP1 RNU2,0.639531986531987
23,1,RNU4ATAC,0.638619528619529
29,2,SRSF1 RNU6ATAC,0.637922558922559
33,1,RNU6ATAC,0.636599326599327
12,3,NOVA1 RNU12 SRSF1,0.633983164983165
30,3,SRSF1 RNU6ATAC ESRP1,0.630026936026936
34,2,RNU6ATAC ESRP1,0.630013468013468
21,4,RNU12 RNU4ATAC RNU6ATAC RNU2,0.629276094276094
31,3,SRSF1 RNU6ATAC RNU2,0.627686868686869
7,4,RNU4 NOVA1 RNU12 RNU2,0.626616161616162
35,2,RNU6ATAC RNU2,0.626589225589226
3,4,RNU4 NOVA1 RNU12 RNU4ATAC,0.626232323232323
22,4,RNU12 RNU4ATAC RNU6ATAC RNU6,0.622727272727273
17,2,RNU12 RNU4ATAC,0.621286195286195
4,4,RNU4 NOVA1 RNU12 SRSF1,0.619397306397306
37,2,ESRP1 RNU2,0.6166632996633
6,4,RNU4 NOVA1 RNU12 ESRP1,0.616340067340067
9,1,NOVA1,0.616047138047138
24,2,RNU4ATAC SRSF1,0.614680134680135
8,4,RNU4 NOVA1 RNU12 RNU6,0.614084175084175
36,2,RNU6ATAC RNU6,0.613484848484849
32,3,SRSF1 RNU6ATAC RNU6,0.610501683501684
18,3,RNU12 RNU4ATAC SRSF1,0.608444444444444
38,3,ESRP1 RNU2 RNU6,0.608148148148148
1,2,RNU4 NOVA1,0.60762962962963
39,1,RNU6,0.600909090909091
