model,winnow,trials,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
tree,FALSE,10,0.843144781144781,0.847272727272727,0.764074074074074,0.0922047963938557,0.129523316592727,0.13519401990061
tree,TRUE,33,0.861848484848485,0.879393939393939,0.754074074074074,0.0753341336777475,0.123705801387226,0.13071286140109
rules,TRUE,43,0.865227272727273,0.873333333333333,0.754074074074074,0.0766855412111177,0.126620211166851,0.13071286140109
rules,TRUE,56,0.865227272727273,0.873333333333333,0.754074074074074,0.0766855412111177,0.126620211166851,0.13071286140109
rules,TRUE,58,0.865227272727273,0.873333333333333,0.754074074074074,0.0766855412111177,0.126620211166851,0.13071286140109
tree,TRUE,62,0.861848484848485,0.879393939393939,0.754074074074074,0.0753341336777475,0.123705801387226,0.13071286140109
rules,FALSE,66,0.838712121212121,0.822727272727273,0.757777777777778,0.0971681052367522,0.154125374124407,0.135531057393104
rules,FALSE,74,0.838712121212121,0.822727272727273,0.757777777777778,0.0971681052367522,0.154125374124407,0.135531057393104
rules,TRUE,75,0.865227272727273,0.873333333333333,0.754074074074074,0.0766855412111177,0.126620211166851,0.13071286140109
tree,FALSE,75,0.84213468013468,0.847272727272727,0.764074074074074,0.0935030793261947,0.129523316592727,0.13519401990061
rules,TRUE,76,0.865227272727273,0.873333333333333,0.754074074074074,0.0766855412111177,0.126620211166851,0.13071286140109
rules,TRUE,78,0.865227272727273,0.873333333333333,0.754074074074074,0.0766855412111177,0.126620211166851,0.13071286140109
tree,TRUE,93,0.861848484848485,0.879393939393939,0.754074074074074,0.0753341336777475,0.123705801387226,0.13071286140109
tree,FALSE,94,0.84213468013468,0.847272727272727,0.764074074074074,0.0935030793261947,0.129523316592727,0.13519401990061
rules,FALSE,97,0.838712121212121,0.822727272727273,0.757777777777778,0.0971681052367522,0.154125374124407,0.135531057393104
