model,winnow,trials,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
rules,FALSE,1,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,1,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,1,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,1,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,10,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,10,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,10,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,10,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,20,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,20,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,20,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,20,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,30,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,30,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,30,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,30,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,40,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,40,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,40,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,40,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,50,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,50,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,50,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,50,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,60,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,60,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,60,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,60,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,70,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,70,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,70,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,70,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,80,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,80,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,80,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,80,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,90,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,90,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,90,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,90,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
rules,FALSE,100,0.491481481481481,0.843333333333333,0.13962962962963,0.0538183037616522,0.32021903423291,0.282084368138038
rules,TRUE,100,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
tree,FALSE,100,0.490740740740741,0.843333333333333,0.13962962962963,0.0525900742296335,0.32021903423291,0.282084368138038
tree,TRUE,100,0.497592592592593,0.976666666666667,0.0185185185185185,0.0131859134214207,0.127801930084539,0.101430103241697
