Index	Var	Importance
38	U4ATAC4h	0.998577235772358
41	U6ATAC4h	0.710873983739837
10	RAVER14h	0.705691056910569
17	sf3btv14h	0.690040650406504
24	SRSF34h	0.644512195121951
6	NOVA14h	0.639092140921409
36	U2AF24h	0.629742547425474
11	RBM174h	0.60860433604336
37	U44h	0.605420054200542
21	SRM1604h	0.604945799457995
5	MAGOH4h	0.594986449864499
27	SRSF64h	0.573509485094851
13	RBM34h	0.563414634146341
29	TIA14h	0.559349593495935
7	PRP84h	0.551761517615176
33	U124h	0.534078590785908
40	U64h	0.517750677506775
26	SRSF54h	0.509620596205962
14	RBM454h	0.494105691056911
3	ESRP14h	0.490481029810298
1	CA1504h	0.490040650406504
20	SND14h	0.477913279132791
16	SC354h	0.467479674796748
9	PTB4h	0.46449864498645
28	SRSF94h	0.461720867208672
15	SAM68TV14h	0.450880758807588
8	PSF4h	0.450745257452575
2	CUGBP4h	0.425067750677507
25	SRSF44h	0.420528455284553
39	U54h	0.418428184281843
35	U2AF14h	0.40840108401084
31	TRA2B4h	0.405013550135501
32	U114h	0.40230352303523
22	SRSF14h	0.400542005420054
23	SRSF104h	0.391869918699187
34	U24h	0.38760162601626
19	SKIP4h	0.385569105691057
30	TRA2A4h	0.38340108401084
12	RBM224h	0.378794037940379
18	SF3BTV24h	0.363550135501355
4	FBP114h	0.339092140921409
