ID,NumberAtts,Atts,metricOpt
131,16,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h,0.807146464646465
134,17,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h SC350h,0.807133838383838
138,17,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h U120h,0.806376262626263
135,17,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h MISI,0.805164141414141
562,19,U2AF24h U2AF14h U2AF10h CUGBP4h SRSF94h SRSF54h TRA2B4h SRSF10h TRA2A0h SRSF44h PRP80h U124h HIRI IGI SND10h U110h SRM1600h SC350h RBM220h,0.804591750841751
472,15,U4ATAC0h PRP84h SAM68TV10h SRSF90h U50h SRSF34h SRSF104h PTB4h SRSF54h HIRI FBP114h PSF4h U110h SKIP4h SF3BTV24h,0.802899831649832
563,20,U2AF24h U2AF14h U2AF10h CUGBP4h SRSF94h SRSF54h TRA2B4h SRSF10h TRA2A0h SRSF44h PRP80h U124h HIRI IGI SND10h U110h SRM1600h SC350h RBM220h SF3BTV24h,0.802276936026936
137,17,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h SF3BTV24h,0.80037037037037
184,19,HbA1c U44h U40h RBM34h glu120 U64h U4ATAC0h RBM174h SAM68TV10h SRSF90h U50h SRSF34h U2AF24h MAGOH4h U2AF10h RBM170h SRSF54h U114h sf3btv10h,0.79996632996633
468,14,U4ATAC0h PRP84h SAM68TV10h SRSF90h U50h SRSF34h SRSF104h PTB4h SRSF54h HIRI FBP114h PSF4h U110h SKIP4h,0.799208754208754
136,17,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h RBM220h,0.798935185185185
129,15,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h,0.798543771043771
473,16,U4ATAC0h PRP84h SAM68TV10h SRSF90h U50h SRSF34h SRSF104h PTB4h SRSF54h HIRI FBP114h PSF4h U110h SKIP4h SF3BTV24h U120h,0.798320707070707
132,17,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h SRM1600h,0.797424242424242
133,17,TIA10h HbA1c U44h U40h RBM34h glu120 U4ATAC0h SAM68TV10h SRSF90h U50h SRSF34h MAGOH4h SRSF60h SRSF50h PSF4h U110h SKIP4h,0.796881313131313
491,18,RBM174h RBM454h SAM68TV10h SRSF90h RBM450h U50h SRSF34h U2AF14h U2AF10h TRA2A4h CUGBP4h SRSF54h TRA2B4h SRSF10h CUGBP0h U6ATAC0h ESRP14h U110h,0.79584595959596
173,18,HbA1c U44h U40h RBM34h glu120 U64h U4ATAC0h RBM174h SAM68TV10h SRSF90h U50h SRSF34h U2AF24h MAGOH4h U2AF10h RBM170h SRSF54h U114h,0.795837542087542
197,20,HbA1c U44h U40h RBM34h glu120 U64h U4ATAC0h RBM174h SAM68TV10h SRSF90h U50h SRSF34h U2AF24h MAGOH4h U2AF10h RBM170h SRSF54h U114h sf3btv10h U110h,0.79540404040404
