Index	Var	Importance
46	U4ATAC4h	0.988803854875283
1	HbA1c	0.732227891156463
49	U6ATAC4h	0.694812925170068
3	glu120	0.691978458049887
18	RAVER14h	0.633418367346939
44	U2AF24h	0.632171201814059
25	sf3btv14h	0.624348072562358
32	SRSF34h	0.608304988662132
19	RBM174h	0.60031179138322
14	NOVA14h	0.600255102040816
13	MAGOH4h	0.585459183673469
22	RBM454h	0.576899092970522
45	U44h	0.560515873015873
15	PRP84h	0.552692743764172
36	SRSF94h	0.536819727891157
17	PTB4h	0.531604308390023
4	HIRI	0.52780612244898
21	RBM34h	0.515164399092971
38	TRA2A4h	0.511366213151927
29	SRM1604h	0.508701814058957
34	SRSF54h	0.506377551020408
37	TIA14h	0.505187074829932
41	U124h	0.481831065759637
35	SRSF64h	0.480980725623583
48	U64h	0.476388888888889
8	ISI	0.475255102040816
33	SRSF44h	0.469982993197279
27	SKIP4h	0.469019274376417
47	U54h	0.462443310657596
9	CA1504h	0.456604308390023
39	TRA2B4h	0.456434240362812
24	SC354h	0.456320861678005
26	SF3BTV24h	0.450708616780045
28	SND14h	0.449007936507937
11	ESRP14h	0.44875283446712
23	SAM68TV14h	0.437953514739229
42	U24h	0.433248299319728
7	MISI	0.419075963718821
5	IGI	0.415504535147392
6	DI	0.415504535147392
12	FBP114h	0.413973922902494
16	PSF4h	0.409438775510204
30	SRSF14h	0.406887755102041
10	CUGBP4h	0.402862811791383
2	gluayunas	0.402522675736961
20	RBM224h	0.400368480725624
31	SRSF104h	0.399858276643991
43	U2AF14h	0.396797052154195
40	U114h	0.387046485260771
