Number-Atts,Number-Significant,Atts,AUC
10,0,SRSF5Neutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro PRP8Neutro CUGBPNeutro SF3BTV1Neutro SF3BTV2Neutro,0.90875
9,0,U6Neutro SC35Neutro CA150Neutro SRSF6Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro RBM17Neutro SF3BTV1Neutro,0.8975
10,0,U4ataNeutro SC35Neutro U1Neutro CA150Neutro SRSF3Neutro SRSF10Neutro PRP8Neutro RBM22Neutro RBM3Neutro TRA2BNeutro,0.893125
11,0,SRSF5Neutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro PRP8Neutro CUGBPNeutro SF3BTV1Neutro SF3BTV2Neutro FBP11Neutro,0.893125
13,0,TRA2BNeutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro U6Neutro U12Neutro RBM22Neutro TRA2ANeutro SF3BTV2Neutro UA2F2Neutro PSFNeutro,0.8887499999999999
9,0,SRSF5Neutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro PRP8Neutro CUGBPNeutro SF3BTV1Neutro,0.8887499999999999
11,0,SRSF5Neutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro PRP8Neutro CUGBPNeutro SF3BTV1Neutro SF3BTV2Neutro PSFNeutro,0.8887499999999999
10,0,U6Neutro SC35Neutro CA150Neutro SRSF6Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro RBM17Neutro SF3BTV1Neutro FBP11Neutro,0.881875
5,0,SRSF10Neutro SC35Neutro PRP8Neutro TRA2BNeutro PTBNeutro,0.8775
6,0,SRSF10Neutro SC35Neutro PRP8Neutro TRA2BNeutro PTBNeutro SF3BTV2Neutro,0.8775
10,0,U6Neutro SC35Neutro CA150Neutro SRSF6Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro RBM17Neutro SF3BTV1Neutro SRSF5Neutro,0.8775
10,0,U6Neutro SC35Neutro CA150Neutro SRSF6Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro,0.8775
10,0,U6Neutro SC35Neutro CA150Neutro SRSF6Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro RBM17Neutro SF3BTV1Neutro SAM68TV1Neutro,0.8775
11,0,U4ataNeutro SC35Neutro U1Neutro CA150Neutro SRSF3Neutro SRSF10Neutro PRP8Neutro RBM22Neutro RBM3Neutro TRA2BNeutro U2AF1Neutro,0.8775
11,0,U4ataNeutro SC35Neutro U1Neutro CA150Neutro SRSF3Neutro SRSF10Neutro PRP8Neutro RBM22Neutro RBM3Neutro TRA2BNeutro U6atacNeutro,0.8775
11,0,U4ataNeutro SC35Neutro U1Neutro CA150Neutro SRSF3Neutro SRSF10Neutro PRP8Neutro RBM22Neutro RBM3Neutro TRA2BNeutro UA2F2Neutro,0.8775
10,0,U2AF1Neutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro PRP8Neutro RBM22Neutro RBM3Neutro U4ataNeutro TRA2BNeutro,0.8775
11,0,SRSF5Neutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro PRP8Neutro CUGBPNeutro SF3BTV1Neutro SF3BTV2Neutro RBM45Neutro,0.8775
8,0,U11Neutro SC35Neutro U1Neutro SRSF3Neutro SRSF6Neutro CUGBPNeutro RBM17Neutro SF3BTV1Neutro,0.8731249999999999
8,0,U6Neutro SC35Neutro CA150Neutro SRSF6Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro RBM17Neutro,0.8731249999999999
9,0,TRA2ANeutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro PRP8Neutro CUGBPNeutro SF3BTV2Neutro PSFNeutro,0.8731249999999999
9,0,U4ataNeutro SC35Neutro U1Neutro CA150Neutro SRSF3Neutro SRSF10Neutro PRP8Neutro RBM22Neutro RBM3Neutro,0.8731249999999999
11,0,U2AF1Neutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro PRP8Neutro RBM22Neutro RBM3Neutro U4ataNeutro TRA2BNeutro PSFNeutro,0.8731249999999999
8,0,SRSF5Neutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro PRP8Neutro CUGBPNeutro,0.8731249999999999
10,0,SRSF5Neutro SC35Neutro CA150Neutro SRSF3Neutro SRM160Neutro SRSF10Neutro PRP8Neutro CUGBPNeutro SF3BTV1Neutro U5Neutro,0.8731249999999999
13,0,SRFSF9Neutro SC35Neutro SRSF3Neutro SRSF10Neutro U6Neutro U12Neutro SKIPNeutro RBM22Neutro U4ataNeutro TRA2BNeutro SF3BTV1Neutro SRSF5Neutro U6atacNeutro,0.8687499999999999
14,0,SRFSF9Neutro SC35Neutro SRSF3Neutro SRSF10Neutro U6Neutro U12Neutro SKIPNeutro RBM22Neutro U4ataNeutro TRA2BNeutro SF3BTV1Neutro SRSF5Neutro U6atacNeutro SF3BTV2Neutro,0.8687499999999999
15,0,SRFSF9Neutro SC35Neutro SRSF3Neutro SRSF10Neutro U6Neutro U12Neutro SKIPNeutro RBM22Neutro U4ataNeutro TRA2BNeutro SF3BTV1Neutro SRSF5Neutro U6atacNeutro SF3BTV2Neutro UA2F2Neutro,0.8687499999999999
