Number-Atts,Number-Significant,Atts,AUC
20,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro,0.80875
21,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro,0.80875
22,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro SAM68TV1Neutro,0.80875
21,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro U6atacNeutro,0.793125
22,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro SND1Neutro,0.793125
22,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro SRSF4Neutro,0.793125
23,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro SAM68TV1Neutro FBP11Neutro,0.793125
22,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro U5Neutro,0.78875
23,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro SAM68TV1Neutro ESRP2Neutro,0.78875
23,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro SAM68TV1Neutro MAGOHNeutro,0.78875
22,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro SF3BTV2Neutro,0.7775
22,0,CUGBPNeutro SC35Neutro CA150Neutro SRSF3Neutro SRSF10Neutro U6Neutro U2Neutro U12Neutro SRSF6Neutro PRP8Neutro TIA1Neutro RBM22Neutro TRA2ANeutro SRSF1Neutro U4ataNeutro TRA2BNeutro U2AF1Neutro nSR100Neutro RBM17Neutro SF3BTV1Neutro ESRP1Neutro UA2F2Neutro,0.7775
