Number-Atts,Number-Significant,Atts,AUC
4,0,SND1Mono PSFMono ESRP2Mono RBM22Mono,0.873015873015873
5,0,SND1Mono PSFMono ESRP2Mono RBM22Mono SRSF6Mono,0.873015873015873
3,0,SRSF5Mono PSFMono ESRP2Mono,0.873015873015873
4,0,SRSF5Mono PSFMono ESRP2Mono RBM22Mono,0.873015873015873
5,0,SRSF5Mono PSFMono ESRP2Mono RBM22Mono NOVA1Mono,0.873015873015873
6,0,SRSF5Mono PSFMono ESRP2Mono RBM22Mono NOVA1Mono SRFSF9Mono,0.873015873015873
5,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono,0.8333333333333334
6,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono,0.8333333333333334
7,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono,0.8333333333333334
8,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono SND1Mono,0.8333333333333334
9,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono SND1Mono TRA2BMono,0.8333333333333334
6,0,SRM160Mono PSFMono PTBMono RBM45Mono U12Mono U11Mono,0.8333333333333334
7,0,SRM160Mono PSFMono PTBMono RBM45Mono U12Mono U11Mono RBM22Mono,0.8333333333333334
8,0,SRM160Mono PSFMono PTBMono RBM45Mono U12Mono U11Mono RBM22Mono NOVA1Mono,0.8333333333333334
10,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono NOVA1Mono SRSF6Mono SND1Mono SKIPMono,0.8174603174603174
11,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono NOVA1Mono SRSF6Mono SND1Mono SKIPMono SAM68TV1Mono,0.8174603174603174
4,0,PTBMono SC35Mono U12Mono NOVA1Mono,0.8174603174603174
5,0,PTBMono SC35Mono U12Mono NOVA1Mono SRM160Mono,0.8174603174603174
6,0,PTBMono SC35Mono U12Mono NOVA1Mono SRM160Mono U1Mono,0.8174603174603174
5,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono,0.8174603174603174
6,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono,0.8174603174603174
7,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono,0.8174603174603174
8,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono,0.8174603174603174
9,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono SF3BTV1Mono,0.8174603174603174
10,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono SF3BTV1Mono NOVA1Mono,0.8174603174603174
11,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono SF3BTV1Mono NOVA1Mono SRFSF9Mono,0.8174603174603174
12,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono SF3BTV1Mono NOVA1Mono SRFSF9Mono U1Mono,0.8174603174603174
4,0,U12Mono PSFMono ESRP2Mono ESRP1Mono,0.8174603174603174
5,0,U12Mono PSFMono ESRP2Mono ESRP1Mono RBM22Mono,0.8174603174603174
6,0,U12Mono PSFMono ESRP2Mono ESRP1Mono RBM22Mono SF3BTV1Mono,0.8174603174603174
7,0,U12Mono PSFMono ESRP2Mono ESRP1Mono RBM22Mono SF3BTV1Mono NOVA1Mono,0.8174603174603174
8,0,U12Mono PSFMono ESRP2Mono ESRP1Mono RBM22Mono SF3BTV1Mono NOVA1Mono SRFSF9Mono,0.8174603174603174
9,0,U12Mono PSFMono ESRP2Mono ESRP1Mono RBM22Mono SF3BTV1Mono NOVA1Mono SRFSF9Mono SRM160Mono,0.8174603174603174
10,0,U12Mono PSFMono ESRP2Mono ESRP1Mono RBM22Mono SF3BTV1Mono NOVA1Mono SRFSF9Mono SRM160Mono U1Mono,0.8174603174603174
2,0,ESRP2Mono PSFMono,0.8174603174603174
3,0,ESRP2Mono PSFMono SC35Mono,0.8174603174603174
4,0,ESRP2Mono PSFMono SC35Mono U11Mono,0.8174603174603174
5,0,ESRP2Mono PSFMono SC35Mono U11Mono ESRP1Mono,0.8174603174603174
6,0,ESRP2Mono PSFMono SC35Mono U11Mono ESRP1Mono UA2F2Mono,0.8174603174603174
6,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono ESRP2Mono,0.8174603174603174
8,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono SRFSF9Mono,0.8174603174603174
9,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono SND1Mono U2AF1Mono,0.8174603174603174
5,0,SND1Mono PSFMono ESRP2Mono RBM22Mono UA2F2Mono,0.8174603174603174
6,0,SND1Mono PSFMono ESRP2Mono RBM22Mono SRSF6Mono SKIPMono,0.8174603174603174
6,0,SND1Mono PSFMono ESRP2Mono RBM22Mono SRSF6Mono U1Mono,0.8174603174603174
7,0,TRA2AMono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono,0.8174603174603174
8,0,TRA2AMono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono,0.8174603174603174
9,0,TRA2AMono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono NOVA1Mono,0.8174603174603174
10,0,TRA2AMono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono NOVA1Mono SF3BTV2Mono,0.8174603174603174
11,0,TRA2AMono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono NOVA1Mono SF3BTV2Mono CUGBPMon,0.8174603174603174
9,0,SRM160Mono PSFMono PTBMono RBM45Mono U12Mono U11Mono RBM22Mono NOVA1Mono SF3BTV2Mono,0.8174603174603174
9,0,SRM160Mono PSFMono PTBMono RBM45Mono U12Mono U11Mono RBM22Mono NOVA1Mono SAM68TV1Mono,0.8174603174603174
3,0,U1Mono PSFMono ESRP2Mono,0.8174603174603174
4,0,U1Mono PSFMono ESRP2Mono UA2F2Mono,0.8174603174603174
5,0,U1Mono PSFMono ESRP2Mono UA2F2Mono SRSF6Mono,0.8174603174603174
6,0,U1Mono PSFMono ESRP2Mono UA2F2Mono SRSF6Mono SND1Mono,0.8174603174603174
7,0,U1Mono PSFMono ESRP2Mono UA2F2Mono SRSF6Mono SND1Mono SRSF5Mono,0.8174603174603174
5,0,CA150Mono PSFMono ESRP2Mono RBM22Mono UA2F2Mono,0.8174603174603174
6,0,CA150Mono PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono,0.8174603174603174
7,0,CA150Mono PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF6Mono,0.8174603174603174
8,0,CA150Mono PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF6Mono U1Mono,0.8174603174603174
9,0,CA150Mono PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF6Mono U1Mono CUGBPMon,0.8174603174603174
5,0,SRSF5Mono PSFMono ESRP2Mono RBM22Mono UA2F2Mono,0.8174603174603174
5,0,SRSF5Mono PSFMono ESRP2Mono RBM22Mono SF3BTV1Mono,0.8174603174603174
5,0,CUGBPMon PSFMono ESRP2Mono RBM22Mono UA2F2Mono,0.8174603174603174
6,0,CUGBPMon PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono,0.8174603174603174
7,0,CUGBPMon PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF6Mono,0.8174603174603174
8,0,CUGBPMon PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF6Mono SND1Mono,0.8174603174603174
9,0,CUGBPMon PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF6Mono SND1Mono U1Mono,0.8174603174603174
11,0,PRP8Mono PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono NOVA1Mono SRSF6Mono SKIPMono SRM160Mono,0.8174603174603174
6,0,SRSF3Mono PSFMono PTBMono SC35Mono U11Mono ESRP2Mono,0.8174603174603174
7,0,SRSF3Mono PSFMono PTBMono SC35Mono U11Mono ESRP2Mono RBM22Mono,0.8174603174603174
8,0,SRSF3Mono PSFMono PTBMono SC35Mono U11Mono ESRP2Mono RBM22Mono UA2F2Mono,0.8174603174603174
9,0,SRSF3Mono PSFMono PTBMono SC35Mono U11Mono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono,0.8174603174603174
10,0,SRSF3Mono PSFMono PTBMono SC35Mono U11Mono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono U1Mono,0.8174603174603174
11,0,SRSF3Mono PSFMono PTBMono SC35Mono U11Mono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono U1Mono CUGBPMon,0.8174603174603174
6,0,SRSF4Mono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono,0.8174603174603174
7,0,SRSF4Mono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono,0.8174603174603174
8,0,SRSF4Mono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono,0.8174603174603174
9,0,SRSF4Mono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono NOVA1Mono,0.8174603174603174
10,0,SRSF4Mono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF1Mono,0.8174603174603174
11,0,SRSF4Mono PSFMono PTBMono SC35Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono NOVA1Mono SRSF1Mono CUGBPMon,0.8174603174603174
7,0,RBM17Mono PSFMono PTBMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono,0.8174603174603174
8,0,RBM17Mono PSFMono PTBMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRFSF9Mono,0.8174603174603174
9,0,RBM17Mono PSFMono PTBMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRFSF9Mono PRP8Mono,0.8174603174603174
5,0,U5Mono PSFMono PTBMono U11Mono ESRP2Mono,0.8174603174603174
6,0,U5Mono PSFMono PTBMono U11Mono ESRP2Mono RBM22Mono,0.8174603174603174
7,0,U5Mono PSFMono PTBMono U11Mono ESRP2Mono RBM22Mono UA2F2Mono,0.8174603174603174
8,0,U5Mono PSFMono PTBMono U11Mono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono,0.8174603174603174
9,0,U5Mono PSFMono PTBMono U11Mono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SF3BTV2Mono,0.8174603174603174
3,0,PTBMono SC35Mono U12Mono,0.8015873015873016
7,0,MAGOHMono PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRM160Mono,0.8015873015873016
8,0,MAGOHMono PSFMono ESRP2Mono RBM22Mono UA2F2Mono NOVA1Mono SRM160Mono SF3BTV2Mono,0.8015873015873016
8,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono SRSF6Mono,0.7777777777777778
9,0,UA2F2Mono PSFMono PTBMono SC35Mono RBM45Mono U11Mono ESRP2Mono RBM22Mono SRSF6Mono,0.7777777777777778
9,0,SRM160Mono PSFMono PTBMono RBM45Mono U12Mono U11Mono RBM22Mono NOVA1Mono SRSF6Mono,0.7777777777777778
4,0,PSFMono PTBMono U12Mono ESRP2Mono,0.7619047619047619
5,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono,0.7619047619047619
6,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono,0.7619047619047619
7,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono NOVA1Mono,0.7619047619047619
8,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono NOVA1Mono SRSF6Mono,0.7619047619047619
9,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono NOVA1Mono SRSF6Mono SND1Mono,0.7619047619047619
11,0,PSFMono PTBMono U12Mono ESRP2Mono ESRP1Mono RBM22Mono NOVA1Mono SRSF6Mono SND1Mono SKIPMono SRSF1Mono,0.7619047619047619
5,0,PTBMono SC35Mono U12Mono NOVA1Mono SND1Mono,0.7619047619047619
11,0,SC35Mono PSFMono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono SF3BTV1Mono NOVA1Mono SRSF6Mono,0.7619047619047619
8,0,U11Mono PSFMono PTBMono SC35Mono RBM45Mono U12Mono RBM22Mono NOVA1Mono,0.7619047619047619
9,0,U11Mono PSFMono PTBMono SC35Mono RBM45Mono U12Mono RBM22Mono NOVA1Mono SRM160Mono,0.7619047619047619
10,0,U11Mono PSFMono PTBMono SC35Mono RBM45Mono U12Mono RBM22Mono NOVA1Mono SRM160Mono U1Mono,0.7619047619047619
6,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono U11Mono,0.7619047619047619
9,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono SND1Mono TRA2AMono,0.7619047619047619
9,0,RBM22Mono PSFMono PTBMono RBM45Mono U12Mono UA2F2Mono NOVA1Mono SND1Mono SKIPMono,0.7619047619047619
2,0,NOVA1Mono PSFMono,0.7619047619047619
3,0,NOVA1Mono PSFMono PTBMono,0.7619047619047619
4,0,NOVA1Mono PSFMono PTBMono SC35Mono,0.7619047619047619
5,0,NOVA1Mono PSFMono PTBMono SC35Mono U12Mono,0.7619047619047619
6,0,NOVA1Mono PSFMono PTBMono SC35Mono U12Mono U11Mono,0.7619047619047619
7,0,NOVA1Mono PSFMono PTBMono SC35Mono U12Mono U11Mono ESRP2Mono,0.7619047619047619
8,0,NOVA1Mono PSFMono PTBMono SC35Mono U12Mono U11Mono ESRP2Mono ESRP1Mono,0.7619047619047619
9,0,NOVA1Mono PSFMono PTBMono SC35Mono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono,0.7619047619047619
10,0,NOVA1Mono PSFMono PTBMono SC35Mono U12Mono U11Mono ESRP2Mono ESRP1Mono RBM22Mono UA2F2Mono,0.7619047619047619
