Number-Atts,Number-Significant,Atts,AUC
2,0,SF3BTV1Mono PSFMono,0.8571428571428571
3,0,SF3BTV1Mono PSFMono SC35Mono,0.8571428571428571
4,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono,0.8571428571428571
5,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono,0.8571428571428571
6,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono,0.8571428571428571
7,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono,0.8571428571428571
8,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono,0.8571428571428571
9,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono,0.8571428571428571
10,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono,0.8571428571428571
11,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono,0.8571428571428571
12,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono,0.8571428571428571
13,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono,0.8571428571428571
14,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono,0.8571428571428571
15,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono,0.8571428571428571
16,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono,0.8571428571428571
17,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono,0.8571428571428571
18,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono,0.8571428571428571
19,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono,0.8571428571428571
20,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono,0.8571428571428571
21,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono,0.8571428571428571
22,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon,0.8571428571428571
23,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon U6Mono,0.8571428571428571
24,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon U6Mono U6atacMono,0.8571428571428571
25,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon U6Mono U6atacMono PRP8Mono,0.8571428571428571
26,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon U6Mono U6atacMono PRP8Mono U2AF1Mono,0.8571428571428571
27,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon U6Mono U6atacMono PRP8Mono U2AF1Mono SRSF3Mono,0.8571428571428571
28,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon U6Mono U6atacMono PRP8Mono U2AF1Mono SRSF3Mono U2Mono,0.8571428571428571
29,0,SF3BTV1Mono PSFMono SC35Mono RBM45Mono U12Mono U11Mono RAVER1Mono ESRP1Mono UA2F2Mono NOVA1Mono SRSF6Mono SRFSF9Mono SND1Mono TIA1Mono SKIPMono SRM160Mono U4Mono CA150Mono SRSF5Mono SRSF1Mono U4ataMono CUGBPMon U6Mono U6atacMono PRP8Mono U2AF1Mono SRSF3Mono U2Mono SRSF4Mono,0.8571428571428571
