Number-Atts,Number-Significant,Atts,AUC
2,0,RBM3Neutro SRSF4Neutro,0.75
3,0,RBM3Neutro SRSF4Neutro PRP8Neutro,0.75
4,0,RBM3Neutro SRSF4Neutro PRP8Neutro TIA1Neutro,0.75
5,0,RBM3Neutro SRSF4Neutro PRP8Neutro TIA1Neutro SND1Neutro,0.75
6,0,RBM3Neutro SRSF4Neutro PRP8Neutro TIA1Neutro SND1Neutro TRA2ANeutro,0.75
7,0,RBM3Neutro SRSF4Neutro PRP8Neutro TIA1Neutro SND1Neutro TRA2ANeutro SRSF3Neutro,0.75
7,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro,0.75
8,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro,0.75
9,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro,0.75
10,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro,0.75
11,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro,0.75
12,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro,0.75
13,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro RBM22Neutro,0.75
14,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro RBM22Neutro SRFSF9Neutro,0.75
15,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro RBM22Neutro SRFSF9Neutro SRSF5Neutro,0.75
16,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro RBM22Neutro SRFSF9Neutro SRSF5Neutro UA2F2Neutro,0.75
17,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro RBM22Neutro SRFSF9Neutro SRSF5Neutro UA2F2Neutro SRSF3Neutro,0.75
18,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro RBM22Neutro SRFSF9Neutro SRSF5Neutro UA2F2Neutro SRSF3Neutro SF3BTV2Neutro,0.75
19,0,SKIPNeutro SRSF4Neutro SC35Neutro RBM3Neutro CUGBPNeutro PRP8Neutro ESRP1Neutro TIA1Neutro SND1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro RBM22Neutro SRFSF9Neutro SRSF5Neutro UA2F2Neutro SRSF3Neutro SF3BTV2Neutro SRSF6Neutro,0.75
2,0,PRP8Neutro SRSF4Neutro,0.75
3,0,PRP8Neutro SRSF4Neutro TIA1Neutro,0.75
4,0,PRP8Neutro SRSF4Neutro TIA1Neutro SND1Neutro,0.75
5,0,PRP8Neutro SRSF4Neutro TIA1Neutro SND1Neutro RBM17Neutro,0.75
6,0,PRP8Neutro SRSF4Neutro TIA1Neutro SND1Neutro RBM17Neutro RBM22Neutro,0.75
2,0,CA150Neutro SRSF4Neutro,0.75
8,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro,0.75
9,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro,0.75
10,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro,0.75
11,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro U1Neutro,0.75
12,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro U1Neutro FBP11Neutro,0.75
13,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro U1Neutro FBP11Neutro MAGOHNeutro,0.75
14,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro U1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro,0.75
15,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro U1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro NOVA1Neutro,0.75
16,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro U1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro NOVA1Neutro RBM22Neutro,0.75
17,0,U4ataNeutro SRSF4Neutro SC35Neutro RBM3Neutro PSFNeutro SKIPNeutro CUGBPNeutro PRP8Neutro U6Neutro TIA1Neutro U1Neutro FBP11Neutro MAGOHNeutro TRA2ANeutro NOVA1Neutro RBM22Neutro SRFSF9Neutro,0.75
