Number-Atts,Number-Significant,Atts,AUC
8,0,PSFNeutro SRSF4Neutro SKIPNeutro PRP8Neutro ESRP1Neutro MAGOHNeutro UA2F2Neutro RBM45Neutro,0.9
9,0,PSFNeutro SRSF4Neutro SKIPNeutro PRP8Neutro ESRP1Neutro MAGOHNeutro UA2F2Neutro RBM45Neutro PTBNeutro,0.9
6,0,UA2F2Neutro SRSF4Neutro RBM3Neutro PSFNeutro SKIPNeutro SRSF1Neutro,0.9
7,0,UA2F2Neutro SRSF4Neutro RBM3Neutro PSFNeutro SKIPNeutro SRSF1Neutro SND1Neutro,0.9
8,0,UA2F2Neutro SRSF4Neutro RBM3Neutro PSFNeutro SKIPNeutro SRSF1Neutro SND1Neutro SF3BTV1Neutro,0.9
9,0,UA2F2Neutro SRSF4Neutro RBM3Neutro PSFNeutro SKIPNeutro SRSF1Neutro SND1Neutro SF3BTV1Neutro SRM160Neutro,0.9
7,0,PSFNeutro SRSF4Neutro SKIPNeutro PRP8Neutro ESRP1Neutro MAGOHNeutro UA2F2Neutro,0.85
9,0,PSFNeutro SRSF4Neutro SKIPNeutro PRP8Neutro ESRP1Neutro MAGOHNeutro UA2F2Neutro RBM45Neutro SRSF3Neutro,0.85
9,0,PSFNeutro SRSF4Neutro SKIPNeutro PRP8Neutro ESRP1Neutro MAGOHNeutro UA2F2Neutro RBM45Neutro RAVER1Neutro,0.85
9,0,PSFNeutro SRSF4Neutro SKIPNeutro PRP8Neutro ESRP1Neutro MAGOHNeutro UA2F2Neutro RBM45Neutro SRSF6Neutro,0.85
4,0,CUGBPNeutro SRSF4Neutro PRP8Neutro U1Neutro,0.85
4,0,PRP8Neutro SRSF4Neutro U4ataNeutro TIA1Neutro,0.85
5,0,PRP8Neutro SRSF4Neutro U4ataNeutro TIA1Neutro U1Neutro,0.85
6,0,PRP8Neutro SRSF4Neutro U4ataNeutro TIA1Neutro U1Neutro SRSF5Neutro,0.85
7,0,PRP8Neutro SRSF4Neutro U4ataNeutro TIA1Neutro U1Neutro SRSF5Neutro U2AF1Neutro,0.85
8,0,ESRP1Neutro SRSF4Neutro PSFNeutro SKIPNeutro MAGOHNeutro U11Neutro SRSF5Neutro UA2F2Neutro,0.85
9,0,ESRP1Neutro SRSF4Neutro PSFNeutro SKIPNeutro MAGOHNeutro U11Neutro SRSF5Neutro UA2F2Neutro RBM45Neutro,0.85
2,0,U4ataNeutro SRSF4Neutro,0.85
3,0,U4ataNeutro SRSF4Neutro TIA1Neutro,0.85
4,0,U4ataNeutro SRSF4Neutro TIA1Neutro MAGOHNeutro,0.85
5,0,U4ataNeutro SRSF4Neutro TIA1Neutro MAGOHNeutro TRA2ANeutro,0.85
3,0,FBP11Neutro SRSF4Neutro RBM3Neutro,0.85
4,0,FBP11Neutro SRSF4Neutro RBM3Neutro TIA1Neutro,0.85
5,0,MAGOHNeutro SRSF4Neutro SKIPNeutro PRP8Neutro U4Neutro,0.85
8,0,SF3BTV1Neutro SRSF4Neutro RBM3Neutro SKIPNeutro SRSF1Neutro SND1Neutro UA2F2Neutro RBM45Neutro,0.85
5,0,UA2F2Neutro SRSF4Neutro RBM3Neutro PSFNeutro SKIPNeutro,0.85
