Number-Atts,Number-Significant,Atts,AUC
3,0,SF3BTV1Linfo NOVA1Linfo U11Linfo,0.9285714285714286
4,0,SF3BTV1Linfo NOVA1Linfo U11Linfo TRA2BLinfo,0.9285714285714286
5,0,SF3BTV1Linfo NOVA1Linfo U11Linfo TRA2BLinfo SRM160Linfo,0.9285714285714286
6,0,SF3BTV1Linfo NOVA1Linfo U11Linfo TRA2BLinfo SRM160Linfo SRSF1Linfo,0.9285714285714286
8,0,U12Linfo NOVA1Linfo SF3BTV1Linfo ESRP1Linfo CA150Linfo U2AF1Linfo UA2F2Linfo TRA2BLinfo,0.9285714285714286
9,0,U12Linfo NOVA1Linfo SF3BTV1Linfo ESRP1Linfo CA150Linfo U2AF1Linfo UA2F2Linfo TRA2BLinfo SRSF10Linfo,0.9285714285714286
3,0,CA150Linfo NOVA1Linfo SF3BTV1Linfo,0.9285714285714286
5,0,SRM160Linfo NOVA1Linfo SF3BTV1Linfo ESRP1Linfo TRA2BLinfo,0.9285714285714286
4,0,SRSF10Linfo NOVA1Linfo SF3BTV1Linfo TRA2BLinfo,0.9285714285714286
4,0,MAGOHLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo,0.9285714285714286
5,0,MAGOHLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo TIA1Linfo,0.9285714285714286
6,0,MAGOHLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo TIA1Linfo SRSF4Linfo,0.9285714285714286
7,0,MAGOHLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo TIA1Linfo SRSF4Linfo U2AF1Linfo,0.9285714285714286
8,0,MAGOHLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo TIA1Linfo SRSF4Linfo U2AF1Linfo RBM22Linfo,0.9285714285714286
2,0,SF3BTV1Linfo NOVA1Linfo,0.8973214285714286
4,0,SF3BTV1Linfo NOVA1Linfo U11Linfo UA2F2Linfo,0.8973214285714286
7,0,U12Linfo NOVA1Linfo SF3BTV1Linfo ESRP1Linfo CA150Linfo U2AF1Linfo UA2F2Linfo,0.8973214285714286
3,0,ESRP1Linfo NOVA1Linfo SF3BTV1Linfo,0.8973214285714286
4,0,ESRP1Linfo NOVA1Linfo SF3BTV1Linfo RBM17Linfo,0.8973214285714286
5,0,ESRP1Linfo NOVA1Linfo SF3BTV1Linfo RBM17Linfo SRM160Linfo,0.8973214285714286
6,0,ESRP1Linfo NOVA1Linfo SF3BTV1Linfo RBM17Linfo SRM160Linfo SRSF10Linfo,0.8973214285714286
7,0,ESRP1Linfo NOVA1Linfo SF3BTV1Linfo RBM17Linfo SRM160Linfo SRSF10Linfo MAGOHLinfo,0.8973214285714286
5,0,SRSF4Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo,0.8973214285714286
6,0,SRSF4Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo ESRP1Linfo,0.8973214285714286
7,0,SRSF4Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo ESRP1Linfo U2AF1Linfo,0.8973214285714286
8,0,SRSF4Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo ESRP1Linfo U2AF1Linfo SRSF10Linfo,0.8973214285714286
9,0,SRSF4Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo ESRP1Linfo U2AF1Linfo SRSF10Linfo SRSF1Linfo,0.8973214285714286
10,0,SRSF4Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo ESRP1Linfo U2AF1Linfo SRSF10Linfo SRSF1Linfo RBM22Linfo,0.8973214285714286
4,0,CA150Linfo NOVA1Linfo SF3BTV1Linfo RBM22Linfo,0.8973214285714286
3,0,RBM17Linfo NOVA1Linfo SF3BTV1Linfo,0.8973214285714286
4,0,RBM17Linfo NOVA1Linfo SF3BTV1Linfo SRM160Linfo,0.8973214285714286
5,0,RBM17Linfo NOVA1Linfo SF3BTV1Linfo SRM160Linfo MAGOHLinfo,0.8973214285714286
5,0,U2AF1Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo,0.8973214285714286
6,0,U2AF1Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo U6atacLinfo,0.8973214285714286
7,0,U2AF1Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo U6atacLinfo CA150Linfo,0.8973214285714286
8,0,U2AF1Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo U6atacLinfo CA150Linfo UA2F2Linfo,0.8973214285714286
9,0,U2AF1Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo TIA1Linfo U6atacLinfo CA150Linfo UA2F2Linfo MAGOHLinfo,0.8973214285714286
2,0,FBP11Linfo NOVA1Linfo,0.8973214285714286
3,0,SRM160Linfo NOVA1Linfo SF3BTV1Linfo,0.8973214285714286
4,0,SRM160Linfo NOVA1Linfo SF3BTV1Linfo ESRP1Linfo,0.8973214285714286
3,0,SRSF10Linfo NOVA1Linfo SF3BTV1Linfo,0.8973214285714286
3,0,RBM22Linfo NOVA1Linfo SF3BTV1Linfo,0.8973214285714286
4,0,RBM22Linfo NOVA1Linfo SF3BTV1Linfo TIA1Linfo,0.8973214285714286
5,0,RBM22Linfo NOVA1Linfo SF3BTV1Linfo TIA1Linfo ESRP1Linfo,0.8973214285714286
