ID,NumberAtts,Atts,metricOpt
16,7,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo RBM22Linfo,1
17,8,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo RBM22Linfo SND1Linfo,1
18,8,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo RBM22Linfo SAM68TV1Linfo,1
39,13,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo RBM22Linfo,1
41,14,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo RBM22Linfo SAM68TV1Linfo,1
43,14,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo RBM22Linfo MAGOHLinfo,1
11,6,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo,0.995535714285714
19,8,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo RBM22Linfo U5Linfo,0.991071428571429
32,12,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo,0.991071428571429
20,8,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo RBM22Linfo MAGOHLinfo,0.986607142857143
31,11,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo,0.982142857142857
30,10,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo,0.977678571428571
28,9,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo,0.973214285714286
37,13,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo SRSF10Linfo,0.973214285714286
14,7,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo SRSF10Linfo,0.96875
34,13,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo SC35Linfo,0.96875
35,13,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo TRA2ALinfo,0.96875
40,14,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo RBM22Linfo SND1Linfo,0.96875
33,13,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo SRM160Linfo,0.964285714285714
27,8,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo,0.957589285714286
24,7,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo,0.955357142857143
15,7,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo SRSF1Linfo,0.953125
26,8,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo PRP8Linfo,0.953125
13,7,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo RBM3Linfo,0.946428571428571
25,8,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo RBM17Linfo,0.941964285714286
38,13,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo SRSF1Linfo,0.941964285714286
22,6,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo,0.939732142857143
42,14,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo RBM22Linfo U5Linfo,0.939732142857143
45,6,SF3BTV1Linfo ESRP2Linfo U11Linfo U2Linfo U6atacLinfo MAGOHLinfo,0.926339285714286
56,6,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo RBM3Linfo SRSF10Linfo,0.921875
29,10,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo FBP11Linfo,0.919642857142857
10,5,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo,0.915178571428571
61,7,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo RBM3Linfo SRSF10Linfo MAGOHLinfo,0.915178571428571
12,7,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo SRM160Linfo SC35Linfo TRA2ALinfo,0.901785714285714
23,7,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo SRSF4Linfo,0.901785714285714
9,4,NOVA1Linfo SF3BTV1Linfo U11Linfo TRA2BLinfo,0.895089285714286
58,7,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo RBM3Linfo SRSF10Linfo RBM22Linfo,0.892857142857143
46,9,ESRP2Linfo U4ataLinfo U11Linfo U12Linfo RAVER1Linfo U6Linfo U6atacLinfo PRP8Linfo SRSF5Linfo,0.883928571428571
44,5,SF3BTV1Linfo ESRP2Linfo U11Linfo U2Linfo U6atacLinfo,0.877232142857143
55,5,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo RBM3Linfo,0.877232142857143
59,7,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo RBM3Linfo SRSF10Linfo SND1Linfo,0.877232142857143
3,3,NOVA1Linfo SF3BTV1Linfo U11Linfo,0.875
5,4,NOVA1Linfo SF3BTV1Linfo U11Linfo U2Linfo,0.875
6,4,NOVA1Linfo SF3BTV1Linfo U11Linfo SRFSF9Linfo,0.875
7,4,NOVA1Linfo SF3BTV1Linfo U11Linfo U6atacLinfo,0.875
2,2,NOVA1Linfo SF3BTV1Linfo,0.870535714285714
8,4,NOVA1Linfo SF3BTV1Linfo U11Linfo FBP11Linfo,0.870535714285714
36,13,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo SRSF3Linfo CA150Linfo U1Linfo U2AF1Linfo SRSF5Linfo UA2F2Linfo TRA2BLinfo RBM3Linfo,0.870535714285714
48,6,U4ataLinfo U11Linfo SRSF6Linfo RAVER1Linfo U2Linfo SRSF3Linfo,0.870535714285714
51,4,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo,0.870535714285714
52,5,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo SRSF5Linfo,0.870535714285714
60,7,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo RBM3Linfo SRSF10Linfo SAM68TV1Linfo,0.866071428571429
1,1,NOVA1Linfo,0.861607142857143
21,5,RBM45Linfo SF3BTV1Linfo ESRP2Linfo U11Linfo PTBLinfo,0.861607142857143
54,5,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo TRA2ALinfo,0.861607142857143
47,10,ESRP2Linfo U4ataLinfo U11Linfo U12Linfo RAVER1Linfo U6Linfo U6atacLinfo PRP8Linfo SRSF5Linfo SRSF1Linfo,0.857142857142857
50,5,SRSF6Linfo U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo,0.857142857142857
57,7,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo RBM3Linfo SRSF10Linfo SRSF1Linfo,0.857142857142857
4,4,NOVA1Linfo SF3BTV1Linfo U11Linfo RAVER1Linfo,0.852678571428571
49,7,U4ataLinfo U11Linfo SRSF6Linfo RAVER1Linfo U2Linfo SRSF3Linfo TRA2ALinfo,0.852678571428571
53,5,U12Linfo RAVER1Linfo RBM17Linfo U2AF1Linfo SRM160Linfo,0.852678571428571
62,11,CUGBPLinfo SRSF3Linfo SRSF4Linfo CA150Linfo RBM17Linfo PRP8Linfo U2AF1Linfo FBP11Linfo SRSF5Linfo TRA2BLinfo U5Linfo,0.850446428571429
