ID,NumberAtts,Atts,metricOpt
97,5,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo,0.953125
122,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo MAGOHLinfo,0.950892857142857
118,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo RBM22Linfo,0.946428571428571
114,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo TRA2ALinfo,0.941964285714286
89,4,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo,0.9375
98,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo PTBLinfo,0.9375
113,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SC35Linfo,0.9375
110,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo UA2F2Linfo,0.935267857142857
92,5,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo PSFLinfo,0.933035714285714
99,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo U6atacLinfo,0.933035714285714
106,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo U1Linfo,0.933035714285714
111,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo TRA2BLinfo,0.933035714285714
138,7,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo FBP11Linfo,0.933035714285714
165,5,U4ataLinfo U11Linfo U12Linfo U2AF1Linfo FBP11Linfo,0.933035714285714
42,2,RBM45Linfo U11Linfo,0.928571428571429
83,3,SF3BTV1Linfo ESRP2Linfo U11Linfo,0.928571428571429
101,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SRSF3Linfo,0.928571428571429
104,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo RBM17Linfo,0.928571428571429
119,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SND1Linfo,0.928571428571429
41,10,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo RBM22Linfo MAGOHLinfo,0.924107142857143
77,3,RBM45Linfo U11Linfo RBM22Linfo,0.924107142857143
100,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo CUGBPLinfo,0.924107142857143
109,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SRSF5Linfo,0.924107142857143
117,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SRSF1Linfo,0.924107142857143
121,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo U5Linfo,0.924107142857143
150,8,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo FBP11Linfo SAM68TV1Linfo,0.921875
179,6,U4ataLinfo U11Linfo U12Linfo U2AF1Linfo FBP11Linfo MAGOHLinfo,0.921875
37,9,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo RBM22Linfo,0.919642857142857
48,3,RBM45Linfo U11Linfo SKIPLinfo,0.919642857142857
69,3,RBM45Linfo U11Linfo UA2F2Linfo,0.919642857142857
108,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo FBP11Linfo,0.919642857142857
151,8,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo FBP11Linfo U5Linfo,0.919642857142857
72,3,RBM45Linfo U11Linfo SC35Linfo,0.917410714285714
137,6,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo,0.917410714285714
24,8,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo,0.915178571428571
27,9,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo FBP11Linfo,0.915178571428571
34,9,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo RBM3Linfo,0.915178571428571
91,5,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo U2Linfo,0.915178571428571
95,5,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo U6Linfo,0.915178571428571
105,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo PRP8Linfo,0.915178571428571
116,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SRSF10Linfo,0.915178571428571
148,8,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo FBP11Linfo RBM22Linfo,0.915178571428571
177,6,U4ataLinfo U11Linfo U12Linfo U2AF1Linfo FBP11Linfo SAM68TV1Linfo,0.915178571428571
46,3,RBM45Linfo U11Linfo RAVER1Linfo,0.912946428571429
28,9,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo SRSF5Linfo,0.910714285714286
29,9,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo UA2F2Linfo,0.910714285714286
30,9,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo PRP8Linfo TRA2BLinfo,0.910714285714286
63,3,RBM45Linfo U11Linfo RBM17Linfo,0.910714285714286
81,3,RBM45Linfo U11Linfo MAGOHLinfo,0.910714285714286
93,5,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo nSR100Linfo,0.910714285714286
102,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SRSF4Linfo,0.910714285714286
107,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo U2AF1Linfo,0.910714285714286
115,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo RBM3Linfo,0.910714285714286
120,6,SF3BTV1Linfo ESRP2Linfo U11Linfo SKIPLinfo SRFSF9Linfo SAM68TV1Linfo,0.910714285714286
144,8,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo FBP11Linfo TRA2ALinfo,0.910714285714286
145,8,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo FBP11Linfo RBM3Linfo,0.910714285714286
147,8,ESRP2Linfo U4ataLinfo U11Linfo nSR100Linfo RBM17Linfo U2AF1Linfo FBP11Linfo SRSF1Linfo,0.910714285714286
175,6,U4ataLinfo U11Linfo U12Linfo U2AF1Linfo FBP11Linfo RBM22Linfo,0.910714285714286
23,7,NOVA1Linfo SF3BTV1Linfo ESRP2Linfo U4ataLinfo U11Linfo U4Linfo RBM17Linfo,0.908482142857143
