ID,NumberAtts,Atts,metricOpt
27,6,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono,1
32,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono U11Mono,0.976923076923077
34,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono NOVA1Mono,0.969230769230769
23,5,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono,0.961538461538462
31,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono RBM45Mono,0.961538461538462
16,4,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono,0.957692307692308
24,6,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono SRSF5Mono,0.953846153846154
41,10,U6atacMono SF3BTV1Mono PTBMono ESRP1Mono CELF4Mono TRA2BMono PSFMono NOVA1Mono U4Mono U4ataMono,0.942307692307692
22,5,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CELF4Mono,0.938461538461538
30,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono SKIPMono,0.930769230769231
10,7,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon SAM68TV1Mono,0.926923076923077
17,5,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SC35Mono,0.926923076923077
18,5,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono ESRP1Mono,0.923076923076923
8,6,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon,0.919230769230769
9,7,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon CELF4Mono,0.919230769230769
3,5,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono,0.915384615384615
14,8,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon SAM68TV1Mono U11Mono,0.911538461538462
36,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono U4ataMono,0.911538461538462
21,5,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon,0.907692307692308
12,8,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon SAM68TV1Mono TIA1Mono,0.903846153846154
25,6,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono SRSF4Mono,0.903846153846154
28,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono U2AF1Mono,0.9
19,5,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SRSF10Mono,0.896153846153846
29,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono TIA1Mono,0.884615384615385
7,6,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono ESRP1Mono,0.880769230769231
20,5,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono U5Mono,0.880769230769231
6,6,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SC35Mono,0.876923076923077
35,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono U4Mono,0.876923076923077
39,9,U6atacMono SF3BTV1Mono PTBMono ESRP1Mono CELF4Mono TRA2BMono PSFMono NOVA1Mono U4Mono,0.876923076923077
13,8,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon SAM68TV1Mono RBM45Mono,0.873076923076923
26,6,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM17Mono,0.873076923076923
40,10,U6atacMono SF3BTV1Mono PTBMono ESRP1Mono CELF4Mono TRA2BMono PSFMono NOVA1Mono U4Mono ESRP2Mono,0.873076923076923
4,6,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono PTBMono,0.869230769230769
15,3,UA2F2Mono SRSF6Mono RBM22Mono,0.869230769230769
38,6,FBP11Mono SRSF6Mono RBM22Mono SF3BTV1Mono PSFMono U4ataMono,0.869230769230769
11,8,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono CUGBPMon SAM68TV1Mono RBM3Mono,0.865384615384615
1,5,SND1Mono nSR100Mono SRSF6Mono RBM22Mono PTBMono,0.861538461538462
2,4,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono,0.861538461538462
5,6,SRFSF9Mono UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono U2Mono,0.861538461538462
33,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono SRSF1Mono,0.853846153846154
37,7,UA2F2Mono SRSF6Mono RBM22Mono SF3BTV1Mono SAM68TV1Mono RBM3Mono RAVER1Mono,0.853846153846154
