ID,NumberAtts,Atts,metricOpt
14,3,PRP8Mono CA150Mono CELF4Mono,0.892307692307692
1,2,PRP8Mono CA150Mono,0.884615384615385
2,3,PRP8Mono CA150Mono U1Mono,0.884615384615385
24,4,PRP8Mono CA150Mono CELF4Mono NOVA1Mono,0.884615384615385
15,4,PRP8Mono CA150Mono CELF4Mono SRSF4Mono,0.876923076923077
12,3,PRP8Mono CA150Mono U5Mono,0.873076923076923
3,3,PRP8Mono CA150Mono SND1Mono,0.869230769230769
4,3,PRP8Mono CA150Mono nSR100Mono,0.869230769230769
17,4,PRP8Mono CA150Mono CELF4Mono U2AF1Mono,0.869230769230769
10,3,PRP8Mono CA150Mono U2Mono,0.865384615384615
6,3,PRP8Mono CA150Mono FBP11Mono,0.861538461538462
16,4,PRP8Mono CA150Mono CELF4Mono RBM17Mono,0.861538461538462
20,4,PRP8Mono CA150Mono CELF4Mono SKIPMono,0.861538461538462
22,4,PRP8Mono CA150Mono CELF4Mono U11Mono,0.861538461538462
23,4,PRP8Mono CA150Mono CELF4Mono PSFMono,0.861538461538462
9,3,PRP8Mono CA150Mono PTBMono,0.857692307692308
11,3,PRP8Mono CA150Mono SC35Mono,0.857692307692308
5,3,PRP8Mono CA150Mono UA2F2Mono,0.853846153846154
7,3,PRP8Mono CA150Mono RBM22Mono,0.853846153846154
8,3,PRP8Mono CA150Mono SF3BTV2Mono,0.853846153846154
13,3,PRP8Mono CA150Mono CUGBPMon,0.853846153846154
18,4,PRP8Mono CA150Mono CELF4Mono TIA1Mono,0.853846153846154
19,4,PRP8Mono CA150Mono CELF4Mono SRSF3Mono,0.853846153846154
21,4,PRP8Mono CA150Mono CELF4Mono TRA2AMono,0.853846153846154
27,6,CA150Mono U1Mono UA2F2Mono SRSF6Mono U6atacMono TRA2AMono,0.853846153846154
25,4,PRP8Mono CA150Mono CELF4Mono U4ataMono,0.85
26,5,CA150Mono U1Mono UA2F2Mono SRSF6Mono U6atacMono,0.85
