Index	Var	Importance
14	U4ataMono	0.950176366843034
1	CA150Mono	0.907627865961199
36	SRSF1Mono	0.732804232804233
23	NOVA1Mono	0.68015873015873
11	U2AF1Mono	0.680070546737213
44	TRA2AMono	0.640652557319224
37	SRSF10Mono	0.638359788359788
25	PSFMono	0.615299823633157
18	CELF4Mono	0.608553791887125
39	SRSF4Mono	0.606349206349206
16	U6Mono	0.594532627865961
15	U5Mono	0.581040564373898
17	U6atacMono	0.580246913580247
4	RBM22Mono	0.576278659611993
22	MAGOHMono	0.56358024691358
28	RBM17Mono	0.559611992945326
8	U11Mono	0.54620811287478
40	SRSF5Mono	0.534391534391534
38	SRSF3Mono	0.507231040564374
7	U1Mono	0.504056437389771
33	SKIPMono	0.495502645502646
2	FBP11Mono	0.488271604938272
20	ESRP2Mono	0.482980599647266
35	SRM160Mono	0.476455026455026
12	UA2F2Mono	0.468165784832452
27	RAVER1Mono	0.467372134038801
45	TRA2BMono	0.464991181657848
31	SAM68TV1Mono	0.445238095238095
29	RBM3Mono	0.432804232804233
10	U2Mono	0.428571428571429
32	SC35Mono	0.424603174603175
30	RBM45Mono	0.41005291005291
42	SRFSF9Mono	0.402116402116402
43	TIA1Mono	0.399647266313933
3	PRP8Mono	0.398324514991182
13	U4Mono	0.397707231040564
9	U12Mono	0.390740740740741
24	nSR100Mono	0.384832451499118
34	SND1Mono	0.382275132275132
19	CUGBPMon	0.374426807760141
21	ESRP1Mono	0.373721340388007
5	SF3BTV1Mono	0.365873015873016
41	SRSF6Mono	0.356437389770723
6	SF3BTV2Mono	0.354144620811288
26	PTBMono	0.327513227513228
