ID,NumberAtts,Atts,metricOpt
27,1,MAGOHMono,0.928571428571429
29,2,MAGOHMono CELF4Mono,0.928571428571429
21,3,RBM17Mono TRA2AMono PSFMono,0.918367346938776
28,2,MAGOHMono U12Mono,0.897959183673469
14,7,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono SRSF10Mono,0.887755102040816
23,4,RBM17Mono TRA2AMono PSFMono CELF4Mono,0.887755102040816
12,6,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono,0.88265306122449
19,8,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono SRSF10Mono CELF4Mono,0.88265306122449
22,4,RBM17Mono TRA2AMono PSFMono SRSF10Mono,0.88265306122449
6,5,ESRP2Mono SRSF3Mono RBM17Mono U5Mono PSFMono,0.877551020408163
15,8,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono SRSF10Mono PRP8Mono,0.877551020408163
16,8,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono SRSF10Mono MAGOHMono,0.875
7,6,ESRP2Mono SRSF3Mono RBM17Mono U5Mono PSFMono SKIPMono,0.86734693877551
25,8,U4Mono RBM45Mono RBM3Mono SND1Mono PSFMono SKIPMono SRFSF9Mono MAGOHMono,0.86734693877551
17,8,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono SRSF10Mono TRA2BMono,0.864795918367347
1,4,NOVA1Mono U11Mono CUGBPMon PSFMono,0.862244897959184
2,5,NOVA1Mono U11Mono CUGBPMon PSFMono SRFSF9Mono,0.862244897959184
4,5,NOVA1Mono U11Mono CUGBPMon PSFMono CELF4Mono,0.862244897959184
10,6,ESRP2Mono SRSF3Mono RBM17Mono U5Mono PSFMono U2Mono,0.862244897959184
11,5,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono,0.85969387755102
9,6,ESRP2Mono SRSF3Mono RBM17Mono U5Mono PSFMono CELF4Mono,0.857142857142857
13,7,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono UA2F2Mono,0.857142857142857
18,8,SRSF3Mono TRA2AMono SRSF4Mono RBM3Mono PSFMono SKIPMono SRSF10Mono ESRP1Mono,0.857142857142857
20,2,RBM17Mono TRA2AMono,0.857142857142857
3,5,NOVA1Mono U11Mono CUGBPMon PSFMono MAGOHMono,0.852040816326531
5,7,CA150Mono RAVER1Mono SF3BTV1Mono CUGBPMon TIA1Mono FBP11Mono SC35Mono,0.852040816326531
8,6,ESRP2Mono SRSF3Mono RBM17Mono U5Mono PSFMono MAGOHMono,0.852040816326531
24,9,SRSF4Mono U4ataMono U1Mono U4Mono RBM3Mono PSFMono SRFSF9Mono SRSF10Mono SAM68TV1Mono,0.852040816326531
26,9,U4Mono RBM45Mono RBM3Mono SND1Mono PSFMono SKIPMono SRFSF9Mono MAGOHMono CELF4Mono,0.852040816326531
