ID,NumberAtts,Atts,metricOpt
26,5,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono,0.977443609022556
33,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono TRA2BMono,0.977443609022556
24,4,RBM17Mono U6atacMono SRSF3Mono SKIPMono,0.969924812030075
38,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono PSFMono,0.969924812030075
27,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono SC35Mono,0.962406015037594
30,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono U11Mono,0.954887218045113
28,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono SRSF1Mono,0.947368421052632
34,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono U4Mono,0.947368421052632
2,7,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono,0.93984962406015
23,11,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono U2Mono PSFMono,0.932330827067669
29,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono nSR100Mono,0.921052631578947
7,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono U2Mono,0.917293233082707
18,10,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono U2Mono,0.909774436090226
6,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono U4ataMono,0.902255639097744
9,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono MAGOHMono,0.902255639097744
19,11,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono U2Mono SC35Mono,0.902255639097744
25,5,RBM17Mono U6atacMono SRSF3Mono SKIPMono SAM68TV1Mono,0.902255639097744
4,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SF3BTV1Mono,0.894736842105263
11,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono ESRP1Mono,0.894736842105263
32,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono RBM45Mono,0.894736842105263
40,8,U6atacMono PRP8Mono SF3BTV1Mono U12Mono U1Mono MAGOHMono SRSF10Mono TRA2AMono,0.894736842105263
35,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono RAVER1Mono,0.887218045112782
22,11,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono U2Mono TRA2BMono,0.883458646616541
39,7,U6atacMono PRP8Mono SF3BTV1Mono U12Mono U1Mono MAGOHMono SRSF10Mono,0.883458646616541
20,11,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono U2Mono ESRP1Mono,0.879699248120301
5,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRSF6Mono,0.87218045112782
42,9,U6atacMono PRP8Mono SF3BTV1Mono U12Mono U1Mono MAGOHMono SRSF10Mono TRA2AMono FBP11Mono,0.87218045112782
1,6,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono,0.868421052631579
10,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRSF1Mono,0.868421052631579
16,9,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono,0.868421052631579
3,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono CELF4Mono,0.864661654135338
8,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SC35Mono,0.864661654135338
14,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono PSFMono,0.864661654135338
15,8,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono,0.864661654135338
21,11,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono U2Mono TRA2AMono,0.864661654135338
36,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono U5Mono,0.864661654135338
37,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono FBP11Mono,0.864661654135338
31,6,RBM17Mono U6atacMono SRSF3Mono SKIPMono U4ataMono TRA2AMono,0.857142857142857
41,9,U6atacMono PRP8Mono SF3BTV1Mono U12Mono U1Mono MAGOHMono SRSF10Mono TRA2AMono RBM45Mono,0.857142857142857
12,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono TRA2AMono,0.853383458646617
13,8,RBM3Mono NOVA1Mono U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono U4Mono,0.853383458646617
17,10,U6Mono CA150Mono RBM17Mono SRSF3Mono RBM22Mono SRFSF9Mono ESRP2Mono SRSF4Mono SAM68TV1Mono U1Mono,0.853383458646617
