Index	Var	Importance
2	FBP11Neutro	0.771706349206349
6	SF3BTV2Neutro	0.676150793650794
5	SF3BTV1Neutro	0.671785714285714
34	SRSF10Neutro	0.656626984126984
1	CA150Neutro	0.637420634920635
10	U2Neutro	0.606706349206349
13	U4Neutro	0.605436507936508
32	SRM160Neutro	0.591706349206349
18	ESRP2Neutro	0.589087301587302
4	RBM22Neutro	0.588055555555556
12	UA2F2Neutro	0.585753968253968
25	RBM17Neutro	0.573690476190476
41	TRA2ANeutro	0.570198412698413
14	U5Neutro	0.568611111111111
11	U2AF1Neutro	0.563055555555556
29	SC35Neutro	0.551626984126984
20	NOVA1Neutro	0.543531746031746
7	U1Neutro	0.53797619047619
39	SRFSF9Neutro	0.535674603174603
23	PTBNeutro	0.535198412698413
3	PRP8Neutro	0.534404761904762
15	U6Neutro	0.527103174603175
31	SND1Neutro	0.510119047619048
35	SRSF3Neutro	0.507896825396825
30	SKIPNeutro	0.497579365079365
37	SRSF5Neutro	0.483690476190476
9	U12Neutro	0.481388888888889
28	SAM68TV1Neutro	0.478373015873016
36	SRSF4Neutro	0.476230158730159
33	SRSF1Neutro	0.455119047619048
38	SRSF6Neutro	0.451309523809524
26	RBM3Neutro	0.444246031746032
42	TRA2BNeutro	0.443690476190476
40	TIA1Neutro	0.425515873015873
19	MAGOHNeutro	0.424325396825397
17	ESRP1Neutro	0.423214285714286
8	U11Neutro	0.353452380952381
22	PSFNeutro	0.34734126984127
24	RAVER1Neutro	0.335119047619048
16	CUGBPNeutro	0.321230158730159
21	nSR100Neutro	0.31218253968254
27	RBM45Neutro	0.306468253968254
