ID,NumberAtts,Atts,metricOpt
56,8,SF3BTV1Neutro SRSF6Neutro SRSF4Neutro nSR100Neutro PRP8Neutro U4Neutro TRA2ANeutro SRSF5Neutro,0.964912280701754
21,7,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro,0.953216374269006
32,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro U1Neutro,0.953216374269006
39,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SF3BTV2Neutro,0.953216374269006
23,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro UA2F2Neutro,0.947368421052632
11,7,SRM160Neutro RBM17Neutro U5Neutro TRA2ANeutro SRSF5Neutro SRSF10Neutro TIA1Neutro,0.944444444444444
14,6,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro,0.941520467836257
27,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SRSF3Neutro,0.93859649122807
31,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SC35Neutro,0.93859649122807
35,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro TRA2BNeutro,0.93859649122807
15,7,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro ESRP2Neutro,0.929824561403509
20,7,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U2Neutro,0.929824561403509
41,7,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro,0.929824561403509
17,7,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro,0.926900584795322
29,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SRSF5Neutro,0.926900584795322
43,8,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro PRP8Neutro,0.926900584795322
51,8,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro U6Neutro,0.926900584795322
7,6,SRM160Neutro RBM17Neutro U5Neutro TRA2ANeutro SRSF5Neutro SRSF10Neutro,0.923976608187134
53,8,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro SRSF10Neutro,0.921052631578947
37,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SAM68TV1Neutro,0.91812865497076
45,8,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro U5Neutro,0.91812865497076
54,8,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro RBM3Neutro,0.915204678362573
26,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SKIPNeutro,0.912280701754386
28,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro U6Neutro,0.912280701754386
30,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro NOVA1Neutro,0.912280701754386
48,8,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro TRA2ANeutro,0.912280701754386
58,9,SF3BTV1Neutro SRSF6Neutro SRSF4Neutro nSR100Neutro PRP8Neutro U4Neutro TRA2ANeutro SRSF5Neutro TRA2BNeutro,0.912280701754386
59,9,SF3BTV1Neutro SRSF6Neutro SRSF4Neutro nSR100Neutro PRP8Neutro U4Neutro TRA2ANeutro SRSF5Neutro SAM68TV1Neutro,0.912280701754386
33,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SND1Neutro,0.909356725146199
24,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro SRFSF9Neutro,0.906432748538012
25,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro TRA2ANeutro,0.903508771929825
1,4,CA150Neutro MAGOHNeutro SF3BTV1Neutro U4Neutro,0.89766081871345
22,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro U4Neutro,0.894736842105263
49,8,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro FBP11Neutro SKIPNeutro,0.894736842105263
3,5,CA150Neutro MAGOHNeutro SF3BTV1Neutro U4Neutro SRSF5Neutro,0.888888888888889
12,11,RBM45Neutro U11Neutro RBM17Neutro SF3BTV1Neutro RBM22Neutro U2Neutro TRA2ANeutro SRSF5Neutro NOVA1Neutro TRA2BNeutro SAM68TV1Neutro,0.885964912280702
38,8,RAVER1Neutro RBM17Neutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro U5Neutro TIA1Neutro,0.885964912280702
40,6,RBM17Neutro MAGOHNeutro SF3BTV1Neutro SRSF4Neutro nSR100Neutro RBM22Neutro,0.885964912280702
55,7,SF3BTV1Neutro SRSF6Neutro SRSF4Neutro nSR100Neutro PRP8Neutro U4Neutro TRA2ANeutro,0.885964912280702
5,5,SRM160Neutro RBM17Neutro U5Neutro TRA2ANeutro SRSF5Neutro,0.87719298245614
