ID,NumberAtts,Atts,metricOpt
20,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U6atacLinfo,1
29,6,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U6atacLinfo MAGOHLinfo,1
25,6,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U6atacLinfo SRSF3Linfo,0.992424242424242
1,4,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo,0.984848484848485
24,6,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U6atacLinfo SRSF1Linfo,0.984848484848485
93,7,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo SRSF1Linfo,0.984848484848485
123,7,TRA2ALinfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo U12Linfo CUGBPLinfo,0.984848484848485
118,6,TRA2ALinfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo U12Linfo,0.977272727272727
10,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U2AF1Linfo,0.96969696969697
64,8,NOVA1Linfo U11Linfo nSR100Linfo SC35Linfo U2AF1Linfo RBM17Linfo PRP8Linfo SRSF4Linfo,0.96969696969697
116,5,TRA2ALinfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo,0.96969696969697
15,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo RBM17Linfo,0.962121212121212
72,9,U1Linfo PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo U5Linfo,0.958333333333333
117,6,TRA2ALinfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo CA150Linfo,0.958333333333333
6,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo nSR100Linfo,0.954545454545455
11,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo RBM3Linfo,0.954545454545455
119,7,TRA2ALinfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo U12Linfo U6atacLinfo,0.954545454545455
128,5,SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo SRSF10Linfo,0.954545454545455
133,6,SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo SRSF10Linfo FBP11Linfo,0.954545454545455
21,6,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U6atacLinfo PRP8Linfo,0.950757575757576
23,6,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U6atacLinfo TIA1Linfo,0.950757575757576
4,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U1Linfo,0.946969696969697
8,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo TRA2ALinfo,0.946969696969697
106,8,SC35Linfo SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo PSFLinfo UA2F2Linfo PRP8Linfo,0.946969696969697
111,9,SC35Linfo SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo PSFLinfo UA2F2Linfo PRP8Linfo SRSF4Linfo,0.946969696969697
121,7,TRA2ALinfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo U12Linfo TIA1Linfo,0.946969696969697
17,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U5Linfo,0.943181818181818
28,6,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo U6atacLinfo FBP11Linfo,0.939393939393939
47,11,U2Linfo SRSF5Linfo RBM45Linfo U11Linfo U1Linfo SC35Linfo SF3BTV1Linfo TRA2BLinfo RAVER1Linfo RBM17Linfo CUGBPLinfo,0.939393939393939
84,6,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo,0.939393939393939
89,7,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo CA150Linfo,0.939393939393939
90,7,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo PRP8Linfo,0.939393939393939
91,7,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo SAM68TV1Linfo,0.939393939393939
95,8,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo SRSF1Linfo FBP11Linfo,0.939393939393939
98,8,nSR100Linfo SC35Linfo SF3BTV1Linfo U2AF1Linfo RBM3Linfo RBM17Linfo U5Linfo SRSF1Linfo,0.939393939393939
113,9,SC35Linfo SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo PSFLinfo UA2F2Linfo PRP8Linfo MAGOHLinfo,0.939393939393939
127,4,SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo,0.939393939393939
71,8,U1Linfo PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo UA2F2Linfo,0.935606060606061
14,5,SRSF6Linfo ESRP1Linfo U11Linfo RBM22Linfo PSFLinfo,0.931818181818182
40,10,U2Linfo SRSF5Linfo RBM45Linfo U11Linfo U1Linfo SC35Linfo SF3BTV1Linfo TRA2BLinfo RAVER1Linfo RBM17Linfo,0.931818181818182
51,7,CELF4Linfo NOVA1Linfo U11Linfo nSR100Linfo SC35Linfo U2AF1Linfo RBM17Linfo,0.931818181818182
65,9,NOVA1Linfo U11Linfo nSR100Linfo SC35Linfo U2AF1Linfo RBM17Linfo PRP8Linfo SRSF4Linfo FBP11Linfo,0.931818181818182
66,9,NOVA1Linfo U11Linfo nSR100Linfo SC35Linfo U2AF1Linfo RBM17Linfo PRP8Linfo SRSF4Linfo MAGOHLinfo,0.931818181818182
43,11,U2Linfo SRSF5Linfo RBM45Linfo U11Linfo U1Linfo SC35Linfo SF3BTV1Linfo TRA2BLinfo RAVER1Linfo RBM17Linfo CA150Linfo,0.924242424242424
85,7,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo SRSF10Linfo,0.924242424242424
88,7,PTBLinfo nSR100Linfo SC35Linfo SF3BTV1Linfo RBM3Linfo RAVER1Linfo U5Linfo,0.924242424242424
105,7,SC35Linfo SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo PSFLinfo UA2F2Linfo,0.924242424242424
110,9,SC35Linfo SF3BTV1Linfo U2AF1Linfo RBM3Linfo RAVER1Linfo PSFLinfo UA2F2Linfo PRP8Linfo CUGBPLinfo,0.924242424242424
