Number-Atts,Number-Significant,Atts,AUC
9,0,U11Linfo NOVA1Linfo SF3BTV1Linfo U12Linfo SKIPLinfo TIA1Linfo nSR100Linfo UA2F2Linfo TRA2BLinfo,0.9330357142857143
4,0,CELF4Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo,0.9285714285714286
5,0,CELF4Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo FBP11Linfo,0.9285714285714286
6,0,CELF4Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo FBP11Linfo PTBLinfo,0.9285714285714286
7,0,CELF4Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo FBP11Linfo PTBLinfo UA2F2Linfo,0.9285714285714286
8,0,CELF4Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo FBP11Linfo PTBLinfo UA2F2Linfo TRA2BLinfo,0.9285714285714286
9,0,CELF4Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo FBP11Linfo PTBLinfo UA2F2Linfo TRA2BLinfo SRSF10Linfo,0.9285714285714286
5,0,TRA2BLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo SND1Linfo,0.9285714285714286
6,0,TRA2BLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo SND1Linfo FBP11Linfo,0.9285714285714286
7,0,TRA2BLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo SND1Linfo FBP11Linfo PTBLinfo,0.9285714285714286
8,0,TRA2BLinfo NOVA1Linfo SF3BTV1Linfo U11Linfo SND1Linfo FBP11Linfo PTBLinfo CUGBPLinfo,0.9285714285714286
9,0,U5Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo CA150Linfo CELF4Linfo nSR100Linfo CUGBPLinfo TRA2BLinfo,0.9285714285714286
5,0,TRA2ALinfo NOVA1Linfo SF3BTV1Linfo PTBLinfo CUGBPLinfo,0.9285714285714286
5,0,SC35Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo SND1Linfo,0.9285714285714286
6,0,SC35Linfo NOVA1Linfo SF3BTV1Linfo U11Linfo SND1Linfo TIA1Linfo,0.9285714285714286
9,0,SRM160Linfo NOVA1Linfo SF3BTV1Linfo SRSF6Linfo U12Linfo CA150Linfo U2AF1Linfo UA2F2Linfo TRA2BLinfo,0.9285714285714286
10,0,SRM160Linfo NOVA1Linfo SF3BTV1Linfo SRSF6Linfo U12Linfo CA150Linfo U2AF1Linfo UA2F2Linfo TRA2BLinfo SAM68TV1Linfo,0.9285714285714286
